loc_id	product	subfamily	subfamily_from_name	tree_support	chromosome	chr_name	start	end	strand	gene_length_bp	exon_count	intron_count	avg_intron_length	mrna_variants	representative_protein	protein_ids
LOC110908730	aquaporin SIP1-2	SIP	SIP	1.00	NC_035446.2	Ha14	99839574	99842559	-	2986	3	2	989.0	1	XP_022009396.1	XP_022009396.1
LOC110905693	probable aquaporin NIP-type	NIP	unassigned	1.00	NC_035446.2	Ha14	106361596	106363630	+	2035	5	4	267.0	1	XP_022006941.1	XP_022006941.1
LOC110904303	aquaporin PIP2-2	PIP	PIP	1.00	NC_035446.2	Ha14	148783863	148786430	+	2568	4	3	460.0	1	XP_022005838.1	XP_022005838.1
LOC110904457	probable aquaporin PIP2-4	PIP	PIP	1.00	NC_035446.2	Ha14	153674353	153675807	+	1455	3	2	109.5	1	XP_022005993.1	XP_022005993.1
LOC110904450	probable aquaporin PIP2-4	PIP	PIP	1.00	NC_035446.2	Ha14	153688197	153689535	-	1339	3	2	102.0	1	XP_022005989.1	XP_022005989.1
LOC110904451	probable aquaporin PIP2-4	PIP	PIP	1.00	NC_035446.2	Ha14	153762249	153763512	-	1264	3	2	102.0	1	XP_022005990.1	XP_022005990.1
LOC110868884	probable aquaporin PIP2-5	PIP	PIP	1.00	NC_035446.2	Ha14	160857907	160859585	+	1679	4	3	222.3	1	XP_021973843.1	XP_021973843.1
LOC110904925	probable aquaporin PIP1-4	PIP	PIP	1.00	NC_035446.2	Ha14	167862157	167864457	-	2301	3	2	536.5	1	XP_022006482.1	XP_022006482.1
LOC110906290	probable aquaporin TIP5-1	TIP	TIP	1.00	NC_035446.2	Ha14	169823176	169825171	-	1996	3	2	281.5	1	XP_022007155.1	XP_022007155.1
LOC110911072	aquaporin NIP2-1	NIP	NIP	1.00	NC_035447.2	Ha15	26963553	26965384	+	1832	5	4	200.5	1	XP_022011339.1	XP_022011339.1
LOC110886457	aquaporin NIP2-1	NIP	NIP	1.00	NC_035447.2	Ha15	27154145	27157134	+	2990	5	4	440.8	1	XP_021989956.1	XP_021989956.1
LOC110911125	aquaporin NIP2-1	NIP	NIP	1.00	NC_035447.2	Ha15	27278908	27281036	+	2129	5	4	225.2	1	XP_022011398.1	XP_022011398.1
LOC110911759	aquaporin NIP1-1	NIP	NIP	1.00	NC_035447.2	Ha15	62068821	62071242	-	2422	5	4	346.8	1	XP_022012100.1	XP_022012100.1
LOC110911761	aquaporin NIP1-1	NIP	NIP	1.00	NC_035447.2	Ha15	62119483	62121453	-	1971	5	4	235.5	1	XP_022012102.1	XP_022012102.1
LOC110913792	aquaporin NIP1-1	NIP	NIP	1.00	NC_035447.2	Ha15	62176462	62179210	-	2749	5	4	490.0	1	XP_022014304.1	XP_022014304.1
LOC110914202	nodulin-26	NIP	NIP	1.00	NC_035447.2	Ha15	140220777	140223602	+	2826	5	4	391.5	1	XP_022014704.1	XP_022014704.1
LOC110912639	probable aquaporin TIP3-2	TIP	TIP	1.00	NC_035447.2	Ha15	146264526	146265993	+	1468	3	2	264.5	1	XP_022013098.1	XP_022013098.1
LOC110880175	aquaporin TIP2-1	TIP	TIP	1.00	NC_035448.2	Ha16	7445030	7446258	+	1229	3	2	125.0	1	XP_021984447.2	XP_021984447.2
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP	unassigned	1.00	NC_035448.2	Ha16	93139465	93140773	-	1309	3	2	145.0	1	XP_022016725.1	XP_022016725.1
LOC110916097	probable aquaporin TIP-type	TIP	unassigned	1.00	NC_035448.2	Ha16	93174593	93176205	-	1613	3	2	177.5	1	XP_022016546.1	XP_022016546.1
LOC110937771	aquaporin TIP3-1	TIP	TIP	1.00	NC_035448.2	Ha16	104520431	104522993	+	2563	3	2	619.0	1	XP_022035921.1	XP_022035921.1
LOC110923014	aquaporin PIP1-3	PIP	PIP	1.00	NC_035449.2	Ha17	990482	992775	+	2294	4	3	374.3	1	XP_022022901.1	XP_022022901.1
LOC110926365	probable aquaporin NIP5-1	NIP	NIP	1.00	NC_035449.2	Ha17	1877852	1880421	+	2570	4	3	283.0	1	XP_022025807.1	XP_022025807.1
LOC110921506	probable aquaporin NIP5-1	NIP	NIP	1.00	NC_035449.2	Ha17	1891811	1893822	+	2012	4	3	95.0	1	XP_022021536.1	XP_022021536.1
LOC110925968	aquaporin PIP2-7	PIP	PIP	1.00	NC_035449.2	Ha17	30003876	30005529	-	1654	4	3	146.0	1	XP_022025446.1	XP_022025446.1
LOC110923973	aquaporin NIP2-2	NIP	NIP	1.00	NC_035449.2	Ha17	41335426	41337409	+	1984	5	4	192.2	1	XP_022023717.1	XP_022023717.1
LOC110884547	aquaporin NIP2-1	NIP	NIP	1.00	NC_035449.2	Ha17	41553202	41555055	+	1854	5	4	201.5	1	XP_021987957.1	XP_021987957.1
LOC110884546	aquaporin NIP2-2	NIP	NIP	1.00	NC_035449.2	Ha17	41606439	41609104	+	2666	5	4	392.8	1	XP_021987955.1	XP_021987955.1
LOC110921437	probable aquaporin NIP-type	NIP	unassigned	1.00	NC_035449.2	Ha17	181068048	181073557	+	5510	4	3	1506.3	1	XP_022021453.1	XP_022021453.1
