gene1	gene2	protein1	protein2	identity	chr1	chr2	distance	type	chr1_name	chr2_name
LOC110868317	LOC110904457	XP_021973144.1	XP_022005993.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868317	LOC110904450	XP_021973144.1	XP_022005989.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868317	LOC110904451	XP_021973144.1	XP_022005990.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868317	LOC110890906	XP_021973144.1	XP_035835925.1	84.775	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868317	LOC110904303	XP_021973144.1	XP_022005838.1	86.62	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868318	LOC110868323	XP_021973145.1	XP_021973148.1	100.0	NC_035439.2	NC_035439.2	50056.0	tandem	Ha7	Ha7
LOC110868318	LOC110868334	XP_021973145.1	XP_021973154.1	97.518	NC_035439.2	NC_035439.2	292355.0	proximal	Ha7	Ha7
LOC110868318	LOC110868358	XP_021973145.1	XP_021973181.1	97.518	NC_035439.2	NC_035439.2	128972.0	tandem	Ha7	Ha7
LOC110868318	LOC110868335	XP_021973145.1	XP_021973155.1	97.163	NC_035439.2	NC_035439.2	260452.0	proximal	Ha7	Ha7
LOC110868318	LOC110904451	XP_021973145.1	XP_022005990.1	93.617	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868318	LOC110904457	XP_021973145.1	XP_022005993.1	92.199	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868318	LOC110904450	XP_021973145.1	XP_022005989.1	92.199	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868318	LOC110890906	XP_021973145.1	XP_035835925.1	85.714	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868323	LOC110868334	XP_021973148.1	XP_021973154.1	97.518	NC_035439.2	NC_035439.2	242299.0	proximal	Ha7	Ha7
LOC110868323	LOC110868358	XP_021973148.1	XP_021973181.1	97.518	NC_035439.2	NC_035439.2	179028.0	tandem	Ha7	Ha7
LOC110868323	LOC110868335	XP_021973148.1	XP_021973155.1	97.163	NC_035439.2	NC_035439.2	210396.0	proximal	Ha7	Ha7
LOC110868323	LOC110904451	XP_021973148.1	XP_022005990.1	93.617	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868323	LOC110904457	XP_021973148.1	XP_022005993.1	92.199	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868323	LOC110904450	XP_021973148.1	XP_022005989.1	92.199	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868323	LOC110890906	XP_021973148.1	XP_035835925.1	85.714	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868334	LOC110868335	XP_021973154.1	XP_021973155.1	98.592	NC_035439.2	NC_035439.2	31903.0	tandem	Ha7	Ha7
LOC110868334	LOC110868358	XP_021973154.1	XP_021973181.1	98.239	NC_035439.2	NC_035439.2	421327.0	proximal	Ha7	Ha7
LOC110868334	LOC110904457	XP_021973154.1	XP_022005993.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868334	LOC110904451	XP_021973154.1	XP_022005990.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868334	LOC110904450	XP_021973154.1	XP_022005989.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868334	LOC110890906	XP_021973154.1	XP_035835925.1	84.775	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868335	LOC110868358	XP_021973155.1	XP_021973181.1	99.648	NC_035439.2	NC_035439.2	389424.0	proximal	Ha7	Ha7
LOC110868335	LOC110904457	XP_021973155.1	XP_022005993.1	92.254	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868335	LOC110904450	XP_021973155.1	XP_022005989.1	92.254	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868335	LOC110904451	XP_021973155.1	XP_022005990.1	92.254	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868335	LOC110890906	XP_021973155.1	XP_035835925.1	85.121	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868358	LOC110904457	XP_021973181.1	XP_022005993.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868358	LOC110904450	XP_021973181.1	XP_022005989.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868358	LOC110904451	XP_021973181.1	XP_022005990.1	92.606	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868358	LOC110890906	XP_021973181.1	XP_035835925.1	85.467	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110868884	LOC110889695	XP_021973843.1	XP_021992949.1	91.259	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110868884	LOC110904303	XP_021973843.1	XP_022005838.1	89.362	NC_035446.2	NC_035446.2	12074044.0	segmental	Ha14	Ha14
LOC110868884	LOC110890906	XP_021973843.1	XP_035835925.1	86.111	NC_035446.2	NC_035443.2		segmental	Ha14	Ha11
LOC110868884	LOC110908794	XP_021973843.1	XP_022009469.1	87.234	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110868884	LOC110875557	XP_021973843.1	XP_021979449.1	86.111	NC_035446.2	NC_035433.2		segmental	Ha14	Ha1
LOC110868884	LOC110894830	XP_021973843.1	XP_021997756.1	87.762	NC_035446.2	NC_035444.2		segmental	Ha14	Ha12
LOC110868884	LOC110904457	XP_021973843.1	XP_022005993.1	86.219	NC_035446.2	NC_035446.2	7183554.0	segmental	Ha14	Ha14
LOC110868884	LOC110904450	XP_021973843.1	XP_022005989.1	85.512	NC_035446.2	NC_035446.2	7169710.0	segmental	Ha14	Ha14
LOC110868884	LOC110904451	XP_021973843.1	XP_022005990.1	85.866	NC_035446.2	NC_035446.2	7095658.0	segmental	Ha14	Ha14
LOC110868884	LOC110868334	XP_021973843.1	XP_021973154.1	85.159	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110868941	LOC110904925	XP_021973917.1	XP_022006482.1	93.031	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110868941	LOC110937325	XP_021973917.1	XP_022035417.1	89.199	NC_035439.2	NC_035434.2		segmental	Ha7	Ha2
LOC110868941	LOC110923014	XP_021973917.1	XP_022022901.1	88.502	NC_035439.2	NC_035449.2		segmental	Ha7	Ha17
LOC110868941	LOC110897890	XP_021973917.1	XP_022000317.1	88.502	NC_035439.2	NC_035445.2		segmental	Ha7	Ha13
LOC110868941	LOC110899592	XP_021973917.1	XP_022002168.1	87.805	NC_035439.2	NC_035445.2		segmental	Ha7	Ha13
LOC110868941	LOC110899589	XP_021973917.1	XP_022002167.1	87.805	NC_035439.2	NC_035445.2		segmental	Ha7	Ha13
LOC110868941	LOC110930503	XP_021973917.1	XP_022029508.1	87.805	NC_035439.2	NC_035435.2		segmental	Ha7	Ha3
LOC110868941	LOC110868335	XP_021973917.1	XP_021973155.1	70.213	NC_035439.2	NC_035439.2	22901413.0	segmental	Ha7	Ha7
LOC110868941	LOC110868317	XP_021973917.1	XP_021973144.1	70.213	NC_035439.2	NC_035439.2	22626592.0	segmental	Ha7	Ha7
LOC110868941	LOC110875557	XP_021973917.1	XP_021979449.1	73.162	NC_035439.2	NC_035433.2		segmental	Ha7	Ha1
LOC110868941	LOC110908794	XP_021973917.1	XP_022009469.1	72.364	NC_035439.2	NC_035439.2	13738951.0	segmental	Ha7	Ha7
LOC110868941	LOC110890906	XP_021973917.1	XP_035835925.1	73.162	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110872387	LOC110921506	XP_021976874.1	XP_022021536.1	89.761	NC_035438.2	NC_035449.2		segmental	Ha6	Ha17
LOC110872387	LOC110926365	XP_021976874.1	XP_022025807.1	87.755	NC_035438.2	NC_035449.2		segmental	Ha6	Ha17
LOC110872387	LOC110941540	XP_021976874.1	XP_022038870.1	72.152	NC_035438.2	NC_035437.2		segmental	Ha6	Ha5
LOC110872551	LOC110896719	XP_021977057.1	XP_021999580.1	86.4	NC_035440.2	NC_035444.2		segmental	Ha8	Ha12
LOC110872551	LOC110939970	XP_021977057.1	XP_022037229.1	71.032	NC_035440.2	NC_035437.2		segmental	Ha8	Ha5
LOC110875557	LOC110890906	XP_021979449.1	XP_035835925.1	96.886	NC_035433.2	NC_035443.2		segmental	Ha1	Ha11
LOC110875557	LOC110904303	XP_021979449.1	XP_022005838.1	93.772	NC_035433.2	NC_035446.2		segmental	Ha1	Ha14
LOC110875557	LOC110908794	XP_021979449.1	XP_022009469.1	89.619	NC_035433.2	NC_035439.2		segmental	Ha1	Ha7
LOC110875557	LOC110908807	XP_021979449.1	XP_035831160.1	84.775	NC_035433.2	NC_035439.2		segmental	Ha1	Ha7
LOC110875557	LOC110904457	XP_021979449.1	XP_022005993.1	85.121	NC_035433.2	NC_035446.2		segmental	Ha1	Ha14
LOC110875557	LOC110904450	XP_021979449.1	XP_022005989.1	85.121	NC_035433.2	NC_035446.2		segmental	Ha1	Ha14
LOC110875557	LOC110904451	XP_021979449.1	XP_022005990.1	84.775	NC_035433.2	NC_035446.2		segmental	Ha1	Ha14
LOC110875557	LOC110868358	XP_021979449.1	XP_021973181.1	84.775	NC_035433.2	NC_035439.2		segmental	Ha1	Ha7
LOC110875557	LOC110868335	XP_021979449.1	XP_021973155.1	84.429	NC_035433.2	NC_035439.2		segmental	Ha1	Ha7
LOC110875737	LOC110927047	XP_021979635.1	XP_022026331.1	84.274	NC_035433.2	NC_035434.2		segmental	Ha1	Ha2
LOC110875737	LOC110898014	XP_021979635.1	XP_022000445.1	74.308	NC_035433.2	NC_035445.2		segmental	Ha1	Ha13
LOC110875737	LOC110891299	XP_021979635.1	XP_021994685.2	74.089	NC_035433.2	NC_035443.2		segmental	Ha1	Ha11
LOC110875737	LOC110939970	XP_021979635.1	XP_022037229.1	72.0	NC_035433.2	NC_035437.2		segmental	Ha1	Ha5
LOC110887087	LOC110925968	XP_021990674.1	XP_022025446.1	93.684	NC_035434.2	NC_035449.2		segmental	Ha2	Ha17
LOC110887087	LOC110895309	XP_021990674.1	XP_021998290.1	83.158	NC_035434.2	NC_035444.2		segmental	Ha2	Ha12
LOC110887087	LOC110908794	XP_021990674.1	XP_022009469.1	72.277	NC_035434.2	NC_035439.2		segmental	Ha2	Ha7
LOC110887087	LOC110890906	XP_021990674.1	XP_035835925.1	76.087	NC_035434.2	NC_035443.2		segmental	Ha2	Ha11
LOC110887087	LOC110875557	XP_021990674.1	XP_021979449.1	75.0	NC_035434.2	NC_035433.2		segmental	Ha2	Ha1
LOC110889695	LOC110890906	XP_021992949.1	XP_035835925.1	84.452	NC_035439.2	NC_035443.2		segmental	Ha7	Ha11
LOC110889695	LOC110904303	XP_021992949.1	XP_022005838.1	85.159	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110889695	LOC110904457	XP_021992949.1	XP_022005993.1	83.803	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110889695	LOC110875557	XP_021992949.1	XP_021979449.1	85.978	NC_035439.2	NC_035433.2		segmental	Ha7	Ha1
LOC110889695	LOC110904450	XP_021992949.1	XP_022005989.1	83.099	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110889695	LOC110908794	XP_021992949.1	XP_022009469.1	86.296	NC_035439.2	NC_035439.2	18502901.0	segmental	Ha7	Ha7
LOC110889695	LOC110904451	XP_021992949.1	XP_022005990.1	85.978	NC_035439.2	NC_035446.2		segmental	Ha7	Ha14
LOC110889695	LOC110868334	XP_021992949.1	XP_021973154.1	85.609	NC_035439.2	NC_035439.2	9308536.0	segmental	Ha7	Ha7
LOC110889695	LOC110868323	XP_021992949.1	XP_021973148.1	86.296	NC_035439.2	NC_035439.2	9550835.0	segmental	Ha7	Ha7
LOC110890906	LOC110904303	XP_021994243.1	XP_022005838.1	93.772	NC_035443.2	NC_035446.2		segmental	Ha11	Ha14
LOC110890906	LOC110908794	XP_021994243.1	XP_022009469.1	88.927	NC_035443.2	NC_035439.2		segmental	Ha11	Ha7
LOC110890906	LOC110904457	XP_021994243.1	XP_022005993.1	86.851	NC_035443.2	NC_035446.2		segmental	Ha11	Ha14
LOC110890906	LOC110908807	XP_021994243.1	XP_035831160.1	85.121	NC_035443.2	NC_035439.2		segmental	Ha11	Ha7
LOC110890906	LOC110904450	XP_021994243.1	XP_022005989.1	86.851	NC_035443.2	NC_035446.2		segmental	Ha11	Ha14
LOC110890906	LOC110904451	XP_021994243.1	XP_022005990.1	86.505	NC_035443.2	NC_035446.2		segmental	Ha11	Ha14
LOC110891299	LOC110939970	XP_021994685.2	XP_022037229.1	73.6	NC_035443.2	NC_035437.2		segmental	Ha11	Ha5
LOC110891299	LOC110927047	XP_021994685.2	XP_022026331.1	73.469	NC_035443.2	NC_035434.2		segmental	Ha11	Ha2
LOC110894830	LOC110892775	XP_021997756.1	XP_035837035.1	90.493	NC_035444.2	NC_035444.2	3461028.0	segmental	Ha12	Ha12
LOC110894830	LOC110904457	XP_021997756.1	XP_022005993.1	83.099	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110894830	LOC110868323	XP_021997756.1	XP_021973148.1	84.043	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110868318	XP_021997756.1	XP_021973145.1	84.043	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110868358	XP_021997756.1	XP_021973181.1	83.099	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110868335	XP_021997756.1	XP_021973155.1	82.746	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110904450	XP_021997756.1	XP_022005989.1	82.394	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110894830	LOC110904451	XP_021997756.1	XP_022005990.1	82.746	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110894830	LOC110904303	XP_021997756.1	XP_022005838.1	83.392	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110894830	LOC110868317	XP_021997756.1	XP_021973144.1	82.746	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110868334	XP_021997756.1	XP_021973154.1	82.394	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110866810	XP_021997756.1	XP_021971649.1	82.979	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110889695	XP_021997756.1	XP_021992949.1	83.275	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110894830	LOC110890906	XP_021997756.1	XP_035835925.1	80.623	NC_035444.2	NC_035443.2		segmental	Ha12	Ha11
LOC110895309	LOC110925968	XP_021998290.1	XP_022025446.1	92.115	NC_035444.2	NC_035449.2		segmental	Ha12	Ha17
LOC110895309	LOC110890906	XP_021998290.1	XP_035835925.1	85.348	NC_035444.2	NC_035443.2		segmental	Ha12	Ha11
LOC110895309	LOC110875557	XP_021998290.1	XP_021979449.1	84.982	NC_035444.2	NC_035433.2		segmental	Ha12	Ha1
LOC110895309	LOC110904303	XP_021998290.1	XP_022005838.1	81.56	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110895309	LOC110908794	XP_021998290.1	XP_022009469.1	80.851	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110895309	LOC110868884	XP_021998290.1	XP_021973843.1	81.206	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110895309	LOC110904457	XP_021998290.1	XP_022005993.1	80.952	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110895309	LOC110894830	XP_021998290.1	XP_021997756.1	77.385	NC_035444.2	NC_035444.2	26959001.0	segmental	Ha12	Ha12
LOC110895309	LOC110904450	XP_021998290.1	XP_022005989.1	80.22	NC_035444.2	NC_035446.2		segmental	Ha12	Ha14
LOC110895309	LOC110868335	XP_021998290.1	XP_021973155.1	77.465	NC_035444.2	NC_035439.2		segmental	Ha12	Ha7
LOC110896719	LOC110939970	XP_021999580.1	XP_022037229.1	70.635	NC_035444.2	NC_035437.2		segmental	Ha12	Ha5
LOC110897890	LOC110899592	XP_022000317.1	XP_022002168.1	97.909	NC_035445.2	NC_035445.2	90238401.0	segmental	Ha13	Ha13
LOC110897890	LOC110899589	XP_022000317.1	XP_022002167.1	97.909	NC_035445.2	NC_035445.2	90225458.0	segmental	Ha13	Ha13
LOC110897890	LOC110923014	XP_022000317.1	XP_022022901.1	97.561	NC_035445.2	NC_035449.2		segmental	Ha13	Ha17
LOC110897890	LOC110937325	XP_022000317.1	XP_022035417.1	96.516	NC_035445.2	NC_035434.2		segmental	Ha13	Ha2
LOC110897890	LOC110930503	XP_022000317.1	XP_022029508.1	95.47	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110897890	LOC110904925	XP_022000317.1	XP_022006482.1	89.895	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110897890	LOC110868884	XP_022000317.1	XP_021973843.1	76.448	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110897890	LOC110895309	XP_022000317.1	XP_021998290.1	72.593	NC_035445.2	NC_035444.2		segmental	Ha13	Ha12
LOC110897890	LOC110890906	XP_022000317.1	XP_035835925.1	73.063	NC_035445.2	NC_035443.2		segmental	Ha13	Ha11
LOC110898014	LOC110927047	XP_022000445.1	XP_022026331.1	84.19	NC_035445.2	NC_035434.2		segmental	Ha13	Ha2
LOC110899589	LOC110899592	XP_022002167.1	XP_022002168.1	100.0	NC_035445.2	NC_035445.2	12943.0	tandem	Ha13	Ha13
LOC110899589	LOC110930503	XP_022002167.1	XP_022029508.1	96.864	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899589	LOC110937325	XP_022002167.1	XP_022035417.1	96.516	NC_035445.2	NC_035434.2		segmental	Ha13	Ha2
LOC110899589	LOC110923014	XP_022002167.1	XP_022022901.1	96.167	NC_035445.2	NC_035449.2		segmental	Ha13	Ha17
LOC110899589	LOC110904925	XP_022002167.1	XP_022006482.1	90.244	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110899589	LOC110868884	XP_022002167.1	XP_021973843.1	76.062	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110899589	LOC110895309	XP_022002167.1	XP_021998290.1	72.593	NC_035445.2	NC_035444.2		segmental	Ha13	Ha12
LOC110899589	LOC110890906	XP_022002167.1	XP_035835925.1	72.694	NC_035445.2	NC_035443.2		segmental	Ha13	Ha11
LOC110899592	LOC110930503	XP_022002168.1	XP_022029508.1	96.864	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899592	LOC110937325	XP_022002168.1	XP_022035417.1	96.516	NC_035445.2	NC_035434.2		segmental	Ha13	Ha2
LOC110899592	LOC110923014	XP_022002168.1	XP_022022901.1	96.167	NC_035445.2	NC_035449.2		segmental	Ha13	Ha17
LOC110899592	LOC110904925	XP_022002168.1	XP_022006482.1	90.244	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110899592	LOC110868884	XP_022002168.1	XP_021973843.1	76.062	NC_035445.2	NC_035446.2		segmental	Ha13	Ha14
LOC110899592	LOC110895309	XP_022002168.1	XP_021998290.1	72.593	NC_035445.2	NC_035444.2		segmental	Ha13	Ha12
LOC110899592	LOC110890906	XP_022002168.1	XP_035835925.1	72.694	NC_035445.2	NC_035443.2		segmental	Ha13	Ha11
LOC110899653	LOC110899667	XP_022002235.1	XP_022002249.1	99.2	NC_035445.2	NC_035445.2	147842.0	tandem	Ha13	Ha13
LOC110899653	LOC110899655	XP_022002235.1	XP_022002237.1	98.0	NC_035445.2	NC_035445.2	87637.0	tandem	Ha13	Ha13
LOC110899653	LOC110899654	XP_022002235.1	XP_022002236.1	97.6	NC_035445.2	NC_035445.2	14999.0	tandem	Ha13	Ha13
LOC110899653	LOC110930648	XP_022002235.1	XP_022029689.1	93.2	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899653	LOC110916097	XP_022002235.1	XP_022016546.1	88.8	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899653	LOC110916291	XP_022002235.1	XP_022016725.1	87.347	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899654	LOC110899655	XP_022002236.1	XP_022002237.1	99.2	NC_035445.2	NC_035445.2	72638.0	tandem	Ha13	Ha13
LOC110899654	LOC110899667	XP_022002236.1	XP_022002249.1	96.8	NC_035445.2	NC_035445.2	162841.0	tandem	Ha13	Ha13
LOC110899654	LOC110930648	XP_022002236.1	XP_022029689.1	92.0	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899654	LOC110916097	XP_022002236.1	XP_022016546.1	86.8	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899654	LOC110916291	XP_022002236.1	XP_022016725.1	86.475	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899655	LOC110899667	XP_022002237.1	XP_022002249.1	97.2	NC_035445.2	NC_035445.2	235479.0	proximal	Ha13	Ha13
LOC110899655	LOC110930648	XP_022002237.1	XP_022029689.1	92.0	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899655	LOC110916097	XP_022002237.1	XP_022016546.1	87.2	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899655	LOC110916291	XP_022002237.1	XP_022016725.1	86.885	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899667	LOC110930648	XP_022002249.1	XP_022029689.1	93.6	NC_035445.2	NC_035435.2		segmental	Ha13	Ha3
LOC110899667	LOC110916097	XP_022002249.1	XP_022016546.1	88.8	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110899667	LOC110916291	XP_022002249.1	XP_022016725.1	87.755	NC_035445.2	NC_035448.2		segmental	Ha13	Ha16
LOC110904303	LOC110908794	XP_022005838.1	XP_022009469.1	91.519	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110904303	LOC110908807	XP_022005838.1	XP_035831160.1	88.339	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110904303	LOC110904457	XP_022005838.1	XP_022005993.1	88.028	NC_035446.2	NC_035446.2	4890490.0	segmental	Ha14	Ha14
LOC110904303	LOC110904450	XP_022005838.1	XP_022005989.1	88.028	NC_035446.2	NC_035446.2	4904334.0	segmental	Ha14	Ha14
LOC110904303	LOC110904451	XP_022005838.1	XP_022005990.1	88.38	NC_035446.2	NC_035446.2	4978386.0	segmental	Ha14	Ha14
LOC110904303	LOC110868358	XP_022005838.1	XP_021973181.1	86.972	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110904303	LOC110868335	XP_022005838.1	XP_021973155.1	86.62	NC_035446.2	NC_035439.2		segmental	Ha14	Ha7
LOC110904450	LOC110904457	XP_022005989.1	XP_022005993.1	99.296	NC_035446.2	NC_035446.2	13844.0	tandem	Ha14	Ha14
LOC110904450	LOC110904451	XP_022005989.1	XP_022005990.1	97.887	NC_035446.2	NC_035446.2	74052.0	tandem	Ha14	Ha14
LOC110904451	LOC110904457	XP_022005990.1	XP_022005993.1	97.887	NC_035446.2	NC_035446.2	87896.0	tandem	Ha14	Ha14
LOC110904925	LOC110937325	XP_022006482.1	XP_022035417.1	92.683	NC_035446.2	NC_035434.2		segmental	Ha14	Ha2
LOC110904925	LOC110923014	XP_022006482.1	XP_022022901.1	90.941	NC_035446.2	NC_035449.2		segmental	Ha14	Ha17
