protein_id	mip_domain	num_tm_helices	tm_positions	seq_length	mip_evalue	mip_score	mip_ali_from	mip_ali_to
XP_022035419.1	yes	6	53-73;88-108;133-153;176-196;210-230;257-278	287	4.4e-84	274.4	44	274
XP_022035921.1	yes	6	23-43;58-79;104-124;142-164;171-193;218-238	257	4.8e-81	264.5	13	234
XP_022036172.1	yes	6	9-29;44-64;90-110;128-145;157-174;200-222	236	4.3e-09	29.2	8	217
XP_022037229.1	yes	6	24-44;59-79;104-124;144-164;171-193;217-239	252	1.7e-79	259.4	15	234
XP_022038870.1	yes	6	79-99;110-128;158-176;195-213;219-239;264-285	305	4.2e-55	179.6	74	282
XP_035831160.1	yes	6	39-59;79-99;124-144;166-187;198-218;247-268	283	2.6e-88	288.2	29	264
XP_035832764.1	yes	6	56-76;90-109;134-154;177-197;211-231;258-279	287	1.1e-80	263.3	46	275
XP_035833122.1	yes	6	67-81;93-113;141-158;177-197;205-224;247-267	291	1.2e-43	142.2	58	264
XP_035833123.1	yes	5	67-81;93-113;141-159;178-196;205-224	238	3.2e-25	81.9	58	223
XP_035833912.1	yes	6	22-42;57-77;102-122;140-160;169-191;216-236	248	6e-81	264.1	14	232
XP_035834143.1	yes	6	68-86;98-118;143-164;198-218;229-250;282-302	324	5.6e-39	126.9	60	293
XP_035834144.1	yes	6	66-84;96-116;144-162;197-217;228-248;280-300	322	5.5e-38	123.7	58	292
XP_035835916.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835917.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835918.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835920.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835921.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835922.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835923.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835924.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035835925.1	yes	6	45-65;85-105;130-150;172-193;206-226;252-274	289	1.6e-86	282.4	35	270
XP_035837035.1	yes	6	39-59;77-97;122-142;164-185;198-218;245-266	284	7.7e-83	270.3	30	262
