loc_id	TAIR	ENTREZID
LOC110864236	AT2G47680	819381
LOC110864237	AT1G02840	839262
LOC110864238	AT1G02860	839559
LOC110864239	AT1G03060	839323
LOC110864240	AT1G02870	839496
LOC110864241	AT4G02480	827979
LOC110864242	AT3G52580	824424
LOC110864244	AT2G47750	819387
LOC110864245	AT2G27490	817294
LOC110864246	AT3G07100	819896
LOC110864247	AT4G02520	827931
LOC110864248	AT3G62770	825452
LOC110864251	AT1G12700	837825
LOC110864252	AT1G02970	839453
LOC110864253	AT4G05000	825842
LOC110864254	AT4G03100	828092
LOC110864255	AT4G03090	828094
LOC110864256	AT1G03370	839519
LOC110864257	AT4G03000	828112
LOC110864258	AT3G63030	825478
LOC110864259	AT4G02900	828143
LOC110864261	AT1G03290	838603
LOC110864264	AT3G07100	819896
LOC110864265	AT5G47810	834832
LOC110864266	AT3G60780	825249
LOC110864267	AT4G22730	828369
LOC110864268	AT5G20920	832216
LOC110864269	AT4G22680	828364
LOC110864270	AT1G62770	842576
LOC110864271	AT1G62710	842569
LOC110864273	AT1G62710	842569
LOC110864276	AT2G45190	819127
LOC110864277	AT1G18270	838407
LOC110864278	AT5G23050	832369
LOC110864280	AT1G62520	842549
LOC110864281	AT4G22540	828349
LOC110864282	AT1G12110	837763
LOC110864283	AT4G12520	826864
LOC110864284	AT2G45180	819126
LOC110864285	AT2G45180	819126
LOC110864286	AT2G45180	819126
LOC110864287	AT4G17260	827440
LOC110864288	AT2G45180	819126
LOC110864289	AT2G35736	818145
LOC110864290	AT5G17550	831621
LOC110864291	AT5G06350	830523
LOC110864292	AT4G17380	827450
LOC110864293	AT5G06350	830523
LOC110864294	AT3G49100	824071
LOC110864297	AT1G44820	841046
LOC110864298	AT4G16765	827382
LOC110864299	AT3G60410	825212
LOC110864300	AT4G16790	827385
LOC110864301	AT3G60340	825205
LOC110864302	AT2G35680	818137
LOC110864303	AT5G47310	834778
LOC110864304	AT5G47240	834771
LOC110864306	AT4G17540	827469
LOC110864307	AT5G27850	832848
LOC110864308	AT5G12110	831084
LOC110864309	AT3G45600	823702
LOC110864310	AT3G52300	824395
LOC110864311	AT3G45650	823707
LOC110864313	AT3G45650	823707
LOC110864314	AT5G23960	832461
LOC110864315	AT1G12380	837793
LOC110864316	AT1G12360	837791
LOC110864317	AT1G12330	837787
LOC110864319	AT4G12110	826819
LOC110864321	AT4G12110	826819
LOC110864322	AT4G22756	828374
LOC110864324	AT1G12410	837797
LOC110864326	AT1G17860	838365
LOC110864327	AT2G45560	819164
LOC110864328	AT2G45560	819164
LOC110864329	AT2G45560	819164
LOC110864330	AT4G12040	826812
LOC110864335	AT1G12430	837799
LOC110864336	AT4G22810	828380
LOC110864337	AT4G22790	828378
LOC110864338	AT4G12060	826814
LOC110864339	AT1G20850	838677
LOC110864340	AT1G12420	837798
LOC110864341	AT1G12420	837798
LOC110864344	AT5G01780	831672
LOC110864346	AT1G17860	838365
LOC110864347	AT1G17860	838365
LOC110864349	AT1G17860	838365
LOC110864350	AT1G63020	842605
LOC110864351	AT1G12600	837816
LOC110864353	AT4G22990	828398
LOC110864354	AT1G12570	837814
LOC110864355	AT5G51920	835267
LOC110864356	AT4G11820	826788
LOC110864357	AT4G11850	826791
LOC110864358	AT2G42010	818802
LOC110864359	AT1G62990	842602
LOC110864360	AT4G22920	828391
LOC110864361	AT4G22920	828391
LOC110864362	AT1G12560	837813
LOC110864363	AT4G11970	826804
LOC110864365	AT3G47570	823911
LOC110864368	AT5G52020	835277
LOC110864371	AT5G62020	836322
LOC110864372	AT4G11670	826772
LOC110864373	AT1G63160	842620
LOC110864374	AT1G12740	837830
LOC110864375	AT1G63180	842622
LOC110864376	AT5G21050	832229
LOC110864377	AT4G16260	827320
LOC110864378	AT4G16260	827320
LOC110864379	AT3G52905	5008084
LOC110864380	AT4G16260	827320
LOC110864381	AT1G33811	840274
LOC110864382	AT4G16260	827320
LOC110864383	AT2G07750	815422
LOC110864384	AT1G01800	839259
LOC110864385	AT5G25757	832644
LOC110864387	AT3G61220	825294
LOC110864388	AT1G63430	842649
LOC110864389	AT5G05170	830399
LOC110864391	AT1G63300	842636
LOC110864392	AT5G63920	836513
LOC110864393	AT5G63920	836513
LOC110864396	AT4G00660	828042
LOC110864398	AT5G42220	834227
LOC110864399	AT4G20090	827754
LOC110864400	AT3G55770	824743
LOC110864401	AT1G12800	837836
LOC110864402	AT4G11640	826769
LOC110864403	AT4G11600	826765
LOC110864404	AT1G63470	842653
LOC110864405	AT1G63650	842669
LOC110864406	AT1G63680	842672
LOC110864408	AT1G63660	842670
LOC110864409	AT4G00430	827956
LOC110864410	AT4G23430	828442
LOC110864411	AT4G23430	828442
LOC110864412	AT1G63700	842674
LOC110864413	AT1G19330	838515
LOC110864414	AT5G58770	835991
LOC110864415	AT1G66340	842951
LOC110864416	AT5G41370	834139
LOC110864417	AT1G63830	842686
LOC110864418	AT3G61460	825319
LOC110864419	AT5G41410	834143
LOC110864420	AT4G11280	826730
LOC110864421	AT5G62310	836352
LOC110864424	AT3G51880	824351
LOC110864428	AT2G16460	816144
LOC110864433	AT5G41580	834160
LOC110864434	AT3G08940	820043
LOC110864435	AT1G64050	842709
LOC110864436	AT1G64060	842710
LOC110864437	AT1G64110	842716
LOC110864438	AT4G11220	826724
LOC110864439	AT1G64140	842718
LOC110864440	AT4G23700	828470
LOC110864441	AT3G08980	820050
LOC110864442	AT4G24040	828504
LOC110864443	AT4G23990	828499
LOC110864444	AT1G55090	841952
LOC110864445	AT4G23980	828498
LOC110864446	AT3G09010	820053
LOC110864447	AT5G42050	834210
LOC110864449	AT5G42050	834210
LOC110864451	AT1G64480	842756
LOC110864452	AT1G48160	841235
LOC110864461	AT5G17780	831646
LOC110864464	AT5G17780	831646
LOC110864465	AT1G64385	842746
LOC110864466	AT1G64380	842745
LOC110864467	AT5G53160	835397
LOC110864468	AT5G41850	834190
LOC110864469	AT5G45890	834629
LOC110864472	AT4G24050	828505
LOC110864473	AT4G02340	828063
LOC110864475	AT5G53500	835432
LOC110864479	AT3G63390	825514
LOC110864480	AT4G24060	828506
LOC110864481	AT1G64625	844441
LOC110864482	AT4G00910	827985
LOC110864483	AT3G58810	825050
LOC110864484	AT4G10590	826651
LOC110864485	AT2G46770	819290
LOC110864486	AT4G00820	828002
LOC110864487	AT4G24150	828515
LOC110864489	AT4G02290	828080
LOC110864490	AT1G02800	839385
LOC110864492	AT4G38180	829974
LOC110864493	AT5G41940	834199
LOC110864494	AT4G24120	828512
LOC110864495	AT5G41950	834200
LOC110864496	AT4G10730	826667
LOC110864497	AT5G41960	834201
LOC110864498	AT4G10730	826667
LOC110864499	AT4G24090	828509
LOC110864500	AT5G41970	834202
LOC110864501	AT4G10770	826672
LOC110864502	AT4G10750	826669
LOC110864503	AT1G01430	837247
LOC110864505	AT4G11070	826708
LOC110864506	AT2G46240	819232
LOC110864507	AT4G01210	828040
LOC110864508	AT2G46225	819230
LOC110864509	AT2G46180	819225
LOC110864510	AT2G46170	819224
LOC110864511	AT2G46090	819217
LOC110864512	AT4G01370	828151
LOC110864513	AT2G20830	816615
LOC110864514	AT4G00300	28719430
LOC110864515	AT5G28300	832914
LOC110864517	AT4G00335	828093
LOC110864518	AT5G47100	834756
LOC110864519	AT1G17500	838324
LOC110864520	AT5G47080	834754
LOC110864521	AT4G17080	827416
LOC110864522	AT3G10950	820266
LOC110864523	AT1G05490	837051
LOC110864524	AT5G47060	834752
LOC110864525	AT1G32740	840168
LOC110864526	AT2G44610	819069
LOC110864527	AT1G32470	840141
LOC110864528	AT1G64210	842726
LOC110864529	AT1G32450	840139
LOC110864530	AT1G32380	840131
LOC110864531	AT1G32400	840133
LOC110864532	AT4G21410	827893
LOC110864534	AT3G29230	822578
LOC110864535	AT1G32500	840144
LOC110864536	AT2G35330	818100
LOC110864537	AT3G10970	820268
LOC110864540	AT1G32540	840148
LOC110864542	AT2G01860	814717
LOC110864543	AT5G46630	834706
LOC110864544	AT4G17950	827520
LOC110864545	AT4G17800	827502
LOC110864547	AT5G02500	831020
LOC110864548	AT4G17810	827503
LOC110864550	AT5G02500	831020
LOC110864552	AT5G46800	834724
LOC110864553	AT4G17870	827510
LOC110864554	AT1G32640	840158
LOC110864558	AT4G17895	827513
LOC110864562	AT2G35410	818107
LOC110864563	AT4G17905	6241286
LOC110864564	AT4G38180	829974
LOC110864566	AT1G72210	843553
LOC110864567	AT5G16760	831539
LOC110864568	AT1G62350	842533
LOC110864569	AT4G17770	827498
LOC110864570	AT4G02290	828080
LOC110864571	AT3G08910	820040
LOC110864572	AT2G47520	819365
LOC110864573	AT2G40940	818693
LOC110864574	AT2G47510	819364
LOC110864579	AT3G06740	819859
LOC110864580	AT1G77670	844103
LOC110864581	AT1G02660	839544
LOC110864582	AT3G08920	820041
LOC110864583	AT3G62580	825432
LOC110864585	AT4G02100	828142
LOC110864586	AT1G78850	844222
LOC110864587	AT2G44830	819092
LOC110864588	AT1G02090	839241
LOC110864590	AT3G08510	819999
LOC110864591	AT4G01660	828127
LOC110864592	AT3G62080	825381
LOC110864593	AT2G47020	819316
LOC110864594	AT3G62140	825387
LOC110864595	AT4G01860	827918
LOC110864596	AT5G49180	834977
LOC110864599	AT5G26751	832733
LOC110864600	AT1G02475	839236
LOC110864601	AT2G47210	819334
LOC110864602	AT3G62280	825401
LOC110864603	AT3G62280	825401
LOC110864605	AT3G14490	820672
LOC110864607	AT3G66654	819847
LOC110864608	AT2G47350	819348
LOC110864609	AT2G47390	819352
LOC110864610	AT2G16760	816177
LOC110864611	AT3G62410	825414
LOC110864612	AT3G62420	825415
LOC110864615	AT4G02060	828153
LOC110864617	AT1G02610	837915
LOC110864620	AT3G60190	825189
LOC110864621	AT2G13560	815842
LOC110864622	AT2G44600	819068
LOC110864623	AT1G44750	841039
LOC110864624	AT1G44750	841039
LOC110864625	AT1G08800	837402
LOC110864626	AT2G44640	819072
LOC110864628	AT2G44670	819075
LOC110864629	AT5G47080	834754
LOC110864630	AT4G17520	827467
LOC110864631	AT5G24510	832522
LOC110864632	AT2G35270	818094
LOC110864633	AT1G29000	839774
LOC110864635	AT5G23960	832461
LOC110864636	AT5G65940	836724
LOC110864638	AT3G51860	824349
LOC110864640	AT5G65940	836724
LOC110864641	AT5G65940	836724
LOC110864647	AT5G65940	836724
LOC110864648	AT5G44710	834500
LOC110864650	AT4G26500	828756
LOC110864651	AT3G17668	5008005
LOC110864652	AT3G03620	821204
LOC110864654	AT5G17700	831637
LOC110864655	AT5G60850	836206
LOC110864656	AT1G52140	841644
LOC110864657	AT1G15210	838087
LOC110864658	AT1G15210	838087
LOC110864659	AT4G35300	829684
LOC110864660	AT2G47820	819394
LOC110864662	AT4G35300	829684
LOC110864667	AT1G17370	838309
LOC110864668	AT1G19180	838501
LOC110864669	AT3G53270	824494
LOC110864670	AT1G19130	838496
LOC110864671	AT5G66430	836775
LOC110864672	AT3G03570	821234
LOC110864673	AT3G60410	825212
LOC110864674	AT4G10250	826616
LOC110864677	AT3G60450	825216
LOC110864678	AT3G60480	825219
LOC110864679	AT2G44980	819106
LOC110864683	AT3G60520	825223
LOC110864685	AT4G00030	828231
LOC110864687	AT1G69070	843239
LOC110864688	AT5G07670	830660
LOC110864689	AT1G02080	839244
LOC110864690	AT5G41980	834203
LOC110864691	AT2G45060	819113
LOC110864692	AT2G45050	819112
LOC110864699	AT2G45140	819122
LOC110864700	AT2G45140	819122
LOC110864702	AT2G45150	819123
LOC110864705	AT4G00150	828208
LOC110864708	AT5G67380	836873
LOC110864709	AT2G45560	819164
LOC110864712	AT3G15850	820828
LOC110864713	AT3G15800	820823
LOC110864715	AT3G15730	820816
LOC110864716	AT1G25440	839130
LOC110864717	AT1G04760	839424
LOC110864718	AT2G45590	819167
LOC110864719	AT2G45630	819171
LOC110864720	AT2G45640	819172
LOC110864721	AT2G45660	819174
LOC110864722	AT1G30910	839975
LOC110864723	AT2G45670	819175
LOC110864727	AT2G42010	818802
LOC110864728	AT5G65560	836682
LOC110864729	AT2G45680	819176
LOC110864730	AT2G45690	819177
LOC110864731	AT2G29890	817539
LOC110864732	AT1G01910	839305
LOC110864733	AT4G22990	828398
LOC110864735	AT1G12600	837816
LOC110864736	AT5G36890	833656
LOC110864737	AT2G22170	816751
LOC110864739	AT3G60690	825240
LOC110864740	AT2G45220	819130
LOC110864741	AT2G45240	819132
LOC110864743	AT1G62770	842576
LOC110864744	AT3G61060	825278
LOC110864745	AT1G01820	839257
LOC110864746	AT1G10780	837621
LOC110864747	AT1G62620	842559
LOC110864748	AT4G00170	828017
LOC110864749	AT2G45190	819127
LOC110864751	AT5G23850	832450
LOC110864752	AT5G23850	832450
LOC110864753	AT2G20690	816597
LOC110864757	AT4G00720	828023
LOC110864758	AT3G61170	825289
LOC110864759	AT3G61180	825290
LOC110864760	AT4G00550	827960
LOC110864762	AT5G26710	832718
LOC110864767	AT4G00630	825834
LOC110864768	AT2G45790	819187
LOC110864770	AT3G14470	820670
LOC110864772	AT3G06960	819881
LOC110864774	AT4G00370	827908
LOC110864775	AT2G45970	819205
LOC110864776	AT1G01610	839297
LOC110864777	AT1G01650	839499
LOC110864779	AT3G22490	821820
LOC110864780	AT4G00460	827967
LOC110864781	AT1G01710	839254
LOC110864782	AT1G48100	841228
LOC110864783	AT1G01710	839254
LOC110864788	AT5G13490	831193
LOC110864789	AT1G29670	839844
LOC110864791	AT4G36710	829824
LOC110864792	AT2G18540	816369
LOC110864793	AT2G46000	819208
LOC110864794	AT2G46040	819212
LOC110864795	AT3G61440	825317
LOC110864796	AT2G46040	819212
LOC110864799	AT2G46050	819213
LOC110864800	AT2G46060	819214
LOC110864801	AT3G61490	825322
LOC110864802	AT3G04810	819641
LOC110864803	AT1G17890	838368
LOC110864805	AT4G01310	827947
LOC110864806	AT1G01510	839401
LOC110864807	AT1G01490	839440
LOC110864808	AT4G01270	828038
LOC110864809	AT2G44160	819022
LOC110864810	AT4G01250	827896
LOC110864811	AT1G14620	838024
LOC110864812	AT4G01070	827912
LOC110864813	AT5G08440	830743
LOC110864814	AT4G04650	825798
LOC110864815	AT1G69200	843251
LOC110864816	AT4G01130	828207
LOC110864818	AT2G46260	819234
LOC110864819	AT3G27890	822411
LOC110864820	AT4G01150	828181
LOC110864821	AT2G46370	819244
LOC110864822	AT1G32750	840169
LOC110864823	AT1G03080	838350
LOC110864827	AT1G28210	839715
LOC110864828	AT1G01360	838452
LOC110864829	AT3G61680	825341
LOC110864830	AT1G01350	838964
LOC110864831	AT3G61690	825342
LOC110864832	AT4G01000	826414
LOC110864834	AT2G46495	819259
LOC110864835	AT2G46500	819260
LOC110864836	AT3G61790	825352
LOC110864837	AT1G01290	839445
LOC110864838	AT3G61860	825359
LOC110864839	AT1G01225	839358
LOC110864840	AT2G46550	819267
LOC110864841	AT4G00980	827935
LOC110864842	AT2G42810	818881
LOC110864844	AT2G42800	818880
LOC110864845	AT3G14690	820697
LOC110864849	AT5G08300	830726
LOC110864850	AT2G30800	817631
LOC110864851	AT4G16660	827367
LOC110864852	AT4G00870	827990
LOC110864853	AT2G46700	819282
LOC110864855	AT4G28210	828936
LOC110864858	AT4G21490	828234
LOC110864861	AT4G10265	826618
LOC110864863	AT4G10265	826618
LOC110864865	AT1G68660	843196
LOC110864866	AT2G20890	816623
LOC110864867	AT4G21440	826916
LOC110864869	AT5G16770	831540
LOC110864873	AT2G46660	819278
LOC110864874	AT5G53560	835438
LOC110864875	AT5G53560	835438
LOC110864878	AT2G46620	819274
LOC110864880	AT4G00895	827987
LOC110864881	AT5G08510	830750
LOC110864882	AT2G20690	816597
LOC110864883	AT2G20690	816597
LOC110864884	AT4G28290	828944
LOC110864886	AT3G58610	825030
LOC110864887	AT2G42590	818859
LOC110864888	AT2G20590	816582
LOC110864889	AT4G28380	828954
LOC110864890	AT1G01580	839411
LOC110864891	AT1G65730	842884
LOC110864892	AT3G19740	821511
LOC110864894	AT1G48930	841315
LOC110864895	AT3G10260	820188
LOC110864896	AT5G23120	832376
LOC110864897	AT5G08200	830716
LOC110864898	AT1G43760	840968
LOC110864900	AT5G23140	832378
LOC110864902	AT3G59080	825077
LOC110864903	AT4G14990	827158
LOC110864904	AT5G08580	830759
LOC110864905	AT5G08540	830754
LOC110864906	AT1G06680	837178
LOC110864907	AT2G30880	817638
LOC110864908	AT3G59110	825080
LOC110864909	AT2G32240	817784
LOC110864911	AT3G22290	821798
LOC110864912	AT4G16340	827328
LOC110864913	AT3G19970	821535
LOC110864914	AT5G23340	832398
LOC110864915	AT5G23360	832400
LOC110864917	AT5G23360	832400
LOC110864919	AT4G17250	827439
LOC110864922	AT2G31610	817719
LOC110864923	AT1G50300	841452
LOC110864924	AT5G44400	834466
LOC110864925	AT3G19810	821518
LOC110864927	AT3G13530	820555
LOC110864929	AT3G13530	820555
LOC110864930	AT3G19760	821513
LOC110864932	AT5G48820	834940
LOC110864933	AT2G32720	817832
LOC110864934	AT5G48760	834934
LOC110864936	AT1G53390	841775
LOC110864937	AT5G56710	835772
LOC110864938	AT4G29240	829045
LOC110864939	AT1G51980	841627
LOC110864940	AT4G26270	828733
LOC110864941	AT2G19800	816499
LOC110864942	AT4G29190	829040
LOC110864944	AT2G19750	816494
LOC110864945	AT1G03090	838362
LOC110864946	AT4G29310	829053
LOC110864947	AT3G16490	820897
LOC110864948	AT4G18100	827535
LOC110864949	AT3G25250	822119
LOC110864950	AT3G25210	822114
LOC110864953	AT4G13830	827017
LOC110864954	AT4G13830	827017
LOC110864955	AT3G57610	824930
LOC110864956	AT5G65820	836711
LOC110864957	AT5G40230	834021
LOC110864961	AT2G31450	817703
LOC110864962	AT2G41890	818789
LOC110864963	AT1G29750	839853
LOC110864964	AT3G57550	824922
LOC110864965	AT3G47370	823891
LOC110864970	AT1G32330	840125
LOC110864972	AT1G03905	839376
LOC110864973	AT4G28540	828972
LOC110864974	AT1G03950	839362
LOC110864975	AT4G27090	828817
LOC110864976	AT5G24520	832523
LOC110864979	AT5G44070	834430
LOC110864980	AT1G12570	837814
LOC110864981	AT1G32580	840152
LOC110864983	AT5G43990	834422
LOC110864984	AT1G11930	837744
LOC110864985	AT1G04090	839298
LOC110864986	AT5G43940	834417
LOC110864987	AT5G46910	834736
LOC110864988	AT5G04070	830286
LOC110864989	AT5G46880	834733
LOC110864991	AT2G35490	818114
LOC110864992	AT4G17720	827493
LOC110864993	AT1G62310	842529
LOC110864994	AT1G32160	840108
LOC110864995	AT5G45190	834555
LOC110864996	AT1G32130	840105
LOC110864997	AT2G35540	818119
LOC110864998	AT1G32240	840116
LOC110864999	AT1G32230	840115
LOC110865001	AT1G32210	840113
LOC110865002	AT1G32200	840112
LOC110865003	AT3G03050	821148
LOC110865004	AT1G50410	841463
LOC110865005	AT1G23280	838937
LOC110865006	AT5G45550	834591
LOC110865009	AT1G32100	840102
LOC110865010	AT1G68310	843160
LOC110865011	AT5G45620	834602
LOC110865012	AT4G24020	828502
LOC110865016	AT3G21630	821717
LOC110865019	AT5G62950	836415
LOC110865020	AT1G64530	842761
LOC110865021	AT1G64530	842761
LOC110865022	AT1G64530	842761
LOC110865024	AT1G64530	842761
LOC110865026	AT1G64530	842761
LOC110865027	AT4G04320	825752
LOC110865028	AT1G64530	842761
LOC110865029	AT1G16770	838248
LOC110865031	AT3G12120	820387
LOC110865032	AT3G12120	820387
LOC110865033	AT2G35610	818128
LOC110865034	AT4G19230	827663
LOC110865036	AT5G45310	834567
LOC110865037	AT1G61590	842455
LOC110865039	AT4G04330	825753
LOC110865040	AT5G45390	834575
LOC110865041	AT2G33760	817942
LOC110865042	AT4G31360	829263
LOC110865043	AT1G30700	839950
LOC110865045	AT1G30700	839950
LOC110865046	AT3G59540	825123
LOC110865049	AT4G22140	828303
LOC110865050	AT1G56440	842097
LOC110865051	AT3G45900	823733
LOC110865052	AT1G31810	840068
LOC110865053	AT3G06330	819807
LOC110865054	AT4G19410	827682
LOC110865055	AT4G19185	827657
LOC110865056	AT1G31770	840064
LOC110865058	AT3G23210	821899
LOC110865060	AT2G24370	816973
LOC110865061	AT2G44260	819034
LOC110865062	AT4G16580	827359
LOC110865063	AT3G16770	820929
LOC110865067	AT4G02340	828063
LOC110865068	AT1G12000	837752
LOC110865069	AT3G06840	819868
LOC110865070	AT3G16730	820925
LOC110865071	AT1G19250	838508
LOC110865072	AT3G28730	822505
LOC110865073	AT2G30260	817576
LOC110865074	AT4G02340	828063
LOC110865076	AT4G02340	828063
LOC110865077	AT4G15940	827276
LOC110865078	AT2G47850	819397
LOC110865079	AT1G17720	838348
LOC110865080	AT5G11780	831050
LOC110865081	AT4G32980	829435
LOC110865082	AT5G11850	831058
LOC110865083	AT1G62390	842537
LOC110865084	AT4G33010	829438
LOC110865085	AT5G11890	831062
LOC110865087	AT4G33030	829440
LOC110865088	AT4G33040	829441
LOC110865089	AT3G62790	825454
LOC110865090	AT3G16640	820916
LOC110865091	AT1G68140	843142
LOC110865092	AT4G15880	827269
LOC110865093	AT3G20300	821574
LOC110865094	AT3G47390	823893
LOC110865096	AT1G34300	840330
LOC110865097	AT3G47390	823893
LOC110865099	AT2G24430	816979
LOC110865100	AT4G05530	825905
LOC110865101	AT4G31130	829241
LOC110865102	AT4G31115	829239
LOC110865103	AT4G35410	829694
LOC110865104	AT5G10720	830938
LOC110865105	AT5G10720	830938
LOC110865106	AT2G24590	816995
LOC110865107	AT3G26300	822234
LOC110865109	AT3G05030	819665
LOC110865110	AT5G18840	832002
LOC110865111	AT5G18610	831979
LOC110865113	AT5G18640	831982
LOC110865114	AT5G04920	830374
LOC110865115	AT2G25840	817126
LOC110865116	AT1G11290	837671
LOC110865118	AT2G25840	817126
LOC110865120	AT1G11290	837671
LOC110865121	AT5G18580	831976
LOC110865122	AT4G03000	828112
LOC110865123	AT4G31820	829311
LOC110865124	AT1G67810	843107
LOC110865125	AT1G67850	843111
LOC110865126	AT1G12990	837857
LOC110865128	AT1G67900	843118
LOC110865129	AT1G76850	844020
LOC110865130	AT1G10740	837617
LOC110865131	AT1G23340	838943
LOC110865135	AT1G60790	842373
LOC110865136	AT1G09760	837505
LOC110865139	AT1G10865	5007681
LOC110865140	AT5G44400	834466
LOC110865143	AT5G44400	834466
LOC110865144	AT5G44400	834466
LOC110865147	AT3G61470	825320
LOC110865148	AT1G27385	839628
LOC110865149	AT1G27930	839686
LOC110865150	AT5G43270	834345
LOC110865151	AT1G27290	839618
LOC110865152	AT1G24260	839040
LOC110865154	AT1G24265	839041
LOC110865155	AT3G51950	824358
LOC110865157	AT5G14090	831258
LOC110865158	AT5G50700	835141
LOC110865159	AT5G50700	835141
LOC110865160	AT3G25980	822195
LOC110865161	AT3G26000	822197
LOC110865162	AT3G25990	822196
LOC110865163	AT3G55010	824667
LOC110865166	AT1G67730	843098
LOC110865167	AT1G67740	843099
LOC110865168	AT3G26120	822211
LOC110865169	AT2G21300	816669
LOC110865170	AT1G67340	843055
LOC110865171	AT4G22300	828325
LOC110865172	AT5G63400	836459
LOC110865173	AT1G67570	843078
LOC110865174	AT1G67600	843081
LOC110865175	AT1G67630	843086
LOC110865178	AT5G13220	831162
LOC110865179	AT5G13230	831163
LOC110865180	AT2G33540	817919
LOC110865184	AT5G48970	834956
LOC110865185	AT1G28140	839708
LOC110865186	AT4G22300	828325
LOC110865187	AT1G57820	842157
LOC110865190	AT5G13430	831184
LOC110865191	AT5G13420	831183
LOC110865192	AT5G13190	831158
LOC110865193	AT2G30410	817592
LOC110865194	AT5G50870	835159
LOC110865197	AT5G58840	836001
LOC110865198	AT5G13120	831151
LOC110865199	AT5G50760	835148
LOC110865200	AT3G11920	820365
LOC110865202	AT1G27760	839669
LOC110865203	AT5G47860	834837
LOC110865204	AT5G47870	834838
LOC110865205	AT4G22310	828326
LOC110865206	AT2G19640	816483
LOC110865207	AT1G44900	841056
LOC110865208	AT1G44960	841061
LOC110865209	AT5G13870	831233
