chr1	chr2	species1	gene1	prot1	species2	gene2	prot2
Ha_NC_035446.2	Ls_NC_056630.2	Ha	LOC110868884	XP_021973843.1	Ls	LOC111877216	XP_023729504.1
Ha_NC_035446.2	Ls_NC_056631.2	Ha	LOC110904925	XP_022006482.1	Ls	LOC111882021	XP_042754199.1
Ha_NC_035447.2	Ls_NC_056629.2	Ha	LOC110911761	XP_022012102.1	Ls	LOC111880668	XP_023732851.1
Ha_NC_035447.2	Ls_NC_056631.2	Ha	LOC110914202	XP_022014704.1	Ls	LOC111921316	XP_023772653.1
Ha_NC_035447.2	Ls_NC_056631.2	Ha	LOC110912639	XP_022013098.1	Ls	LOC111903018	XP_023754582.1
Ha_NC_035448.2	Ls_NC_056631.2	Ha	LOC110937771	XP_022035921.1	Ls	LOC111903018	XP_023754582.1
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111920843	XP_023772191.1
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110925968	XP_022025446.1	Ls	LOC111884286	XP_023736370.1
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110926365	XP_022025807.1	Ls	LOC111907394	XP_023758937.1
Ha_NC_035449.2	Ls_NC_056628.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111900371	XP_023752024.1
Ha_NC_035449.2	Ls_NC_056628.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111901129	XP_023752776.1
Ha_NC_035449.2	Ls_NC_056630.2	Ha	LOC110925968	XP_022025446.1	Ls	LOC111919307	XP_023770678.2
