loc_id	product	subfamily.x	chromosome	start	end	strand	gene_name	subfamily.y	gene_length_bp	exon_count	total_exon_length	intron_count	avg_intron_length	mrna_variants
LOC110899667	probable aquaporin TIP-type RB7-5A	TIP	NC_035445.2	147793752	147795394	+	probable aquaporin TIP-type RB7-5A	TIP	1643	3	1010	2	316	1
LOC110904303	aquaporin PIP2-2	PIP	NC_035446.2	148783863	148786430	+	aquaporin PIP2-2	PIP	2568	4	1188	3	460	1
LOC110904450	probable aquaporin PIP2-4	PIP	NC_035446.2	153688197	153689535	-	probable aquaporin PIP2-4	PIP	1339	3	1135	2	102	1
LOC110904451	probable aquaporin PIP2-4	PIP	NC_035446.2	153762249	153763512	-	probable aquaporin PIP2-4	PIP	1264	3	1060	2	102	1
LOC110904457	probable aquaporin PIP2-4	PIP	NC_035446.2	153674353	153675807	+	probable aquaporin PIP2-4	PIP	1455	3	1236	2	110	1
LOC110904925	probable aquaporin PIP1-4	PIP	NC_035446.2	167862157	167864457	-	probable aquaporin PIP1-4	PIP	2301	3	1228	2	536	1
LOC110905693	probable aquaporin NIP-type	NIP	NC_035446.2	106361596	106363630	+	probable aquaporin NIP-type	NIP	2035	5	967	4	267	1
LOC110906290	probable aquaporin TIP5-1	TIP	NC_035446.2	169823176	169825171	-	probable aquaporin TIP5-1	TIP	1996	3	1433	2	282	1
LOC110906934	aquaporin PIP2-1	PIP	NC_035434.2	153495019	153496193	+	aquaporin PIP2-1	PIP	1175	4	918	3	86	1
LOC110908794	aquaporin PIP2-2	PIP	NC_035439.2	129058310	129060704	-	aquaporin PIP2-2	PIP	2395	4	1145	3	417	1
LOC110908807	aquaporin PIP2-2-like	PIP	NC_035439.2	129103100	129106231	-	aquaporin PIP2-2-like	PIP	3132	4	1200	3	644	1
LOC110911761	aquaporin NIP1-1	NIP	NC_035447.2	62119483	62121453	-	aquaporin NIP1-1	NIP	1971	5	1029	4	236	1
LOC110912639	probable aquaporin TIP3-2	TIP	NC_035447.2	146264526	146265993	+	probable aquaporin TIP3-2	TIP	1468	3	939	2	264	1
LOC110914202	nodulin-26	unknown	NC_035447.2	140220777	140223602	+	nodulin-26	unknown	2826	5	1260	4	392	1
LOC110916097	probable aquaporin TIP-type	TIP	NC_035448.2	93174593	93176205	-	probable aquaporin TIP-type	TIP	1613	3	1258	2	178	1
LOC110916291	probable aquaporin TIP-type RB7-5A	TIP	NC_035448.2	93139465	93140773	-	probable aquaporin TIP-type RB7-5A	TIP	1309	3	1019	2	145	1
LOC110921506	probable aquaporin NIP5-1	NIP	NC_035449.2	1891811	1893822	+	probable aquaporin NIP5-1	NIP	2012	4	1727	3	95	1
LOC110923014	aquaporin PIP1-3	PIP	NC_035449.2	990482	992775	+	aquaporin PIP1-3	PIP	2294	4	1171	3	374	1
LOC110925968	aquaporin PIP2-7	PIP	NC_035449.2	30003876	30005529	-	aquaporin PIP2-7	PIP	1654	4	1216	3	146	1
LOC110926365	probable aquaporin NIP5-1	NIP	NC_035449.2	1877852	1880421	+	probable aquaporin NIP5-1	NIP	2570	4	1721	3	283	1
LOC110927047	aquaporin TIP1-1	TIP	NC_035434.2	166250290	166252037	+	aquaporin TIP1-1	TIP	1748	2	999	1	749	1
LOC110930503	aquaporin PIP1-3	PIP	NC_035435.2	163300314	163302838	-	aquaporin PIP1-3	PIP	2525	4	1085	3	480	1
LOC110930648	probable aquaporin TIP-type	TIP	NC_035435.2	167829005	167830856	+	probable aquaporin TIP-type	TIP	1852	3	1045	2	404	1
LOC110933853	aquaporin NIP1-1	NIP	NC_035436.2	163382054	163384124	-	aquaporin NIP1-1	NIP	2071	5	995	4	269	1
LOC110937325	aquaporin PIP1-3	PIP	NC_035434.2	135407960	135410684	+	aquaporin PIP1-3	PIP	2725	4	1316	3	470	1
LOC110937771	aquaporin TIP3-1	TIP	NC_035448.2	104520431	104522993	+	aquaporin TIP3-1	TIP	2563	3	1325	2	619	1
LOC110939970	aquaporin TIP1-3	TIP	NC_035437.2	11889108	11890313	+	aquaporin TIP1-3	TIP	1206	3	965	2	120	1
LOC110941540	aquaporin NIP6-1	NIP	NC_035437.2	153436199	153439654	-	aquaporin NIP6-1	NIP	3456	5	1299	4	539	1
