gene_id	protein_id	element	count	positions
LOC110866810	XP_021971649.1	TATA-box	17	+659;+766;+1311;+1555;+1612;-46;-441;+9;+107;+134
LOC110866810	XP_021971649.1	CAAT-box	5	+1171;-130;-502;-578;-1654
LOC110866810	XP_021971649.1	ARE	3	+600;+662;+708
LOC110866810	XP_021971649.1	STRE	8	+932;+1015;+1941;-330;+1665;-54;-980;-1063
LOC110868194	XP_021972988.1	ABRE	1	-161
LOC110868194	XP_021972988.1	DRE/CRT	8	+36;+706;+972;-846;-862;-987;+35;-861
LOC110868194	XP_021972988.1	MYB_binding	1	+78
LOC110868194	XP_021972988.1	W-box	2	+655;+1481
LOC110868194	XP_021972988.1	LTR	3	+1808;-867;-905
LOC110868194	XP_021972988.1	TATA-box	8	+486;+577;+1678;-1419;+387;+1676;-318;-1607
LOC110868194	XP_021972988.1	CAAT-box	6	+589;+911;+1516;+1781;-1688;-1818
LOC110868194	XP_021972988.1	ARE	6	+489;+1447;+1778;-1467;-1685;-1834
LOC110868194	XP_021972988.1	STRE	2	-601;+1394
LOC110868195	XP_021972990.2	ABRE	2	+867;-1129
LOC110868195	XP_021972990.2	DRE/CRT	3	+180;-983;-1007
LOC110868195	XP_021972990.2	MYB_binding	7	-641;+714;+912;+1071;+1083;+1353;-1500
LOC110868195	XP_021972990.2	W-box	6	+89;+214;+924;+1053;+1074;-860
LOC110868195	XP_021972990.2	LTR	1	+775
LOC110868195	XP_021972990.2	MBS	2	-641;-1280
LOC110868195	XP_021972990.2	G-box	2	+866;-1128
LOC110868195	XP_021972990.2	TATA-box	16	+533;+547;+592;+609;+643;+658;+688;-528;-1237;-1308
LOC110868195	XP_021972990.2	CAAT-box	4	+172;+1198;-379;-474
LOC110868195	XP_021972990.2	ARE	2	+1321;+1836
LOC110868195	XP_021972990.2	STRE	8	-330;-338;-438;-946;+1049;+1557;+1657;+1665
LOC110868317	XP_021973144.1	ABRE	2	-1084;-1099
LOC110868317	XP_021973144.1	MYB_binding	7	+365;+423;+710;+1576;-97;-1208;-1708
LOC110868317	XP_021973144.1	W-box	4	+241;+758;-1601;-1723
LOC110868317	XP_021973144.1	MBS	2	+786;-1629
LOC110868317	XP_021973144.1	TATA-box	10	+11;+902;+1971;-1760;-1790;-1900;+900;+1503;-491;-1094
LOC110868317	XP_021973144.1	CAAT-box	13	+469;+584;+782;+1242;+1272;+1316;+1358;+1942;+1967;-92
LOC110868317	XP_021973144.1	ARE	6	+466;+1020;+1639;+1671;-230;-786
LOC110868317	XP_021973144.1	STRE	10	+964;+1799;-568;-628;-767;+1228;+1367;+1427;-196;-1031
LOC110868318	XP_021973145.1	ABRE	6	+431;+1910;+1932;+1948;-308;-1939
LOC110868318	XP_021973145.1	DRE/CRT	1	+90
LOC110868318	XP_021973145.1	MYB_binding	7	+664;-1537;+457;+1502;+1613;-1330;-1435
LOC110868318	XP_021973145.1	W-box	7	+78;+117;+574;+952;+1716;-623;-1614
LOC110868318	XP_021973145.1	LTR	1	-271
LOC110868318	XP_021973145.1	MBS	2	+664;-1537
LOC110868318	XP_021973145.1	TATA-box	9	+3;+46;+212;+618;+837;-356;-1784;+1146;-848
LOC110868318	XP_021973145.1	CAAT-box	4	+860;+983;+1012;-522
LOC110868318	XP_021973145.1	ARE	2	+762;+1543
LOC110868318	XP_021973145.1	GC-motif	1	+1499
LOC110868318	XP_021973145.1	STRE	6	+420;+1842;-1441;+554;-153;-1575
LOC110868323	XP_021973148.1	ABRE	2	+849;-1521
LOC110868323	XP_021973148.1	DRE/CRT	1	+508
LOC110868323	XP_021973148.1	MYB_binding	7	+1082;-1119;+875;+1922;-912;-1017;-1976
LOC110868323	XP_021973148.1	W-box	7	+326;+496;+535;+992;+1372;-203;-1196
LOC110868323	XP_021973148.1	MBS	2	+1082;-1119
LOC110868323	XP_021973148.1	TATA-box	10	+222;+421;+464;+630;+1036;+1257;-1366;-1693;+1566;-428
LOC110868323	XP_021973148.1	CAAT-box	4	+1280;+1403;+1432;-102
LOC110868323	XP_021973148.1	ARE	2	+1178;+1962
LOC110868323	XP_021973148.1	GC-motif	1	+1919
LOC110868323	XP_021973148.1	STRE	4	+838;-1023;+972;-1157
LOC110868334	XP_021973154.1	ABRE	9	+258;+949;+988;+1385;+1556;+1653;-611;-1008;-1047
LOC110868334	XP_021973154.1	DRE/CRT	2	+1538;-1532
LOC110868334	XP_021973154.1	W-box	7	+166;+944;+983;+1380;+1600;-334;-1265
LOC110868334	XP_021973154.1	LTR	1	+670
LOC110868334	XP_021973154.1	G-box	6	+948;+987;+1384;-610;-1007;-1046
LOC110868334	XP_021973154.1	TATA-box	16	+809;+1979;-358;-1144;+793;+833;+1324;+1485;+1748;+1838
LOC110868334	XP_021973154.1	CAAT-box	4	+1955;+1975;-78;-1651
LOC110868334	XP_021973154.1	ARE	1	-976
LOC110868334	XP_021973154.1	GC-motif	1	+1764
LOC110868334	XP_021973154.1	STRE	4	+819;-821;+1174;-1176
LOC110868335	XP_021973155.1	DRE/CRT	1	+887
LOC110868335	XP_021973155.1	MYB_binding	7	+236;+225;+494;+1011;-1198;-1233;-1758
LOC110868335	XP_021973155.1	W-box	6	+1278;-830;-969;-1096;-1194;-1729
LOC110868335	XP_021973155.1	LTR	1	-642
LOC110868335	XP_021973155.1	MBS	1	+236
LOC110868335	XP_021973155.1	TATA-box	11	+400;+1753;-35;-182;-502;-560;-1888;+1494;+1864;-130
LOC110868335	XP_021973155.1	CAAT-box	4	+967;+1871;+1992;-735
LOC110868335	XP_021973155.1	ARE	4	+419;+628;+1138;-436
LOC110868335	XP_021973155.1	GC-motif	1	+1198
LOC110868335	XP_021973155.1	STRE	18	+312;+429;+546;+1509;-267;-1213;-1773;-1781;-1821;+174
LOC110868358	XP_021973181.1	ABRE	2	+853;-1107
LOC110868358	XP_021973181.1	MYB_binding	7	+309;+1401;+312;-593;-1685;-1839;-1865
LOC110868358	XP_021973181.1	W-box	4	+920;-755;-769;-1101
LOC110868358	XP_021973181.1	LTR	1	+1493
LOC110868358	XP_021973181.1	MBS	3	+309;+1401;+129
LOC110868358	XP_021973181.1	TATA-box	10	+5;+185;-273;-353;-1369;-1417;-1713;-1811;+1643;-351
LOC110868358	XP_021973181.1	CAAT-box	6	+551;+948;+1966;-567;-975;-1237
LOC110868358	XP_021973181.1	ARE	4	-266;-854;-1205;-1747
LOC110868884	XP_021973843.1	ABRE	2	+1689;-1721
LOC110868884	XP_021973843.1	DRE/CRT	2	-147;-146
LOC110868884	XP_021973843.1	MYB_binding	4	+204;+988;+1850;+1940
LOC110868884	XP_021973843.1	W-box	3	+1158;-268;-1929
LOC110868884	XP_021973843.1	MBS	1	-1006
LOC110868884	XP_021973843.1	TATA-box	24	+28;+464;+646;+672;+1499;-18;-536;-732;-873;-1275
LOC110868884	XP_021973843.1	CAAT-box	3	+71;+1412;-1464
LOC110868884	XP_021973843.1	ARE	3	+1788;-709;-1052
LOC110868884	XP_021973843.1	STRE	4	+832;-11;+1984;-1163
LOC110868941	XP_021973917.1	ABRE	3	+1170;-803;-826
LOC110868941	XP_021973917.1	DRE/CRT	2	+1228;+1227
LOC110868941	XP_021973917.1	MYB_binding	5	+1691;-105;-207;-769;-965
LOC110868941	XP_021973917.1	W-box	3	+1533;-391;-439
LOC110868941	XP_021973917.1	HSE	1	+1607
LOC110868941	XP_021973917.1	LTR	1	+1769
LOC110868941	XP_021973917.1	MBS	1	+1889
LOC110868941	XP_021973917.1	G-box	2	+1169;-825
LOC110868941	XP_021973917.1	TATA-box	8	+1759;-275;+80;+1461;+1975;-17;-533;-1914
LOC110868941	XP_021973917.1	CAAT-box	2	+817;-1975
LOC110868941	XP_021973917.1	ARE	3	+185;+1144;-415
LOC110868941	XP_021973917.1	STRE	6	-24;-845;-1283;+712;+1150;+1971
LOC110872387	XP_021976874.1	MYB_binding	13	+487;+795;+814;+891;+1162;+1500;-775;-868;-1304;-1387
LOC110872387	XP_021976874.1	W-box	3	+1574;+1961;-1424
LOC110872387	XP_021976874.1	LTR	5	+35;+508;+758;+1149;-1202
LOC110872387	XP_021976874.1	MBS	4	+592;+1126;+1219;-1180
LOC110872387	XP_021976874.1	TATA-box	5	+1030;+1256;+1975;-19;-738
LOC110872387	XP_021976874.1	CAAT-box	2	-103;-435
LOC110872387	XP_021976874.1	GC-motif	1	+8
LOC110872387	XP_021976874.1	STRE	6	+1758;-260;-765;+1230;+1735;-237
LOC110872551	XP_021977057.1	ABRE	1	-1912
LOC110872551	XP_021977057.1	DRE/CRT	4	+1427;-1172;-1183;-1505
LOC110872551	XP_021977057.1	MYB_binding	14	+112;-1597;+391;+397;+463;+999;+1080;+1487;+1621;-377
LOC110872551	XP_021977057.1	W-box	8	+316;+717;+913;+1269;-87;-962;-1610;-1620
LOC110872551	XP_021977057.1	LTR	4	-1585;-1780;-1824;-1974
LOC110872551	XP_021977057.1	MBS	2	+112;-1597
LOC110872551	XP_021977057.1	TATA-box	3	+87;+1777;-215
LOC110872551	XP_021977057.1	CAAT-box	4	-276;-397;-1210;-1986
LOC110872551	XP_021977057.1	ARE	3	+1381;-187;-1861
LOC110872551	XP_021977057.1	STRE	2	+705;-1290
LOC110875557	XP_021979449.1	ABRE	1	+958
LOC110875557	XP_021979449.1	MYB_binding	7	+209;+258;+542;-257;-1643;-1821;-1859
LOC110875557	XP_021979449.1	W-box	2	+1214;-488
LOC110875557	XP_021979449.1	MBS	1	+135
LOC110875557	XP_021979449.1	TATA-box	27	+1287;+1319;+1392;+1407;+1439;+1448;+1467;+1475;+1481;-106
LOC110875557	XP_021979449.1	CAAT-box	5	+291;-179;-950;-1487;-1553
LOC110875557	XP_021979449.1	ARE	2	+1725;-1299
LOC110875557	XP_021979449.1	STRE	2	-965;+1030
LOC110875737	XP_021979635.1	ABRE	2	+483;-261
LOC110875737	XP_021979635.1	DRE/CRT	2	+295;+294
LOC110875737	XP_021979635.1	MYB_binding	7	+1161;+444;+529;-3;-27;-833;-1789
LOC110875737	XP_021979635.1	W-box	7	+291;+435;+1207;-22;-610;-836;-905
LOC110875737	XP_021979635.1	MBS	1	+1161
LOC110875737	XP_021979635.1	TATA-box	6	-72;-98;-109;-1776;+1829;-165
LOC110875737	XP_021979635.1	CAAT-box	1	-890
LOC110875737	XP_021979635.1	ARE	2	+969;+1905
LOC110875737	XP_021979635.1	STRE	6	+500;-529;-1795;+200;+1466;-1495
LOC110878958	XP_021983051.1	ABRE	3	+114;-38;-1882
LOC110878958	XP_021983051.1	DRE/CRT	2	+1359;+1358
LOC110878958	XP_021983051.1	MYB_binding	9	+72;-1980;+14;+507;+1577;-143;-1658;-1903;-1922
LOC110878958	XP_021983051.1	W-box	7	+4;+1977;-128;-465;-1338;-1521;-1676
LOC110878958	XP_021983051.1	LTR	1	+1058
LOC110878958	XP_021983051.1	MBS	2	+72;-1980
LOC110878958	XP_021983051.1	G-box	2	+113;-1881
LOC110878958	XP_021983051.1	TATA-box	4	+1588;-1352;-1573;-1607
LOC110878958	XP_021983051.1	CAAT-box	6	+414;+602;+1627;-3;-94;-1373
LOC110878958	XP_021983051.1	ARE	5	+411;+431;-522;-1178;-1830
LOC110878958	XP_021983051.1	GC-motif	2	-774;-807
LOC110878958	XP_021983051.1	STRE	4	+1298;-297;+1698;-697
LOC110887087	XP_021990674.1	ABRE	1	+1792
LOC110887087	XP_021990674.1	MYB_binding	4	+1646;+1815;-348;-839
LOC110887087	XP_021990674.1	W-box	4	+1061;+1336;-492;-1224
LOC110887087	XP_021990674.1	MBS	2	+1646;-179
LOC110887087	XP_021990674.1	TATA-box	10	-998;-1119;+166;+423;+877;+1621;-373;-1115;-1569;-1828
LOC110887087	XP_021990674.1	CAAT-box	3	+710;-715;-1362
LOC110887087	XP_021990674.1	ARE	1	-294
LOC110887087	XP_021990674.1	STRE	6	+585;+767;+1872;-123;-1228;-1410
LOC110889695	XP_021992949.1	ABRE	5	+874;-1122;-1238;-1353;-1575
LOC110889695	XP_021992949.1	DRE/CRT	8	+869;-174;-1001;-1235;-1845;+868;-1234;-1844
LOC110889695	XP_021992949.1	MYB_binding	1	-307
LOC110889695	XP_021992949.1	W-box	2	+604;-475
LOC110889695	XP_021992949.1	LTR	3	+1540;+1630;+1659
LOC110889695	XP_021992949.1	G-box	2	+873;-1121
LOC110889695	XP_021992949.1	TATA-box	7	+316;-27;-1201;+785;+1969;-25;-1209
LOC110889695	XP_021992949.1	CAAT-box	4	+71;+618;+1313;+1713
LOC110889695	XP_021992949.1	ARE	3	+1014;+1033;+1740
LOC110889695	XP_021992949.1	STRE	8	+85;+1248;+1253;-846;+1149;-742;-747;-1910
LOC110890906	XP_021994243.1	DRE/CRT	8	+1381;+1456;+1466;-586;-1086;-1185;-1195;+1465
LOC110890906	XP_021994243.1	MYB_binding	4	+862;+1066;-921;-931
LOC110890906	XP_021994243.1	W-box	4	+1618;-261;-828;-1173
LOC110890906	XP_021994243.1	LTR	6	+1449;+1499;+1515;+1548;+1623;-1145
LOC110890906	XP_021994243.1	MBS	2	+1063;-1132
LOC110890906	XP_021994243.1	TATA-box	8	+35;+1055;-138;-1416;+260;+737;-1257;-1734
LOC110890906	XP_021994243.1	CAAT-box	3	+488;+1102;+1133
LOC110890906	XP_021994243.1	ARE	5	+300;+332;+1678;-29;-1589
LOC110890906	XP_021994243.1	STRE	8	+897;-250;-525;-1653;+342;+1470;+1745;-1098
LOC110891299	XP_021994685.2	ABRE	1	+407
LOC110891299	XP_021994685.2	MYB_binding	8	+1066;-286;-677;-1687;-1730;-1936;-1945;-1984
LOC110891299	XP_021994685.2	W-box	3	+442;+1504;-1067
LOC110891299	XP_021994685.2	LTR	5	+52;+61;+267;+884;-1252
LOC110891299	XP_021994685.2	MBS	1	+10
LOC110891299	XP_021994685.2	TATA-box	19	+35;+181;+565;+871;+1301;+1333;-120;-339;-353;-663
LOC110891299	XP_021994685.2	CAAT-box	3	+17;+916;+1735
LOC110891299	XP_021994685.2	ARE	4	+280;+760;+1732;+1969
LOC110891299	XP_021994685.2	STRE	4	-778;-1764;+231;+1217
LOC110894830	XP_021997756.1	ABRE	4	+512;+524;-790;-1037
LOC110894830	XP_021997756.1	DRE/CRT	4	+584;+762;-862;-881
LOC110894830	XP_021997756.1	MYB_binding	9	+414;+976;+1922;-312;-668;-761;-1503;-1548;-1857
LOC110894830	XP_021997756.1	W-box	3	+1694;+1814;-64
LOC110894830	XP_021997756.1	MBS	3	+137;+491;+1233
LOC110894830	XP_021997756.1	TATA-box	5	+253;+1615;+1966;+1613;-381
LOC110894830	XP_021997756.1	CAAT-box	11	+476;+628;+752;+1248;+1332;+1362;+1699;-445;-730;-1586
LOC110894830	XP_021997756.1	ARE	4	+606;+730;+865;-233
LOC110894830	XP_021997756.1	STRE	10	-3;-627;-1136;-1271;-1395;+600;+724;+859;+1368;+1992
LOC110895309	XP_021998290.1	ABRE	4	+576;+1434;-562;-1420
LOC110895309	XP_021998290.1	MYB_binding	3	+829;+1137;-493
LOC110895309	XP_021998290.1	W-box	4	+382;+532;+1426;-1065
LOC110895309	XP_021998290.1	MBS	2	+1501;-857
LOC110895309	XP_021998290.1	G-box	4	+575;+1433;-561;-1419
LOC110895309	XP_021998290.1	TATA-box	11	+293;+1131;+1190;+1984;-865;+643;+960;+1188;-806;-1034
LOC110895309	XP_021998290.1	CAAT-box	3	+170;+882;+1097
LOC110895309	XP_021998290.1	STRE	6	-1218;-1254;-1447;+548;+741;+777
LOC110896719	XP_021999580.1	ABRE	6	+587;+687;+1182;+1230;-814;-1420
LOC110896719	XP_021999580.1	MYB_binding	9	+116;+472;+501;+613;+669;+745;+890;-71;-1665
LOC110896719	XP_021999580.1	W-box	4	+451;+1227;+1901;-1699
LOC110896719	XP_021999580.1	LTR	1	-937
LOC110896719	XP_021999580.1	G-box	2	+1181;-813
LOC110896719	XP_021999580.1	TATA-box	12	+1816;+1991;-5;-20;-258;-341;-991;-1711;+285;+1112
LOC110896719	XP_021999580.1	CAAT-box	4	+789;+1406;-863;-987
LOC110896719	XP_021999580.1	ARE	1	-906
LOC110896719	XP_021999580.1	GC-motif	2	+649;-573
LOC110896719	XP_021999580.1	STRE	4	-786;-1336;+659;+1209
LOC110897890	XP_022000317.1	ABRE	3	+3;-576;-1716
LOC110897890	XP_022000317.1	DRE/CRT	1	-1809
LOC110897890	XP_022000317.1	MYB_binding	14	+322;-1227;-1826;+168;+431;+767;+1114;+1715;-934;-1067
LOC110897890	XP_022000317.1	W-box	2	-592;-1822
LOC110897890	XP_022000317.1	LTR	1	+514
LOC110897890	XP_022000317.1	MBS	4	+322;-1227;-1826;-880
LOC110897890	XP_022000317.1	TATA-box	2	+1704;-382
LOC110897890	XP_022000317.1	CAAT-box	5	+195;+904;+1832;-157;-1288
LOC110897890	XP_022000317.1	ARE	3	+1825;-397;-1731
LOC110897890	XP_022000317.1	GC-motif	1	-1381
LOC110897890	XP_022000317.1	STRE	2	+524;-1471
LOC110898014	XP_022000445.1	ABRE	4	+375;+399;-1333;-1597
LOC110898014	XP_022000445.1	DRE/CRT	2	+1970;+1969
LOC110898014	XP_022000445.1	MYB_binding	4	-20;-27;-76;-1845
LOC110898014	XP_022000445.1	W-box	1	-163
LOC110898014	XP_022000445.1	TC-rich	1	-1254
LOC110898014	XP_022000445.1	MBS	1	+149
LOC110898014	XP_022000445.1	G-box	2	+398;-1596
LOC110898014	XP_022000445.1	TATA-box	8	+861;+1362;+1382;+1523;-379;-1135;+1380;-614
LOC110898014	XP_022000445.1	CAAT-box	1	+1944
LOC110898014	XP_022000445.1	ARE	2	-198;-1039
LOC110898014	XP_022000445.1	STRE	10	+846;-1020;-1061;-1522;-1587;+408;+473;+934;+975;-1149
LOC110899589	XP_022002167.1	ABRE	1	+58
LOC110899589	XP_022002167.1	MYB_binding	7	+1296;-1544;+450;+530;+1202;-698;-778
LOC110899589	XP_022002167.1	W-box	1	+1907
LOC110899589	XP_022002167.1	LTR	2	-214;-1642
LOC110899589	XP_022002167.1	MBS	3	+1296;-1544;-792
LOC110899589	XP_022002167.1	TATA-box	19	+335;+411;+1338;+1665;-364;-658;-1585;-1593;-1603;+329
LOC110899589	XP_022002167.1	CAAT-box	8	+1267;+1325;-580;-1515;-1573;-1760;-1800;-1884
LOC110899589	XP_022002167.1	ARE	5	+435;-275;-447;-534;-683
LOC110899589	XP_022002167.1	GC-motif	1	-1893
LOC110899589	XP_022002167.1	STRE	2	-1159;+836
LOC110899592	XP_022002168.1	ABRE	1	+58
LOC110899592	XP_022002168.1	MYB_binding	7	+1296;-1544;+450;+530;+1202;-698;-778
LOC110899592	XP_022002168.1	W-box	1	+1907
LOC110899592	XP_022002168.1	LTR	2	-214;-1642
LOC110899592	XP_022002168.1	MBS	3	+1296;-1544;-792
LOC110899592	XP_022002168.1	TATA-box	19	+335;+411;+1338;+1665;-364;-658;-1585;-1593;-1603;+329
LOC110899592	XP_022002168.1	CAAT-box	8	+1267;+1325;-580;-1515;-1573;-1760;-1800;-1884
LOC110899592	XP_022002168.1	ARE	5	+435;-275;-447;-534;-683
LOC110899592	XP_022002168.1	GC-motif	1	-1893
LOC110899592	XP_022002168.1	STRE	2	-1159;+836
LOC110899653	XP_022002235.1	ABRE	3	+169;-1292;-1838
LOC110899653	XP_022002235.1	DRE/CRT	3	+408;-144;-143
LOC110899653	XP_022002235.1	MYB_binding	6	+387;-17;-176;-1392;-1519;-1607
LOC110899653	XP_022002235.1	W-box	4	+1112;+1135;-1014;-1898
LOC110899653	XP_022002235.1	MBS	2	+387;+475
LOC110899653	XP_022002235.1	TATA-box	10	+648;+1208;+1404;-125;+298;+1206;+1962;-32;-788;-1696
LOC110899653	XP_022002235.1	CAAT-box	4	+1011;+1042;+1813;-117
LOC110899653	XP_022002235.1	ARE	8	+775;+802;+857;+1026;+1579;-199;-235;-1685
LOC110899653	XP_022002235.1	GC-motif	1	+440
LOC110899653	XP_022002235.1	STRE	2	-1504;+491
LOC110899654	XP_022002236.1	ABRE	4	+375;+490;+1341;-655
LOC110899654	XP_022002236.1	DRE/CRT	4	-131;-176;-480;-130
LOC110899654	XP_022002236.1	MYB_binding	3	-449;-1611;-1737
LOC110899654	XP_022002236.1	W-box	8	+236;+266;+337;+709;+763;+1259;-15;-272
LOC110899654	XP_022002236.1	MBS	2	+257;+1545
LOC110899654	XP_022002236.1	G-box	2	+1340;-654
LOC110899654	XP_022002236.1	TATA-box	19	+1138;+1291;+1618;+1710;-457;-860;-1890;+1136;+1367;+1539
LOC110899654	XP_022002236.1	CAAT-box	4	+216;+1826;+1985;-906
LOC110899654	XP_022002236.1	ARE	4	+452;+1488;-605;-1733
LOC110899654	XP_022002236.1	STRE	4	-723;-820;+1175;+1272
LOC110899655	XP_022002237.1	DRE/CRT	5	+1426;-119;-164;-1504;-118
LOC110899655	XP_022002237.1	MYB_binding	4	+432;-442;-966;-1031
LOC110899655	XP_022002237.1	W-box	5	+1015;+1106;-3;-260;-658
LOC110899655	XP_022002237.1	MBS	1	+1552
LOC110899655	XP_022002237.1	TATA-box	31	+205;+283;+1389;+1570;+1583;+1722;-301;-426;-450;-840
LOC110899655	XP_022002237.1	CAAT-box	3	+1446;+1838;-773
LOC110899655	XP_022002237.1	ARE	2	+1914;-1641
LOC110899655	XP_022002237.1	GC-motif	2	+82;+549
LOC110899655	XP_022002237.1	STRE	10	+510;+1469;-1326;-1370;-1393;+602;+625;+669;-526;-1485
LOC110899667	XP_022002249.1	ABRE	1	-770
LOC110899667	XP_022002249.1	DRE/CRT	3	-125;-1245;-124
LOC110899667	XP_022002249.1	MYB_binding	2	+854;-1118
LOC110899667	XP_022002249.1	W-box	7	+298;+599;+870;+1363;+1386;-1575;-1646
LOC110899667	XP_022002249.1	LTR	1	+1032
LOC110899667	XP_022002249.1	MBS	2	+876;-1140
LOC110899667	XP_022002249.1	TATA-box	8	+1660;+1957;-74;-106;+1922;+1955;-39;-72
LOC110899667	XP_022002249.1	CAAT-box	6	+68;+907;+1832;-397;-1159;-1865
LOC110899667	XP_022002249.1	ARE	5	+1277;+1983;-180;-216;-1182
LOC110899667	XP_022002249.1	GC-motif	2	-1249;-1280
LOC110899667	XP_022002249.1	STRE	10	+725;-793;-1231;-1258;-1558;+437;+737;+764;+1202;-1270
LOC110904303	XP_022005838.1	ABRE	1	-1491
LOC110904303	XP_022005838.1	MYB_binding	5	+385;+421;+727;+823;-1292
LOC110904303	XP_022005838.1	W-box	5	+12;+494;+559;+940;-355
LOC110904303	XP_022005838.1	LTR	1	+900
LOC110904303	XP_022005838.1	TATA-box	12	+167;+1232;+1327;+1541;-455;-1120;+1088;+1230;+1611;-383
LOC110904303	XP_022005838.1	CAAT-box	5	+880;+919;+1073;-1220;-1959
LOC110904303	XP_022005838.1	ARE	4	+1668;+1950;-930;-1956
LOC110904303	XP_022005838.1	STRE	2	-976;+1019
LOC110904450	XP_022005989.1	ABRE	5	+1093;+1573;+1717;-279;-903
LOC110904450	XP_022005989.1	MYB_binding	2	+1031;-755
LOC110904450	XP_022005989.1	W-box	4	+534;+1570;+1788;-1050
LOC110904450	XP_022005989.1	G-box	4	+1092;+1716;-278;-902
LOC110904450	XP_022005989.1	TATA-box	11	+153;+917;+1937;+1967;-59;-1056;-1843;-1921;-1959;+1709
LOC110904450	XP_022005989.1	CAAT-box	11	+366;+401;+716;+1464;+1963;-235;-325;-407;-646;-744
LOC110904450	XP_022005989.1	ARE	6	+561;+906;+1503;-322;-404;-1933
LOC110904450	XP_022005989.1	STRE	12	+724;+783;+1520;+1563;+1691;-364;+1631;-304;-432;-475
LOC110904451	XP_022005990.1	ABRE	2	+1067;-1808
LOC110904451	XP_022005990.1	DRE/CRT	1	+1427
LOC110904451	XP_022005990.1	MYB_binding	5	-116;+1878;+1899;-319;-713
LOC110904451	XP_022005990.1	W-box	4	+385;+1587;+1629;-1218
LOC110904451	XP_022005990.1	LTR	1	-1441
LOC110904451	XP_022005990.1	MBS	3	-116;+1281;-95
LOC110904451	XP_022005990.1	TATA-box	17	+324;+1026;+1091;+1399;+1957;-452;-1672;+24;+34;+40
LOC110904451	XP_022005990.1	CAAT-box	2	+1575;+1953
LOC110904451	XP_022005990.1	ARE	2	+327;+1707
LOC110904457	XP_022005993.1	ABRE	1	+529
LOC110904457	XP_022005993.1	DRE/CRT	3	-1030;-1251;-1029
LOC110904457	XP_022005993.1	MYB_binding	1	+247
LOC110904457	XP_022005993.1	W-box	2	+433;+1217
LOC110904457	XP_022005993.1	LTR	3	+139;-951;-1750
LOC110904457	XP_022005993.1	TATA-box	3	+920;-132;-381
LOC110904457	XP_022005993.1	CAAT-box	6	+1001;+1113;+1179;-760;-1369;-1427
LOC110904457	XP_022005993.1	ARE	3	-179;-1334;-1808
LOC110904925	XP_022006482.1	ABRE	2	+1881;-115
LOC110904925	XP_022006482.1	DRE/CRT	3	+1938;+1947;+1946
LOC110904925	XP_022006482.1	MYB_binding	5	-949;+628;+1045;-186;-1415
LOC110904925	XP_022006482.1	W-box	5	+475;+1069;+1156;+1197;+1205
LOC110904925	XP_022006482.1	MBS	1	-949
LOC110904925	XP_022006482.1	G-box	2	+1880;-114
