gene1	gene2	protein1	protein2	identity	Ka	Ks	Ka_Ks	selection
LOC110864409	LOC110890906	XP_021969157.1	XP_035835924.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835923.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835922.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835921.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835920.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835918.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835917.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110864409	LOC110890906	XP_021969157.1	XP_035835916.1	72.581	2.2443	2.6726	0.8398	purifying
LOC110866810	LOC110868323	XP_021971649.1	XP_021973148.1	98.233				neutral/NA
LOC110866810	LOC110868318	XP_021971649.1	XP_021973145.1	98.233				neutral/NA
LOC110866810	LOC110868334	XP_021971649.1	XP_021973154.1	97.163				neutral/NA
LOC110866810	LOC110868317	XP_021971649.1	XP_021973144.1	97.163	3.1702	1.9065	1.6628	positive
LOC110866810	LOC110868358	XP_021971649.1	XP_021973181.1	97.163				neutral/NA
LOC110866810	LOC110868335	XP_021971649.1	XP_021973155.1	96.809				neutral/NA
LOC110866810	LOC110904451	XP_021971649.1	XP_022005990.1	93.262				neutral/NA
LOC110866810	LOC110904457	XP_021971649.1	XP_022005993.1	91.844	2.9158	3.2431	0.8991	purifying
LOC110866810	LOC110904450	XP_021971649.1	XP_022005989.1	91.844				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835925.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835924.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835923.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835922.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835921.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835920.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835918.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835917.1	84.321				neutral/NA
LOC110866810	LOC110890906	XP_021971649.1	XP_035835916.1	84.321				neutral/NA
LOC110866810	LOC110904303	XP_021971649.1	XP_022005838.1	85.816	2.4361	2.4343	1.0007	positive
LOC110868194	LOC110905693	XP_021972988.1	XP_022006941.1	83.465	0.1007	0.5415	0.186	purifying
LOC110868194	LOC110868195	XP_021972988.1	XP_021972990.2	80.645	2.578	3.2958	0.7822	purifying
LOC110868195	LOC110905693	XP_021972990.2	XP_022006941.1	73.279				neutral/NA
LOC110868317	LOC110868335	XP_021973144.1	XP_021973155.1	98.944	0.0062	0.2791	0.0221	purifying
LOC110868317	LOC110868334	XP_021973144.1	XP_021973154.1	98.944	0.0062	0.2659	0.0232	purifying
LOC110868317	LOC110868358	XP_021973144.1	XP_021973181.1	98.592	0.0077	0.339	0.0228	purifying
LOC110868317	LOC110868323	XP_021973144.1	XP_021973148.1	97.518	0.0156	0.4265	0.0365	purifying
LOC110868317	LOC110868318	XP_021973144.1	XP_021973145.1	97.518	0.0156	0.4265	0.0365	purifying
LOC110868317	LOC110904457	XP_021973144.1	XP_022005993.1	92.606	0.0346	0.6703	0.0516	purifying
LOC110868317	LOC110904450	XP_021973144.1	XP_022005989.1	92.606	0.0362	0.8007	0.0452	purifying
LOC110868317	LOC110904451	XP_021973144.1	XP_022005990.1	92.606	0.0362	0.6547	0.0553	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835925.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835924.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835923.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835922.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835921.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835920.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835918.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835917.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110890906	XP_021973144.1	XP_035835916.1	84.775	1.91	2.4498	0.7797	purifying
LOC110868317	LOC110904303	XP_021973144.1	XP_022005838.1	86.62	2.1826	2.3848	0.9152	purifying
LOC110868318	LOC110868323	XP_021973145.1	XP_021973148.1	100.0				neutral/NA
LOC110868318	LOC110868334	XP_021973145.1	XP_021973154.1	97.518	0.0156	0.2816	0.0553	purifying
LOC110868318	LOC110868358	XP_021973145.1	XP_021973181.1	97.518	0.0156	0.3176	0.0491	purifying
LOC110868318	LOC110868335	XP_021973145.1	XP_021973155.1	97.163	0.0172	0.3408	0.0504	purifying
LOC110868318	LOC110904451	XP_021973145.1	XP_022005990.1	93.617	0.038	0.7899	0.0481	purifying
LOC110868318	LOC110904457	XP_021973145.1	XP_022005993.1	92.199	0.0428	0.7126	0.0601	purifying
LOC110868318	LOC110904450	XP_021973145.1	XP_022005989.1	92.199	0.0445	0.8365	0.0531	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835925.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835924.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835923.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835922.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835921.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835920.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835918.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835917.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_035835916.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868318	LOC110890906	XP_021973145.1	XP_021994243.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110868334	XP_021973148.1	XP_021973154.1	97.518	0.0156	0.2816	0.0553	purifying
LOC110868323	LOC110868358	XP_021973148.1	XP_021973181.1	97.518	0.0156	0.3176	0.0491	purifying
LOC110868323	LOC110868335	XP_021973148.1	XP_021973155.1	97.163	0.0172	0.3408	0.0504	purifying
LOC110868323	LOC110904451	XP_021973148.1	XP_022005990.1	93.617	0.038	0.7899	0.0481	purifying
LOC110868323	LOC110904457	XP_021973148.1	XP_022005993.1	92.199	0.0428	0.7126	0.0601	purifying
LOC110868323	LOC110904450	XP_021973148.1	XP_022005989.1	92.199	0.0445	0.8365	0.0531	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835925.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835924.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835923.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835922.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835921.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835920.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835918.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835917.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_035835916.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868323	LOC110890906	XP_021973148.1	XP_021994243.1	85.714	1.9401	5.3182	0.3648	purifying
LOC110868334	LOC110868335	XP_021973154.1	XP_021973155.1	98.592	0.0062	0.3078	0.0201	purifying
LOC110868334	LOC110868358	XP_021973154.1	XP_021973181.1	98.239	0.0077	0.37	0.0209	purifying
LOC110868334	LOC110904457	XP_021973154.1	XP_022005993.1	92.606	0.0362	0.7585	0.0477	purifying
LOC110868334	LOC110904451	XP_021973154.1	XP_022005990.1	92.606	0.0379	0.7818	0.0484	purifying
LOC110868334	LOC110904450	XP_021973154.1	XP_022005989.1	92.606	0.0378	0.8277	0.0457	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835925.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835924.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835923.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835922.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835921.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835920.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835918.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835917.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_035835916.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868334	LOC110890906	XP_021973154.1	XP_021994243.1	84.775	1.9145	2.7232	0.703	purifying
LOC110868335	LOC110868358	XP_021973155.1	XP_021973181.1	99.648	0.0015	0.1001	0.0154	purifying
LOC110868335	LOC110904457	XP_021973155.1	XP_022005993.1	92.254	0.0362	0.5744	0.0631	purifying
LOC110868335	LOC110904450	XP_021973155.1	XP_022005989.1	92.254	0.0379	0.6875	0.0551	purifying
LOC110868335	LOC110904451	XP_021973155.1	XP_022005990.1	92.254	0.0379	0.6379	0.0594	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835925.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835924.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835923.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835922.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835921.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835920.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835918.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835917.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_035835916.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868335	LOC110890906	XP_021973155.1	XP_021994243.1	85.121	1.944	2.1604	0.8998	purifying
LOC110868358	LOC110904457	XP_021973181.1	XP_022005993.1	92.606	0.0346	0.5744	0.0603	purifying
LOC110868358	LOC110904450	XP_021973181.1	XP_022005989.1	92.606	0.0363	0.6753	0.0537	purifying
LOC110868358	LOC110904451	XP_021973181.1	XP_022005990.1	92.606	0.0363	0.604	0.0601	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835925.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835924.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835923.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835922.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835921.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835920.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835918.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835917.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_035835916.1	85.467	1.9648	2.077	0.946	purifying
LOC110868358	LOC110890906	XP_021973181.1	XP_021994243.1	85.467	1.9648	2.077	0.946	purifying
LOC110868884	LOC110889695	XP_021973843.1	XP_021992949.1	91.259	2.7215	1.693	1.6074	positive
LOC110868884	LOC110904303	XP_021973843.1	XP_022005838.1	89.362	0.0904	1.7766	0.0509	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835925.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835924.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835923.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835922.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835921.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835920.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835918.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835917.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_035835916.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110890906	XP_021973843.1	XP_021994243.1	86.111	2.1373	3.7728	0.5665	purifying
LOC110868884	LOC110908794	XP_021973843.1	XP_022009469.1	87.234	0.0958	1.7475	0.0548	purifying
LOC110868884	LOC110875557	XP_021973843.1	XP_021979449.1	86.111	2.1052	1.9904	1.0577	positive
LOC110868884	LOC110894830	XP_021973843.1	XP_021997756.1	87.762	1.0635	2.0961	0.5073	purifying
LOC110868884	LOC110904457	XP_021973843.1	XP_022005993.1	86.219	2.2079	1.7202	1.2835	positive
LOC110868884	LOC110904450	XP_021973843.1	XP_022005989.1	85.512	2.2149	1.8692	1.1849	positive
LOC110868884	LOC110904451	XP_021973843.1	XP_022005990.1	85.866	2.1927	1.7475	1.2548	positive
LOC110868884	LOC110868334	XP_021973843.1	XP_021973154.1	85.159	2.1826	1.8761	1.1634	positive
LOC110868941	LOC110904925	XP_021973917.1	XP_022006482.1	93.031	0.0345	0.8228	0.0419	purifying
LOC110868941	LOC110937325	XP_021973917.1	XP_022035417.1	89.199	1.5518	2.239	0.6931	purifying
LOC110868941	LOC110923014	XP_021973917.1	XP_022022901.1	88.502	1.6179	2.5624	0.6314	purifying
LOC110868941	LOC110897890	XP_021973917.1	XP_022000317.1	88.502	1.5778	2.9634	0.5324	purifying
LOC110868941	LOC110899592	XP_021973917.1	XP_022002168.1	87.805	1.5573	2.1153	0.7362	purifying
LOC110868941	LOC110899589	XP_021973917.1	XP_022002167.1	87.805	1.5573	2.1153	0.7362	purifying
LOC110868941	LOC110930503	XP_021973917.1	XP_022029508.1	87.805	1.5975	2.8245	0.5656	purifying
LOC110868941	LOC110868335	XP_021973917.1	XP_021973155.1	70.213	2.8651	2.5182	1.1378	positive
LOC110868941	LOC110868317	XP_021973917.1	XP_021973144.1	70.213	2.8151	2.4805	1.1349	positive
LOC110868941	LOC110875557	XP_021973917.1	XP_021979449.1	73.162	2.668	2.2456	1.1881	positive
LOC110868941	LOC110908794	XP_021973917.1	XP_022009469.1	72.364				neutral/NA
LOC110868941	LOC110890906	XP_021973917.1	XP_035835925.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110868941	LOC110890906	XP_021973917.1	XP_035835924.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110868941	LOC110890906	XP_021973917.1	XP_035835923.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110868941	LOC110890906	XP_021973917.1	XP_035835922.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110868941	LOC110890906	XP_021973917.1	XP_035835921.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110868941	LOC110890906	XP_021973917.1	XP_035835920.1	73.162	3.0878	3.3616	0.9185	purifying
LOC110872387	LOC110921506	XP_021976874.1	XP_022021536.1	89.761	1.3651	1.9131	0.7136	purifying
LOC110872387	LOC110926365	XP_021976874.1	XP_022025807.1	87.755	1.4986	1.1555	1.297	positive
LOC110872387	LOC110941540	XP_021976874.1	XP_022038870.1	72.152				neutral/NA
LOC110872551	LOC110896719	XP_021977057.1	XP_021999580.1	86.4	0.0724	0.6695	0.1082	purifying
LOC110872551	LOC110939970	XP_021977057.1	XP_022037229.1	71.032	0.1923	4.4545	0.0432	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835925.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835924.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835923.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835922.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835921.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835920.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835918.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835917.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_035835916.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110890906	XP_021979449.1	XP_021994243.1	96.886	0.0168	0.6655	0.0252	purifying
LOC110875557	LOC110904303	XP_021979449.1	XP_022005838.1	93.772	2.0068	1.8801	1.0674	positive
LOC110875557	LOC110908794	XP_021979449.1	XP_022009469.1	89.619	2.067	1.4148	1.461	positive
LOC110875557	LOC110908807	XP_021979449.1	XP_035831160.1	84.775	2.1234	1.5121	1.4042	positive
LOC110875557	LOC110904457	XP_021979449.1	XP_022005993.1	85.121	2.1611	1.9887	1.0867	positive
LOC110875557	LOC110904450	XP_021979449.1	XP_022005989.1	85.121	2.0889	1.7376	1.2022	positive
LOC110875557	LOC110904451	XP_021979449.1	XP_022005990.1	84.775	2.2629	1.6783	1.3483	positive
LOC110875557	LOC110868358	XP_021979449.1	XP_021973181.1	84.775	2.0257	1.9489	1.0394	positive
LOC110875557	LOC110868335	XP_021979449.1	XP_021973155.1	84.429	2.0031	2.0957	0.9558	purifying
LOC110875737	LOC110927047	XP_021979635.1	XP_022026331.1	84.274	2.4429	2.3987	1.0184	positive
LOC110875737	LOC110898014	XP_021979635.1	XP_022000445.1	74.308	2.8746	1.3725	2.0944	positive
LOC110875737	LOC110891299	XP_021979635.1	XP_021994685.2	74.089	1.6147	1.5635	1.0327	positive
LOC110875737	LOC110939970	XP_021979635.1	XP_022037229.1	72.0				neutral/NA
LOC110887087	LOC110925968	XP_021990674.1	XP_022025446.1	93.684	0.5431	0.543	1.0003	positive
LOC110887087	LOC110895309	XP_021990674.1	XP_021998290.1	83.158	0.5926	1.5157	0.391	purifying
LOC110887087	LOC110908794	XP_021990674.1	XP_022009469.1	72.277				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835925.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835924.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835923.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835922.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835921.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835920.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835918.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835917.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_035835916.1	76.087				neutral/NA
LOC110887087	LOC110890906	XP_021990674.1	XP_021994243.1	76.087				neutral/NA
LOC110887087	LOC110875557	XP_021990674.1	XP_021979449.1	75.0	2.6346	4.488	0.587	purifying
LOC110889695	LOC110890906	XP_021992949.1	XP_035835925.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835924.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835923.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835922.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835921.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835920.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835918.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835917.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_035835916.1	84.452				neutral/NA
LOC110889695	LOC110890906	XP_021992949.1	XP_021994243.1	84.452				neutral/NA
LOC110889695	LOC110904303	XP_021992949.1	XP_022005838.1	85.159	2.1761	2.914	0.7468	purifying
LOC110889695	LOC110904457	XP_021992949.1	XP_022005993.1	83.803	1.9633	1.9386	1.0127	positive
LOC110889695	LOC110875557	XP_021992949.1	XP_021979449.1	85.978				neutral/NA
LOC110889695	LOC110904450	XP_021992949.1	XP_022005989.1	83.099	1.9898	2.2358	0.8899	purifying
LOC110889695	LOC110908794	XP_021992949.1	XP_022009469.1	86.296	2.4282	1.9904	1.22	positive
LOC110889695	LOC110904451	XP_021992949.1	XP_022005990.1	85.978	1.9731	2.5658	0.769	purifying
LOC110889695	LOC110868334	XP_021992949.1	XP_021973154.1	85.609	1.9448	4.1235	0.4716	purifying
LOC110889695	LOC110868323	XP_021992949.1	XP_021973148.1	86.296	2.0626	2.4548	0.8402	purifying
LOC110890906	LOC110890906	XP_021994243.1	XP_035835925.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835924.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835923.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835922.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835921.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835920.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835918.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835917.1	100.0				neutral/NA
LOC110890906	LOC110890906	XP_021994243.1	XP_035835916.1	100.0				neutral/NA
LOC110890906	LOC110904303	XP_021994243.1	XP_022005838.1	93.772	2.0585	1.8085	1.1383	positive
LOC110890906	LOC110908794	XP_021994243.1	XP_022009469.1	88.927				neutral/NA
LOC110890906	LOC110904457	XP_021994243.1	XP_022005993.1	86.851	2.0644	1.9725	1.0466	positive
LOC110890906	LOC110908807	XP_021994243.1	XP_035831160.1	85.121	2.2134	3.1161	0.7103	purifying
LOC110890906	LOC110904450	XP_021994243.1	XP_022005989.1	86.851	2.0005	1.8921	1.0573	positive
LOC110890906	LOC110904451	XP_021994243.1	XP_022005990.1	86.505	2.1531	1.5418	1.3965	positive
LOC110891299	LOC110939970	XP_021994685.2	XP_022037229.1	73.6	0.219	1.8102	0.121	purifying
LOC110891299	LOC110927047	XP_021994685.2	XP_022026331.1	73.469	2.1467	2.5914	0.8284	purifying
LOC110894830	LOC110892775	XP_021997756.1	XP_035837035.1	90.493	0.0445	0.0886	0.5015	purifying
LOC110894830	LOC110904457	XP_021997756.1	XP_022005993.1	83.099	1.9913	1.8575	1.072	positive
LOC110894830	LOC110868323	XP_021997756.1	XP_021973148.1	84.043	2.0699	1.3794	1.5005	positive
LOC110894830	LOC110868318	XP_021997756.1	XP_021973145.1	84.043	2.0699	1.3794	1.5005	positive
LOC110894830	LOC110868358	XP_021997756.1	XP_021973181.1	83.099	1.9608	1.5865	1.2359	positive
