protein_id	domain	accession	dom_evalue	dom_score	ali_from	ali_to
XP_022002167.1	MIP	PF00230.26	6.1e-83	278.7	44	274
XP_022002168.1	MIP	PF00230.26	6.1e-83	278.7	44	274
XP_022002235.1	MIP	PF00230.26	1.9e-80	270.5	15	232
XP_022002236.1	MIP	PF00230.26	4.9e-79	265.9	15	232
XP_022002237.1	MIP	PF00230.26	2.6e-80	270.1	15	232
XP_022002249.1	MIP	PF00230.26	1.9e-80	270.5	15	232
XP_022005838.1	MIP	PF00230.26	4.6e-85	285.6	29	264
XP_022005989.1	MIP	PF00230.26	1.4e-86	290.6	30	265
XP_022005990.1	MIP	PF00230.26	1.2e-86	290.9	30	265
XP_022005993.1	MIP	PF00230.26	1.4e-86	290.6	30	265
XP_022006482.1	MIP	PF00230.26	1e-83	281.2	45	275
XP_022006941.1	MIP	PF00230.26	1.2e-58	199.2	27	237
XP_022007155.1	MIP	PF00230.26	5.6e-60	203.6	16	234
XP_022007682.2	MIP	PF00230.26	3.1e-79	266.6	2	233
XP_022009396.1	MIP	PF00230.26	6.6e-17	62.8	4	225
XP_022009418.1	MIP	PF00230.26	2.3e-10	41.4	32	82
XP_022009469.1	MIP	PF00230.26	1.7e-85	287.1	29	264
XP_022011339.1	MIP	PF00230.26	5.5e-55	187.3	39	247
XP_022011398.1	MIP	PF00230.26	1.2e-54	186.2	47	254
XP_022012100.1	MIP	PF00230.26	4.8e-65	220.2	32	243
XP_022012102.1	MIP	PF00230.26	2.4e-62	211.3	37	248
XP_022013098.1	MIP	PF00230.26	1.5e-79	267.6	13	234
XP_022014304.1	MIP	PF00230.26	5.9e-60	203.5	35	244
XP_022014704.1	MIP	PF00230.26	3.4e-60	204.3	39	249
XP_022016546.1	MIP	PF00230.26	1.3e-78	264.5	14	232
XP_022016725.1	MIP	PF00230.26	4.2e-78	262.9	14	232
XP_022021453.1	MIP	PF00230.26	3.9e-62	210.7	39	246
XP_022021536.1	MIP	PF00230.26	4.8e-49	167.8	65	273
XP_022022901.1	MIP	PF00230.26	1e-83	281.2	44	274
XP_022023717.1	MIP	PF00230.26	9.9e-55	186.4	40	247
XP_022025446.1	MIP	PF00230.26	2.6e-83	279.9	29	258
XP_022025807.1	MIP	PF00230.26	1.5e-48	166.2	69	277
XP_022026331.1	MIP	PF00230.26	1.9e-76	257.5	21	241
XP_022029508.1	MIP	PF00230.26	2.1e-81	273.7	44	274
XP_022029689.1	MIP	PF00230.26	2.9e-80	269.9	15	232
XP_022031599.1	MIP	PF00230.26	9e-15	55.8	30	95
XP_022032747.1	MIP	PF00230.26	2.3e-61	208.2	36	246
XP_022035417.1	MIP	PF00230.26	7.7e-84	281.6	44	274
XP_022035419.1	MIP	PF00230.26	1.3e-81	274.4	44	274
XP_022035921.1	MIP	PF00230.26	1.4e-78	264.5	13	234
XP_022036172.1	MIP	PF00230.26	1.2e-06	29.2	8	217
XP_022037229.1	MIP	PF00230.26	4.8e-77	259.4	15	234
XP_022038870.1	MIP	PF00230.26	1.2e-52	179.6	74	282
XP_035831160.1	MIP	PF00230.26	7.6e-86	288.2	29	264
XP_035832764.1	MIP	PF00230.26	3.1e-78	263.3	46	275
XP_035833122.1	MIP	PF00230.26	3.4e-41	142.2	58	264
XP_035833123.1	MIP	PF00230.26	9.3e-23	81.9	58	223
XP_035833912.1	MIP	PF00230.26	1.7e-78	264.1	14	232
XP_035834143.1	MIP	PF00230.26	1.6e-36	126.9	60	293
XP_035834144.1	MIP	PF00230.26	1.6e-35	123.7	58	292
XP_035835143.1	MIP	PF00230.26	1.4e-20	74.7	37	96
XP_035835916.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835917.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835918.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835920.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835921.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835922.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835923.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835924.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035835925.1	MIP	PF00230.26	4.5e-84	282.4	35	270
XP_035837035.1	MIP	PF00230.26	2.2e-80	270.3	30	262
