accession	title	organism
NP_001274704.1	aquaporin NIP1-1-like [Solanum lycopersicum]	Solanum lycopersicum
NP_001289823.1	aquaporin PIP2-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289835.2	probable aquaporin PIP-type pTOM75 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289837.1	probable aquaporin NIP7-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289841.1	aquaporin TIP4-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289845.1	aquaporin TIP2-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289846.1	probable aquaporin PIP2-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289851.1	probable aquaporin PIP1-2 [Solanum lycopersicum]	Solanum lycopersicum
NP_001289852.1	aquaporin NIP6-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001292491.1	X-intrinsic protein XIP1.3 [Solanum lycopersicum]	Solanum lycopersicum
NP_001293121.1	probable aquaporin SIP2-1 [Solanum lycopersicum]	Solanum lycopersicum
NP_001303699.1	X intrinsic isoform 2 [Solanum lycopersicum]	Solanum lycopersicum
NP_001315474.1	probable aquaporin TIP3-2 [Solanum lycopersicum]	Solanum lycopersicum
NP_001323362.1	NOD26-like intrinsic protein 3;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001323363.1	NOD26-like intrinsic protein 3;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001323849.1	plasma membrane intrinsic protein 2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001324018.1	NOD26-like intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001324019.1	NOD26-like intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001324020.1	NOD26-like intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001324169.1	plasma membrane intrinsic protein 2E [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001327692.1	NOD26-like intrinsic protein 7;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001327693.1	NOD26-like intrinsic protein 7;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001327999.1	NOD26-like intrinsic protein 1;2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001328743.1	NOD26-like major intrinsic protein 1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001328744.1	NOD26-like major intrinsic protein 1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_001330234.1	NOD26-like intrinsic protein 4;2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_171668.1	plasma membrane intrinsic protein 1C [Arabidopsis thaliana]	Arabidopsis thaliana
NP_173223.1	beta-tonoplast intrinsic protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_174472.2	NOD26-like intrinsic protein 3;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_175629.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_177462.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_178191.1	NOD26-like intrinsic protein 6;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_179277.1	plasma membrane intrinsic protein 2;8 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_180152.1	tonoplast intrinsic protein 4;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_180548.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_180986.1	NOD26-like intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_181221.1	gamma tonoplast intrinsic protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_181254.1	plasma membrane intrinsic protein 2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_181255.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_181434.1	plasma membrane intrinsic protein 2E [Arabidopsis thaliana]	Arabidopsis thaliana
NP_182120.1	plasma membrane intrinsic protein 1B [Arabidopsis thaliana]	Arabidopsis thaliana
NP_187059.1	small and basic intrinsic protein 1A [Arabidopsis thaliana]	Arabidopsis thaliana
NP_188245.1	delta tonoplast integral protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_189283.1	tonoplast intrinsic protein 2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_190328.1	tonoplast intrinsic protein 5;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_190910.1	plasma membrane intrinsic protein 2A [Arabidopsis thaliana]	Arabidopsis thaliana
NP_191042.1	plasma membrane intrinsic protein 2;5 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_191254.1	small and basic intrinsic protein 2;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_191702.1	plasma membrane intrinsic protein 1A [Arabidopsis thaliana]	Arabidopsis thaliana
NP_192056.1	tonoplast intrinsic protein 1;3 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_192776.1	NOD26-like intrinsic protein 5;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_193465.1	tonoplast intrinsic protein 2;2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_193626.1	NOD26-like intrinsic protein 1;2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_194071.1	plasma membrane intrinsic protein 1;5 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_195236.1	plasma membrane intrinsic protein 3 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_197330.1	Aquaporin-like superfamily protein [Arabidopsis thaliana]	Arabidopsis thaliana
NP_198597.1	NOD26-like intrinsic protein 4;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_198598.1	NOD26-like intrinsic protein 4;2 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_199556.1	tonoplast intrinsic protein 2;3 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_200874.1	plasma membrane intrinsic protein 2;4 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_566271.1	NOD26-like intrinsic protein 7;1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_567178.1	plasma membrane intrinsic protein 1;4 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_567572.1	NOD26-like major intrinsic protein 1 [Arabidopsis thaliana]	Arabidopsis thaliana
NP_974489.1	plasma membrane intrinsic protein 1;4 [Arabidopsis thaliana]	Arabidopsis thaliana
XP_004231447.1	uncharacterized protein [Solanum lycopersicum]	Solanum lycopersicum
XP_004231994.1	probable aquaporin NIP-type [Solanum lycopersicum]	Solanum lycopersicum
XP_004234073.1	aquaporin NIP1-1 [Solanum lycopersicum]	Solanum lycopersicum
XP_004235166.1	probable aquaporin TIP5-1 [Solanum lycopersicum]	Solanum lycopersicum
XP_004239679.1	aquaporin PIP2-4 [Solanum lycopersicum]	Solanum lycopersicum
XP_004248667.1	uncharacterized protein [Solanum lycopersicum]	Solanum lycopersicum
XP_004249141.1	aquaporin SIP1-3 isoform X1 [Solanum lycopersicum]	Solanum lycopersicum
XP_004249473.1	aquaporin TIP1-1 [Solanum lycopersicum]	Solanum lycopersicum
XP_004252630.1	nodulin-26-like [Solanum lycopersicum]	Solanum lycopersicum
XP_010320707.2	probable aquaporin NIP-type isoform X2 [Solanum lycopersicum]	Solanum lycopersicum
XP_010322312.1	nodulin-26-like isoform X1 [Solanum lycopersicum]	Solanum lycopersicum
XP_010322694.1	LOW QUALITY PROTEIN: aquaporin TIP2-1 [Solanum lycopersicum]	Solanum lycopersicum
XP_010327420.1	uncharacterized protein [Solanum lycopersicum]	Solanum lycopersicum
XP_010327421.1	uncharacterized protein [Solanum lycopersicum]	Solanum lycopersicum
XP_010327422.1	probable aquaporin TIP3-1 [Solanum lycopersicum]	Solanum lycopersicum
XP_015614155.1	probable aquaporin TIP3-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015614995.1	aquaporin NIP3-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015620146.2	uncharacterized membrane protein YFL054C [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015621438.1	probable aquaporin TIP4-3 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015621893.1	aquaporin SIP1-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015623151.1	aquaporin NIP1-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015623408.1	probable aquaporin TIP2-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015625393.1	aquaporin PIP1-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015625572.1	aquaporin PIP 1-3 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015626173.1	aquaporin NIP2-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015626399.1	probable aquaporin PIP2-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015630805.1	probable aquaporin PIP2-8 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015631095.1	probable aquaporin TIP1-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015633686.1	probable aquaporin PIP2-3 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015634482.1	LOW QUALITY PROTEIN: aquaporin TIP2-3-like [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015634542.1	aquaporin NIP1-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015635334.1	probable aquaporin TIP5-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015635466.1	probable aquaporin PIP1-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015636702.1	probable aquaporin PIP2-6 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015637278.1	probable aquaporin TIP3-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015637523.1	aquaporin NIP1-3-like [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015640527.1	probable aquaporin TIP4-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015641156.1	probable aquaporin TIP1-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015642749.1	aquaporin NIP1-4 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015643913.1	probable aquaporin TIP2-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015644134.1	aquaporin NIP2-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015644586.1	aquaporin PIP2-4 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015645289.1	aquaporin PIP2-5 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015645985.1	aquaporin NIP4-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015646828.1	probable aquaporin PIP2-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015649596.1	aquaporin NIP3-3 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015649638.1	aquaporin NIP3-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015649953.1	aquaporin NIP3-2-like [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_015651220.1	probable aquaporin PIP2-7 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_019067595.1	aquaporin NIP1-1-like [Solanum lycopersicum]	Solanum lycopersicum
XP_023729503.1	aquaporin PIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023729504.1	aquaporin PIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023730188.2	uncharacterized protein LOC111877917 [Lactuca sativa]	Lactuca sativa
XP_023731640.1	small and basic intrinsic protein 2;1 [Lactuca sativa]	Lactuca sativa
XP_023732851.1	aquaporin NIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023734158.1	aquaporin PIP1-2 [Lactuca sativa]	Lactuca sativa
XP_023735100.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_023736370.1	aquaporin PIP2-7 [Lactuca sativa]	Lactuca sativa
XP_023737345.1	aquaporin NIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023737915.2	putative aquaporin TIP-type [Lactuca sativa]	Lactuca sativa
XP_023737916.1	putative aquaporin TIP-type [Lactuca sativa]	Lactuca sativa
XP_023738028.1	aquaporin TIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023738035.1	aquaporin PIP2-2 [Lactuca sativa]	Lactuca sativa
XP_023743033.1	aquaporin NIP1-2 [Lactuca sativa]	Lactuca sativa
XP_023743447.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_023743455.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_023744881.1	gamma tonoplast intrinsic protein [Lactuca sativa]	Lactuca sativa
XP_023744911.1	aquaporin PIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023745787.1	NOD26-like intrinsic protein 7;1 [Lactuca sativa]	Lactuca sativa
XP_023749056.1	aquaporin TIP4-1 [Lactuca sativa]	Lactuca sativa
XP_023749509.1	aquaporin TIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023749737.1	tonoplast intrinsic protein 5;1 [Lactuca sativa]	Lactuca sativa
XP_023749820.1	aquaporin TIP1-3 [Lactuca sativa]	Lactuca sativa
XP_023750770.2	probable aquaporin PIP1-4 [Lactuca sativa]	Lactuca sativa
XP_023751531.1	aquaporin PIP2-2 [Lactuca sativa]	Lactuca sativa
XP_023751913.1	putative aquaporin NIP-type [Lactuca sativa]	Lactuca sativa
XP_023751970.1	putative aquaporin NIP4-2 [Lactuca sativa]	Lactuca sativa
XP_023752024.1	aquaporin PIP1-3 [Lactuca sativa]	Lactuca sativa
XP_023752472.2	aquaporin TIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023752775.1	aquaporin PIP1-3 isoform X1 [Lactuca sativa]	Lactuca sativa
XP_023752776.1	aquaporin PIP1-2 isoform X2 [Lactuca sativa]	Lactuca sativa
XP_023752945.1	aquaporin PIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023752946.1	aquaporin PIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023752947.1	aquaporin PIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023754582.1	beta-tonoplast intrinsic protein [Lactuca sativa]	Lactuca sativa
XP_023756829.1	aquaporin SIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023757067.1	probable aquaporin PIP1-4 [Lactuca sativa]	Lactuca sativa
XP_023757784.1	putative aquaporin PIP2-5 [Lactuca sativa]	Lactuca sativa
XP_023758935.1	putative aquaporin NIP5-1 [Lactuca sativa]	Lactuca sativa
XP_023758937.1	putative aquaporin NIP5-1 [Lactuca sativa]	Lactuca sativa
XP_023761055.1	tonoplast intrinsic protein 1;3 [Lactuca sativa]	Lactuca sativa
XP_023761387.1	putative aquaporin NIP-type [Lactuca sativa]	Lactuca sativa
XP_023761870.1	aquaporin TIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023766346.1	NOD26-like intrinsic protein 6;1 [Lactuca sativa]	Lactuca sativa
XP_023767502.1	aquaporin NIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023767826.1	aquaporin PIP2-4 [Lactuca sativa]	Lactuca sativa
XP_023767827.1	aquaporin PIP2-4 [Lactuca sativa]	Lactuca sativa
XP_023767828.1	aquaporin PIP2-4 [Lactuca sativa]	Lactuca sativa
XP_023768465.1	putative aquaporin SIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023768792.1	aquaporin NIP2-1 [Lactuca sativa]	Lactuca sativa
XP_023768962.1	aquaporin SIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023769537.1	aquaporin NIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023769927.1	aquaporin SIP1-1 [Lactuca sativa]	Lactuca sativa
XP_023770678.2	putative aquaporin PIP2-8 [Lactuca sativa]	Lactuca sativa
XP_023772191.1	aquaporin PIP1-2 [Lactuca sativa]	Lactuca sativa
XP_023772653.1	nodulin-26 [Lactuca sativa]	Lactuca sativa
XP_023773129.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_023773130.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_025879886.1	aquaporin SIP2-1 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_025879958.1	probable aquaporin TIP4-2 [Oryza sativa Japonica Group]	Oryza sativa Japonica Group
XP_025883804.1	probable aquaporin PIP2-1 isoform X1 [Solanum lycopersicum]	Solanum lycopersicum
XP_042753782.1	aquaporin TIP1-3 isoform X2 [Lactuca sativa]	Lactuca sativa
XP_042754199.1	aquaporin PIP1-2 isoform X2 [Lactuca sativa]	Lactuca sativa
XP_052620726.1	putative aquaporin TIP-type RB7-5A [Lactuca sativa]	Lactuca sativa
XP_052622050.1	aquaporin PIP1-3-like [Lactuca sativa]	Lactuca sativa
XP_052624470.1	probable aquaporin NIP-type isoform X1 [Lactuca sativa]	Lactuca sativa
