protein_id	E_value	score	bias	best_dom_evalue	best_dom_score
XP_022016725.1	9.4e-78	263.0	17.1	1.1e-77	262.9
XP_021984447.2	1.1e-77	262.8	19.2	1.2e-77	262.7
XP_021977771.1	1e-76	259.6	17.7	1.2e-76	259.4
XP_022037229.1	1e-76	259.6	16.0	1.2e-76	259.4
XP_022026331.1	4.1e-76	257.7	19.6	4.7e-76	257.5
XP_022000445.1	9.3e-76	256.5	19.7	1.1e-75	256.3
XP_021979635.1	6.2e-75	253.8	22.0	7e-75	253.6
XP_021977057.1	1.3e-73	249.5	19.1	1.4e-73	249.3
XP_021999580.1	1.3e-72	246.2	17.7	1.5e-72	246.0
XP_021969157.1	1.9e-72	245.7	6.1	2.5e-72	245.3
XP_022000943.1	1.1e-68	233.3	13.8	1.3e-68	233.2
XP_022012100.1	1e-64	220.4	13.2	1.2e-64	220.2
XP_021979651.1	1.2e-64	220.2	12.0	1.4e-64	219.9
XP_021994152.1	1.3e-63	216.8	13.9	1.6e-63	216.5
XP_022012102.1	5e-62	211.6	13.1	6.1e-62	211.3
XP_022021453.1	8.2e-62	210.9	14.8	9.7e-62	210.7
XP_022032747.1	4.8e-61	208.4	10.0	5.7e-61	208.2
XP_022014704.1	7.1e-60	204.6	8.6	8.6e-60	204.3
XP_022007155.1	1.2e-59	203.8	16.6	1.4e-59	203.6
XP_022014304.1	1.2e-59	203.8	10.3	1.5e-59	203.5
XP_021972988.1	5.3e-59	201.7	16.5	6.2e-59	201.5
XP_022006941.1	2.5e-58	199.5	15.2	3e-58	199.2
XP_021972990.2	1.5e-56	193.7	16.5	1.8e-56	193.4
XP_021977943.1	9.8e-56	191.0	15.9	1.3e-55	190.7
XP_021987957.1	2.6e-55	189.6	15.4	3.4e-55	189.3
XP_021987955.1	7.3e-55	188.2	13.9	9.2e-55	187.9
XP_022011339.1	1.1e-54	187.6	17.1	1.4e-54	187.3
XP_022023717.1	2e-54	186.8	17.2	2.5e-54	186.4
XP_022011398.1	2.4e-54	186.5	14.6	3e-54	186.2
XP_021989956.1	4.2e-54	185.7	17.7	5.4e-54	185.3
XP_022038870.1	2.3e-52	180.0	17.8	3e-52	179.6
XP_021976874.1	5.9e-51	175.4	16.9	7.2e-51	175.1
XP_022021536.1	1e-48	168.1	17.8	1.2e-48	167.8
XP_022025807.1	3.2e-48	166.5	16.7	3.9e-48	166.2
XP_021981655.1	2.7e-41	143.8	17.9	3.5e-41	143.4
XP_035833122.1	6.9e-41	142.5	19.7	8.7e-41	142.2
XP_035834143.1	3.2e-36	127.2	14.3	4e-36	126.9
XP_035834144.1	3.1e-35	124.0	14.8	3.9e-35	123.7
XP_035833123.1	1.6e-22	82.4	14.2	2.3e-22	81.9
XP_035835143.1	3.2e-20	74.9	1.5	3.6e-20	74.7
XP_021983051.1	2.4e-19	72.1	15.0	2.7e-19	71.9
XP_022000573.1	1.9e-17	65.8	16.3	2.1e-17	65.7
XP_022009396.1	1.5e-16	62.9	16.1	1.7e-16	62.8
XP_021975607.1	1.2e-15	59.9	0.1	1.4e-15	59.7
XP_022031599.1	1.7e-14	56.2	0.1	2.3e-14	55.8
XP_021990674.1	2.2e-14	55.8	0.1	3.2e-14	55.3
XP_021985922.2	5.8e-11	44.6	0.0	9.9e-11	43.9
XP_022009418.1	4.6e-10	41.7	0.1	5.8e-10	41.4
XP_021988248.1	1.4e-07	33.6	10.7	1.9e-07	33.1
XP_021970374.1	2.6e-07	32.7	10.5	3.2e-07	32.4
XP_022036172.1	2.4e-06	29.5	5.3	3.1e-06	29.2
