protein_id	subfamily_tree	support_fraction	nearest_reference	nearest_distance	k_reference_subfamilies	subfamily_from_ncbi_name	ncbi_product
XP_021979635.1	TIP	1.00	Ls_XP_023738028.1	0.0644	TIP;TIP;TIP;TIP;TIP	TIP	probable aquaporin TIP1-1 [Helianthus annuus]
XP_022026331.1	TIP	1.00	Ls_XP_023749509.1	0.0854	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP1-1 [Helianthus annuus]
XP_022000445.1	TIP	1.00	Ls_XP_023749509.1	0.2019	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP1-1 [Helianthus annuus]
XP_022013098.1	TIP	1.00	Ls_XP_023754582.1	0.1013	TIP;TIP;TIP;TIP;TIP	TIP	probable aquaporin TIP3-2 [Helianthus annuus]
XP_022035921.1	TIP	1.00	Ls_XP_023754582.1	0.0998	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP3-1 [Helianthus annuus]
XP_021977771.1	TIP	1.00	Os_XP_015623408.1	0.1865	TIP;TIP;TIP;TIP;TIP	TIP	probable aquaporin TIP2-1 [Helianthus annuus]
XP_022016725.1	TIP	1.00	Os_XP_015623408.1	0.1959	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type RB7-5A [Helianthus annuus]
XP_022016546.1	TIP	1.00	Os_XP_015623408.1	0.1716	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type [Helianthus annuus]
XP_022002235.1	TIP	1.00	Os_XP_015623408.1	0.1763	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type RB7-5A [Helianthus annuus]
XP_022002236.1	TIP	1.00	Os_XP_015623408.1	0.1972	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type RB7-5A [Helianthus annuus]
XP_022002237.1	TIP	1.00	Os_XP_015623408.1	0.1887	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type [Helianthus annuus]
XP_022002249.1	TIP	1.00	Os_XP_015623408.1	0.1705	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type RB7-5A [Helianthus annuus]
XP_022029689.1	TIP	1.00	Os_XP_015623408.1	0.1714	TIP;TIP;TIP;TIP;TIP	unassigned	probable aquaporin TIP-type [Helianthus annuus]
XP_021984447.2	TIP	1.00	Ls_XP_023752472.2	0.0626	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP2-1 [Helianthus annuus]
XP_035833912.1	TIP	1.00	Ls_XP_023752472.2	0.0618	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP2-1-like [Helianthus annuus]
XP_021990076.1	TIP	1.00	Ls_XP_023761870.1	0.1180	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP2-1 [Helianthus annuus]
XP_021997121.1	TIP	1.00	Ls_XP_023761870.1	0.0625	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP2-1 [Helianthus annuus]
XP_022007155.1	TIP	1.00	Ls_XP_023749737.1	0.2668	TIP;TIP;TIP;TIP;TIP	TIP	probable aquaporin TIP5-1 [Helianthus annuus]
XP_022000943.1	TIP	1.00	Ls_XP_023749056.1	0.0890	TIP;TIP;TIP;TIP;TIP	TIP	aquaporin TIP4-1 [Helianthus annuus]
XP_021970374.1	SIP	1.00	Ls_XP_023768465.1	0.3378	SIP;SIP;SIP;SIP;SIP	SIP	probable aquaporin SIP2-1 [Helianthus annuus]
XP_022036172.1	SIP	1.00	Ls_XP_023768465.1	0.2910	SIP;SIP;SIP;SIP;SIP	SIP	probable aquaporin SIP2-1 [Helianthus annuus]
XP_021988248.1	SIP	1.00	Ls_XP_023731640.1	0.2635	SIP;SIP;SIP;SIP;SIP	SIP	probable aquaporin SIP2-1 [Helianthus annuus]
XP_021983051.1	SIP	1.00	Ls_XP_023769927.1	0.1786	SIP;SIP;SIP;SIP;SIP	SIP	aquaporin SIP1-1 [Helianthus annuus]
XP_022000573.1	SIP	1.00	Ls_XP_023756829.1	0.3076	SIP;SIP;SIP;SIP;SIP	SIP	aquaporin SIP1-2 [Helianthus annuus]
XP_022009396.1	SIP	1.00	Ls_XP_023768962.1	0.1920	SIP;SIP;SIP;SIP;SIP	SIP	aquaporin SIP1-2 [Helianthus annuus]
XP_021972988.1	NIP	1.00	Ls_XP_023751970.1	0.3971	NIP;NIP;NIP;NIP;NIP	unassigned	probable aquaporin NIP-type [Helianthus annuus]
XP_021972990.2	NIP	1.00	Ls_XP_023751970.1	0.5103	NIP;NIP;NIP;NIP;NIP	unassigned	probable aquaporin NIP-type [Helianthus annuus]
XP_022006941.1	NIP	1.00	Ls_XP_023751970.1	0.3584	NIP;NIP;NIP;NIP;NIP	unassigned	probable aquaporin NIP-type [Helianthus annuus]
XP_022021453.1	NIP	1.00	At_NP_001330234.1	0.3479	NIP;NIP;NIP;NIP;NIP	unassigned	probable aquaporin NIP-type [Helianthus annuus]
XP_021979651.1	NIP	1.00	Ls_XP_023743033.1	0.0247	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_021994152.1	NIP	1.00	Ls_XP_023743033.1	0.0250	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_022012100.1	NIP	1.00	Ls_XP_023769537.1	0.1394	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_022012102.1	NIP	1.00	Ls_XP_023732851.1	0.1673	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_022032747.1	NIP	1.00	Ls_XP_023732851.1	0.1680	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_022014304.1	NIP	1.00	Ls_XP_023732851.1	0.1814	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP1-1 [Helianthus annuus]
XP_022014704.1	NIP	1.00	Ls_XP_023772653.1	0.1780	NIP;NIP;NIP;NIP;NIP	NIP	nodulin-26 [Helianthus annuus]
XP_021977943.1	NIP	1.00	Ls_XP_023767502.1	0.1069	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-2 [Helianthus annuus]
XP_021987957.1	NIP	1.00	Ls_XP_023767502.1	0.0942	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-1 [Helianthus annuus]
XP_022011339.1	NIP	1.00	Ls_XP_023767502.1	0.1152	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-1 [Helianthus annuus]
XP_021989956.1	NIP	1.00	Ls_XP_023767502.1	0.1481	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-1 [Helianthus annuus]
XP_022011398.1	NIP	1.00	Ls_XP_023767502.1	0.1255	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-1 [Helianthus annuus]
XP_022023717.1	NIP	1.00	Ls_XP_023767502.1	0.1908	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-2 [Helianthus annuus]
XP_021987955.1	NIP	1.00	Ls_XP_023767502.1	0.0878	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP2-2 [Helianthus annuus]
XP_021976874.1	NIP	1.00	Ls_XP_023758937.1	0.0323	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP5-1 [Helianthus annuus]
XP_022025807.1	NIP	1.00	Ls_XP_023758937.1	0.0387	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP5-1 [Helianthus annuus]
XP_022021536.1	NIP	1.00	Ls_XP_023758937.1	0.0449	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP5-1 [Helianthus annuus]
XP_022038870.1	NIP	1.00	Ls_XP_023766346.1	0.0663	NIP;NIP;NIP;NIP;NIP	NIP	aquaporin NIP6-1 [Helianthus annuus]
XP_021981655.1	NIP	1.00	Ls_XP_023745787.1	0.1741	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP7-1 isoform X2 [Helianthus annuus]
XP_035833122.1	NIP	1.00	Ls_XP_023745787.1	0.1625	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP7-1 isoform X1 [Helianthus annuus]
XP_035833123.1	NIP	1.00	Ls_XP_023745787.1	0.2031	NIP;NIP;NIP;NIP;NIP	NIP	probable aquaporin NIP7-1 isoform X3 [Helianthus annuus]
XP_035834143.1	TIP	0.40	Sl_NP_001292491.1	0.2701	XIP;TIP;TIP;PIP;PIP	unassigned	aquaporin-5 [Helianthus annuus]
XP_035834144.1	TIP	0.40	Sl_NP_001292491.1	0.3496	XIP;TIP;TIP;PIP;PIP	unassigned	aquaporin [Helianthus annuus]
XP_022005989.1	PIP	1.00	Ls_XP_023767826.1	0.0368	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-4 [Helianthus annuus]
XP_022005993.1	PIP	1.00	Ls_XP_023767826.1	0.0307	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-4 [Helianthus annuus]
XP_022005990.1	PIP	1.00	Ls_XP_023767826.1	0.0248	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-4 [Helianthus annuus]
XP_021973843.1	PIP	1.00	Ls_XP_023757784.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-5 [Helianthus annuus]
XP_021979449.1	PIP	1.00	Ls_XP_023738035.1	0.0062	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-2 [Helianthus annuus]
XP_021994243.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835918.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835922.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835921.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835920.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835925.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835923.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835924.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835917.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_035835916.1	PIP	1.00	Ls_XP_023738035.1	0.0120	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_021998290.1	PIP	1.00	Ls_XP_023770678.2	0.0320	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-8 [Helianthus annuus]
XP_022025446.1	PIP	1.00	Ls_XP_023736370.1	0.0324	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-7 [Helianthus annuus]
XP_022009469.1	PIP	1.00	Ls_XP_023738035.1	0.0312	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-2 [Helianthus annuus]
XP_035831160.1	PIP	1.00	Ls_XP_023738035.1	0.0909	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-2-like [Helianthus annuus]
XP_022005838.1	PIP	1.00	Ls_XP_023738035.1	0.0311	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-2 [Helianthus annuus]
XP_021992949.1	PIP	1.00	Ls_XP_023757784.1	0.0185	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP2-5 [Helianthus annuus]
XP_021997756.1	PIP	1.00	Ls_XP_023757784.1	0.0544	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-1 [Helianthus annuus]
XP_035837035.1	PIP	1.00	Ls_XP_023757784.1	0.1334	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP2-2-like [Helianthus annuus]
XP_035832764.1	PIP	1.00	Ls_XP_023734158.1	0.1527	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP1-4 [Helianthus annuus]
XP_022000317.1	PIP	1.00	Ls_XP_023752024.1	0.0186	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022002168.1	PIP	1.00	Ls_XP_023752024.1	0.0186	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022002167.1	PIP	1.00	Ls_XP_023752024.1	0.0186	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022029508.1	PIP	1.00	Ls_XP_023752024.1	0.0187	PIP;PIP;PIP;PIP;PIP	PIP	aquaporin PIP1-3 [Helianthus annuus]
XP_022006482.1	PIP	1.00	Ls_XP_023772191.1	0.0319	PIP;PIP;PIP;PIP;PIP	PIP	probable aquaporin PIP1-4 [Helianthus annuus]
