gene	motif_id	start	end	strand	pvalue
XP_021973154.1	motif_3	15	64	none	5.82e-61
XP_021973148.1	motif_3	15	64	none	5.82e-61
XP_021973145.1	motif_3	15	64	none	5.82e-61
XP_021973144.1	motif_3	15	64	none	5.82e-61
XP_022005990.1	motif_3	15	64	none	3.51e-60
XP_022005993.1	motif_3	15	64	none	6.09e-60
XP_022005989.1	motif_3	15	64	none	6.09e-60
XP_021973181.1	motif_3	15	64	none	1.75e-59
XP_021973155.1	motif_3	15	64	none	1.75e-59
XP_021971649.1	motif_3	24	73	none	4.03e-59
XP_021979449.1	motif_3	20	69	none	1.92e-58
XP_022009469.1	motif_3	14	63	none	4.86e-57
XP_022005838.1	motif_3	14	63	none	8.20e-57
XP_021973843.1	motif_3	14	63	none	1.06e-56
XP_021973917.1	motif_3	30	79	none	8.57e-54
XP_022035417.1	motif_3	29	78	none	9.56e-54
XP_022022901.1	motif_3	29	78	none	9.56e-54
XP_022002168.1	motif_3	29	78	none	9.56e-54
XP_022002167.1	motif_3	29	78	none	9.56e-54
XP_022000317.1	motif_3	29	78	none	9.56e-54
XP_021969157.1	motif_3	29	78	none	9.56e-54
XP_021969156.1	motif_3	29	78	none	9.56e-54
XP_021992949.1	motif_3	12	61	none	1.07e-53
XP_022035419.1	motif_3	29	78	none	2.51e-53
XP_022029508.1	motif_3	29	78	none	4.27e-53
XP_021997756.1	motif_3	14	63	none	8.00e-53
XP_022006482.1	motif_3	30	79	none	2.03e-52
XP_021998290.1	motif_3	14	63	none	1.56e-50
XP_035831160.1	motif_3	14	63	none	4.41e-50
XP_022025446.1	motif_3	14	63	none	4.85e-49
XP_035837035.1	motif_3	14	63	none	5.31e-49
XP_035832764.1	motif_3	30	79	none	1.19e-46
XP_035835925.1	motif_4	155	197	none	5.57e-53
XP_035835924.1	motif_4	155	197	none	5.57e-53
XP_035835923.1	motif_4	155	197	none	5.57e-53
XP_035835922.1	motif_4	155	197	none	5.57e-53
XP_035835921.1	motif_4	155	197	none	5.57e-53
XP_035835920.1	motif_4	155	197	none	5.57e-53
XP_035835918.1	motif_4	155	197	none	5.57e-53
XP_035835917.1	motif_4	155	197	none	5.57e-53
XP_035835916.1	motif_4	155	197	none	5.57e-53
XP_022005838.1	motif_4	149	191	none	5.57e-53
XP_021994243.1	motif_4	155	197	none	5.57e-53
XP_021979449.1	motif_4	155	197	none	5.57e-53
XP_021973181.1	motif_4	150	192	none	3.33e-51
XP_021973155.1	motif_4	150	192	none	3.33e-51
XP_021973148.1	motif_4	150	192	none	3.33e-51
XP_021973145.1	motif_4	150	192	none	3.33e-51
XP_021973144.1	motif_4	150	192	none	3.33e-51
XP_022005993.1	motif_4	150	192	none	1.54e-50
XP_022005990.1	motif_4	150	192	none	1.54e-50
XP_021973843.1	motif_4	149	191	none	9.73e-50
XP_021971649.1	motif_4	159	201	none	2.48e-49
XP_021973154.1	motif_4	150	192	none	3.25e-49
XP_021992949.1	motif_4	148	190	none	5.60e-49
XP_022009469.1	motif_4	149	191	none	8.23e-49
XP_035831160.1	motif_4	149	191	none	9.27e-49
XP_022005989.1	motif_4	150	192	none	1.34e-48
XP_021997756.1	motif_4	147	189	none	1.85e-47
XP_021998290.1	motif_4	143	185	none	2.44e-45
XP_022022901.1	motif_4	159	201	none	2.98e-45
XP_022000317.1	motif_4	159	201	none	4.88e-45
XP_022002168.1	motif_4	159	201	none	1.42e-44
XP_022002167.1	motif_4	159	201	none	1.42e-44
XP_022035417.1	motif_4	159	201	none	1.72e-44
XP_021969157.1	motif_4	159	201	none	1.72e-44
XP_021969156.1	motif_4	159	201	none	1.72e-44
XP_022029508.1	motif_4	159	201	none	6.44e-44
XP_022025446.1	motif_4	143	185	none	1.23e-43
XP_022006482.1	motif_4	160	202	none	8.18e-43
XP_022035419.1	motif_4	159	201	none	1.97e-42
XP_035837035.1	motif_4	147	189	none	4.69e-42
XP_021973917.1	motif_4	160	202	none	8.55e-42
XP_022007682.2	motif_4	118	160	none	4.86e-40
XP_035832764.1	motif_4	160	202	none	4.33e-38
XP_022005838.1	motif_5	235	275	none	1.71e-50
XP_035835925.1	motif_5	241	281	none	1.03e-49
XP_035835924.1	motif_5	241	281	none	1.03e-49
XP_035835923.1	motif_5	241	281	none	1.03e-49
XP_035835922.1	motif_5	241	281	none	1.03e-49
XP_035835921.1	motif_5	241	281	none	1.03e-49
XP_035835920.1	motif_5	241	281	none	1.03e-49
XP_035835918.1	motif_5	241	281	none	1.03e-49
XP_035835917.1	motif_5	241	281	none	1.03e-49
XP_035835916.1	motif_5	241	281	none	1.03e-49
XP_021994243.1	motif_5	241	281	none	1.03e-49
XP_021979449.1	motif_5	241	281	none	6.26e-48
XP_021973843.1	motif_5	235	275	none	1.51e-47
XP_022005989.1	motif_5	236	276	none	2.12e-47
XP_021973148.1	motif_5	236	276	none	2.94e-47
XP_021973145.1	motif_5	236	276	none	2.94e-47
XP_021971649.1	motif_5	245	285	none	2.94e-47
XP_022005993.1	motif_5	236	276	none	1.19e-46
XP_021973154.1	motif_5	236	276	none	1.19e-46
XP_021973144.1	motif_5	236	276	none	1.19e-46
XP_022005990.1	motif_5	236	276	none	3.26e-46
XP_021997756.1	motif_5	233	273	none	5.67e-46
XP_021973181.1	motif_5	236	276	none	5.67e-46
XP_021973155.1	motif_5	236	276	none	1.11e-45
XP_021969156.1	motif_5	245	285	none	9.74e-45
XP_022035419.1	motif_5	245	285	none	3.26e-44
XP_022022901.1	motif_5	245	285	none	5.88e-44
XP_035831160.1	motif_5	235	275	none	6.61e-44
XP_021992949.1	motif_5	234	274	none	7.42e-44
XP_022035417.1	motif_5	245	285	none	8.33e-44
XP_035837035.1	motif_5	233	273	none	1.32e-43
XP_022029508.1	motif_5	245	285	none	6.33e-43
XP_022000317.1	motif_5	245	285	none	8.79e-43
XP_022006482.1	motif_5	246	286	none	1.36e-42
XP_022025446.1	motif_5	229	269	none	1.51e-42
XP_021973917.1	motif_5	246	286	none	3.19e-42
XP_022002168.1	motif_5	245	285	none	1.37e-41
XP_022002167.1	motif_5	245	285	none	1.37e-41
XP_022009469.1	motif_5	235	275	none	2.28e-41
XP_021998290.1	motif_5	229	269	none	6.88e-41
XP_035832764.1	motif_5	246	286	none	6.85e-36
XP_022007682.2	motif_5	204	244	none	1.90e-30
XP_022005993.1	motif_6	121	142	none	2.30e-25
XP_022005990.1	motif_6	121	142	none	2.30e-25
XP_022005989.1	motif_6	121	142	none	2.30e-25
XP_021973843.1	motif_6	120	141	none	2.21e-24
XP_022009469.1	motif_6	120	141	none	7.26e-24
XP_021992949.1	motif_6	119	140	none	7.26e-24
XP_021973181.1	motif_6	121	142	none	2.65e-23
XP_021973155.1	motif_6	121	142	none	2.65e-23
XP_021973154.1	motif_6	121	142	none	2.65e-23
XP_021973148.1	motif_6	121	142	none	2.65e-23
XP_021973145.1	motif_6	121	142	none	2.65e-23
XP_021973144.1	motif_6	121	142	none	2.65e-23
XP_021971649.1	motif_6	130	151	none	2.65e-23
XP_022005838.1	motif_6	120	141	none	6.24e-23
XP_035835925.1	motif_6	126	147	none	7.38e-23
XP_035835924.1	motif_6	126	147	none	7.38e-23
XP_035835923.1	motif_6	126	147	none	7.38e-23
XP_035835922.1	motif_6	126	147	none	7.38e-23
XP_035835921.1	motif_6	126	147	none	7.38e-23
XP_035835920.1	motif_6	126	147	none	7.38e-23
XP_035835918.1	motif_6	126	147	none	7.38e-23
XP_035835917.1	motif_6	126	147	none	7.38e-23
XP_035835916.1	motif_6	126	147	none	7.38e-23
XP_021998290.1	motif_6	114	135	none	7.38e-23
XP_021994243.1	motif_6	126	147	none	7.38e-23
XP_021979449.1	motif_6	126	147	none	2.02e-22
XP_022035417.1	motif_6	129	150	none	3.29e-22
XP_022022901.1	motif_6	129	150	none	3.29e-22
XP_022002168.1	motif_6	129	150	none	3.29e-22
XP_022002167.1	motif_6	129	150	none	3.29e-22
XP_022000317.1	motif_6	129	150	none	3.29e-22
XP_021969157.1	motif_6	129	150	none	4.52e-22
XP_021969156.1	motif_6	129	150	none	4.52e-22
XP_035831160.1	motif_6	120	141	none	1.80e-21
XP_022006482.1	motif_6	130	151	none	2.82e-21
XP_022035419.1	motif_6	129	150	none	3.59e-20
XP_022029508.1	motif_6	129	150	none	1.75e-19
XP_022025446.1	motif_6	114	135	none	1.75e-19
XP_021997756.1	motif_6	118	139	none	2.57e-19
XP_022002249.1	motif_6	98	119	none	4.84e-19
XP_022002237.1	motif_6	98	119	none	4.84e-19
XP_022002236.1	motif_6	98	119	none	4.84e-19
XP_022002235.1	motif_6	98	119	none	4.84e-19
XP_022029689.1	motif_6	98	119	none	5.48e-19
XP_021973917.1	motif_6	130	151	none	5.48e-19
XP_035832764.1	motif_6	130	151	none	7.03e-19
XP_022000445.1	motif_6	107	128	none	1.15e-18
XP_022013098.1	motif_6	100	121	none	8.56e-18
XP_022026331.1	motif_6	107	128	none	1.69e-17
XP_022035921.1	motif_6	100	121	none	2.65e-17
XP_035837035.1	motif_6	118	139	none	7.89e-17
XP_021979635.1	motif_6	104	125	none	9.78e-17
XP_035833912.1	motif_6	98	119	none	2.81e-16
XP_022037229.1	motif_6	100	121	none	4.24e-16
XP_021984447.2	motif_6	98	119	none	4.70e-16
XP_021977771.1	motif_6	98	119	none	4.70e-16
XP_022016725.1	motif_6	98	119	none	5.76e-16
XP_021990076.1	motif_6	98	119	none	7.80e-16
XP_021997121.1	motif_6	98	119	none	2.11e-15
XP_022007682.2	motif_6	89	110	none	2.82e-15
XP_021994685.2	motif_6	100	121	none	2.82e-15
XP_022016546.1	motif_6	98	119	none	1.07e-14
XP_022014704.1	motif_6	114	135	none	3.54e-14
XP_021976874.1	motif_6	140	161	none	1.03e-13
XP_021972988.1	motif_6	105	126	none	1.89e-13
XP_035834143.1	motif_6	139	160	none	2.06e-13
XP_022012102.1	motif_6	116	137	none	2.06e-13
XP_022038870.1	motif_6	151	172	none	2.25e-13
XP_021977057.1	motif_6	100	121	none	2.45e-13
XP_022000943.1	motif_6	95	116	none	2.90e-13
XP_035834144.1	motif_6	137	158	none	4.07e-13
XP_022007155.1	motif_6	101	122	none	4.43e-13
XP_022021453.1	motif_6	114	135	none	6.19e-13
XP_021999580.1	motif_6	100	121	none	9.36e-13
XP_022025807.1	motif_6	146	167	none	1.10e-12
XP_022012100.1	motif_6	111	132	none	2.11e-12
XP_021987957.1	motif_6	112	133	none	2.48e-12
XP_021987955.1	motif_6	116	137	none	2.48e-12
XP_022023717.1	motif_6	116	137	none	3.15e-12
XP_022021536.1	motif_6	142	163	none	3.15e-12
XP_021979651.1	motif_6	116	137	none	3.69e-12
XP_022032747.1	motif_6	114	135	none	5.90e-12
XP_022011398.1	motif_6	123	144	none	7.45e-12
XP_021994152.1	motif_6	103	124	none	7.45e-12
XP_022006941.1	motif_6	105	126	none	2.33e-11
XP_035833122.1	motif_6	244	265	none	1.66e-10
XP_021981655.1	motif_6	214	235	none	1.66e-10
XP_022000573.1	motif_6	87	108	none	1.56e-09
XP_021983051.1	motif_6	87	108	none	1.56e-09
XP_022036172.1	motif_6	86	107	none	3.85e-09
XP_021970374.1	motif_6	86	107	none	1.92e-08
XP_022009396.1	motif_6	89	110	none	3.48e-08
XP_021988248.1	motif_6	202	223	none	3.30e-07
XP_021972990.2	motif_6	214	235	none	3.68e-07
XP_022011339.1	motif_6	41	62	none	6.93e-07
XP_035833123.1	motif_6	154	175	none	6.41e-04
XP_021977943.1	motif_6	253	274	none	8.78e-04
XP_022002249.1	motif_7	7	56	none	1.11e-49
XP_022002237.1	motif_7	7	56	none	1.11e-49
XP_022002236.1	motif_7	7	56	none	1.11e-49
XP_022002235.1	motif_7	7	56	none	1.11e-49
XP_021984447.2	motif_7	7	56	none	9.11e-49
XP_021990076.1	motif_7	7	56	none	1.07e-48
XP_035833912.1	motif_7	7	56	none	1.46e-48
XP_021997121.1	motif_7	7	56	none	2.70e-48
XP_022016725.1	motif_7	7	56	none	2.16e-47
XP_022029689.1	motif_7	7	56	none	2.07e-46
XP_022016546.1	motif_7	7	56	none	6.12e-46
XP_021977771.1	motif_7	7	56	none	2.29e-45
XP_021977057.1	motif_7	9	58	none	4.52e-42
XP_021979635.1	motif_7	13	62	none	3.65e-41
XP_021994685.2	motif_7	9	58	none	1.29e-39
XP_021999580.1	motif_7	9	58	none	2.36e-39
XP_022026331.1	motif_7	16	65	none	4.75e-39
XP_022037229.1	motif_7	9	58	none	8.79e-38
XP_022000445.1	motif_7	16	65	none	1.88e-36
XP_022035921.1	motif_7	8	57	none	2.72e-30
XP_022013098.1	motif_7	8	57	none	6.15e-30
XP_022007155.1	motif_7	8	57	none	5.55e-26
XP_022000943.1	motif_7	7	56	none	9.99e-26
XP_022002249.1	motif_8	141	161	none	6.81e-23
XP_022002237.1	motif_8	141	161	none	6.81e-23
XP_022002236.1	motif_8	141	161	none	6.81e-23
XP_022002235.1	motif_8	141	161	none	6.81e-23
XP_021997121.1	motif_8	141	161	none	6.81e-23
XP_021990076.1	motif_8	141	161	none	6.81e-23
XP_035833912.1	motif_8	141	161	none	8.78e-22
XP_022029689.1	motif_8	141	161	none	8.78e-22
XP_022016725.1	motif_8	141	161	none	8.78e-22
XP_022016546.1	motif_8	141	161	none	8.78e-22
XP_021984447.2	motif_8	141	161	none	8.78e-22
XP_021977771.1	motif_8	140	160	none	8.78e-22
XP_021977943.1	motif_8	158	178	none	4.59e-21
XP_022012102.1	motif_8	159	179	none	1.30e-20
XP_022023717.1	motif_8	158	178	none	5.11e-20
XP_021987957.1	motif_8	154	174	none	5.11e-20
XP_021987955.1	motif_8	158	178	none	5.11e-20
XP_021999580.1	motif_8	143	163	none	5.82e-20
XP_021994685.2	motif_8	143	163	none	5.82e-20
XP_021977057.1	motif_8	143	163	none	5.82e-20
XP_021979635.1	motif_8	147	167	none	9.69e-20
XP_022037229.1	motif_8	143	163	none	1.10e-19
XP_022032747.1	motif_8	157	177	none	1.10e-19
XP_022026331.1	motif_8	150	170	none	1.24e-19
XP_021989956.1	motif_8	159	179	none	1.59e-19
XP_022014304.1	motif_8	155	175	none	2.28e-19
XP_022011339.1	motif_8	158	178	none	2.28e-19
XP_021994152.1	motif_8	146	166	none	3.25e-19
XP_021979651.1	motif_8	159	179	none	3.25e-19
XP_022012100.1	motif_8	154	174	none	6.48e-19
XP_022011398.1	motif_8	165	185	none	6.48e-19
XP_022000445.1	motif_8	150	170	none	2.40e-18
XP_022035921.1	motif_8	143	163	none	3.89e-17
XP_022013098.1	motif_8	143	163	none	3.89e-17
XP_022006941.1	motif_8	148	168	none	6.19e-17
XP_022000943.1	motif_8	138	158	none	1.07e-16
XP_021972988.1	motif_8	148	168	none	1.99e-16
XP_022021536.1	motif_8	184	204	none	3.08e-16
XP_021976874.1	motif_8	182	202	none	3.08e-16
XP_022038870.1	motif_8	193	213	none	4.35e-16
XP_022021453.1	motif_8	157	177	none	5.61e-16
XP_021972990.2	motif_8	146	166	none	1.65e-15
XP_022014704.1	motif_8	160	180	none	2.68e-15
XP_022025807.1	motif_8	188	208	none	9.41e-15
XP_035834144.1	motif_8	196	216	none	1.15e-13
XP_035834143.1	motif_8	198	218	none	3.50e-13
XP_022007155.1	motif_8	144	164	none	4.54e-12
XP_022029689.1	motif_9	206	226	none	3.05e-21
XP_022002249.1	motif_9	206	226	none	3.05e-21
XP_022002237.1	motif_9	206	226	none	3.05e-21
XP_022002236.1	motif_9	206	226	none	3.05e-21
XP_022002235.1	motif_9	206	226	none	3.05e-21
XP_021997121.1	motif_9	206	226	none	5.55e-21
XP_022016546.1	motif_9	206	226	none	8.18e-21
XP_021977771.1	motif_9	205	225	none	8.18e-21
XP_022026331.1	motif_9	215	235	none	2.49e-20
XP_022016725.1	motif_9	206	226	none	2.49e-20
XP_021994685.2	motif_9	208	228	none	7.12e-20
XP_021999580.1	motif_9	208	228	none	1.39e-19
XP_021979635.1	motif_9	212	232	none	1.63e-19
XP_022037229.1	motif_9	208	228	none	2.64e-19
XP_021977057.1	motif_9	208	228	none	2.64e-19
XP_022013098.1	motif_9	208	228	none	3.61e-19
XP_035833912.1	motif_9	206	226	none	4.22e-19
XP_022035921.1	motif_9	208	228	none	4.22e-19
XP_022000445.1	motif_9	215	235	none	1.21e-18
XP_021990076.1	motif_9	206	226	none	1.40e-18
XP_021984447.2	motif_9	206	226	none	1.61e-18
XP_022011398.1	motif_9	228	248	none	2.47e-18
XP_022011339.1	motif_9	221	241	none	4.94e-18
XP_022012102.1	motif_9	222	242	none	6.47e-18
XP_022014304.1	motif_9	218	238	none	7.40e-18
XP_021989956.1	motif_9	222	242	none	7.40e-18
XP_021977943.1	motif_9	221	241	none	1.10e-17
XP_022023717.1	motif_9	221	241	none	1.25e-17
XP_022000943.1	motif_9	203	223	none	2.69e-17
XP_022012100.1	motif_9	217	237	none	3.45e-17
XP_021987957.1	motif_9	217	237	none	8.06e-17
XP_021987955.1	motif_9	221	241	none	9.08e-17
XP_022021453.1	motif_9	220	240	none	1.29e-16
XP_021994152.1	motif_9	209	229	none	5.58e-16
XP_022032747.1	motif_9	220	240	none	9.58e-16
XP_022006941.1	motif_9	211	231	none	2.46e-15
XP_021979651.1	motif_9	222	242	none	5.01e-15
XP_021972988.1	motif_9	211	231	none	1.34e-14
XP_022000573.1	motif_9	197	217	none	1.62e-14
XP_021983051.1	motif_9	197	217	none	2.87e-14
