gene	total_motifs	motif_1	motif_2	motif_3	motif_4	motif_5	motif_6	motif_7	motif_8	motif_9	motif_10	motif_11	motif_12	motif_13	motif_14	motif_15	motif_16	motif_17	motif_18	motif_19	motif_20
XP_021994243.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021994685.2	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_021997121.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_021997756.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_021998290.1	9	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0
XP_021999580.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022000317.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022000445.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022000573.1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
XP_022000943.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022002167.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022002168.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022002235.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022002236.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022002237.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022002249.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022005838.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_022005989.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_022005990.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_022005993.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_022006482.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022006941.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022007155.1	7	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
XP_022007682.2	8	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
XP_022009396.1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
XP_022009469.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_022011339.1	6	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
XP_022011398.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022012100.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022012102.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_022013098.1	6	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
XP_022014304.1	5	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_022014704.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022016546.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022016725.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022021453.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022021536.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_022022901.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022023717.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022025446.1	10	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0
XP_022025807.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_022026331.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022029508.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022029689.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022032747.1	7	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
XP_022035417.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022035419.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_022035921.1	7	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
XP_022036172.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XP_022037229.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_022038870.1	6	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
XP_035831160.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035832764.1	9	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
XP_035833122.1	4	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
XP_035833123.1	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
XP_035833912.1	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0
XP_035834143.1	4	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
XP_035834144.1	4	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
XP_035835916.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835917.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835918.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835920.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835921.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835922.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835923.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835924.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035835925.1	11	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0
XP_035837035.1	10	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0
