gene_id	protein_id	chromosome	gene_start	gene_end	strand	gene_length	num_exons	total_exon_length	num_introns	total_intron_length	avg_intron_length	num_utr5	num_utr3
gene-LOC110886457	XP_021989956.1	NC_035447.2	27154145	27157134	+	2990	5	1227	4	1763	440.8	0	0
gene-LOC110886572	XP_021990076.1	NC_035442.2	169786191	169787451	-	1261	3	966	2	295	147.5	0	0
gene-LOC110889695	XP_021992949.1	NC_035439.2	110555409	110558472	-	3064	4	1142	3	1922	640.7	0	0
gene-LOC110890809	XP_021994152.1	NC_035443.2	154284272	154290348	+	6077	5	1003	4	5074	1268.5	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	7	4482	6	1182	197.0	0	0
gene-LOC110891299	XP_021994685.2	NC_035443.2	179779294	179781918	-	2625	2	1017	1	1608	1608.0	0	0
gene-LOC110894233	XP_021997121.1	NC_035444.2	15130101	15131520	-	1420	3	1056	2	364	182.0	0	0
gene-LOC110894830	XP_021997756.1	NC_035444.2	50504395	50507124	-	2730	4	1081	3	1649	549.7	0	0
gene-LOC110895309	XP_021998290.1	NC_035444.2	77463396	77466254	-	2859	4	1148	3	1711	570.3	0	0
gene-LOC110896719	XP_021999580.1	NC_035444.2	52868473	52869622	-	1150	3	942	2	208	104.0	0	0
gene-LOC110897890	XP_022000317.1	NC_035445.2	52701936	52703695	+	1760	4	1284	3	476	158.7	0	0
gene-LOC110898014	XP_022000445.1	NC_035445.2	66823905	66825925	+	2021	2	1026	1	995	995.0	0	0
gene-LOC110898128	XP_022000573.1	NC_035445.2	71325317	71328372	+	3056	3	943	2	2113	1056.5	0	0
gene-LOC110898466	XP_022000943.1	NC_035445.2	86515549	86517081	-	1533	3	910	2	623	311.5	0	0
gene-LOC110899589	XP_022002167.1	NC_035445.2	142927394	142930503	-	3110	4	1132	3	1978	659.3	0	0
gene-LOC110899592	XP_022002168.1	NC_035445.2	142940337	142943450	-	3114	4	1132	3	1982	660.7	0	0
gene-LOC110899653	XP_022002235.1	NC_035445.2	147645910	147647572	+	1663	3	1015	2	648	324.0	0	0
gene-LOC110899654	XP_022002236.1	NC_035445.2	147630911	147632444	+	1534	3	1044	2	490	245.0	0	0
gene-LOC110899655	XP_022002237.1	NC_035445.2	147558273	147559842	+	1570	3	1072	2	498	249.0	0	0
gene-LOC110899667	XP_022002249.1	NC_035445.2	147793752	147795394	+	1643	3	1010	2	633	316.5	0	0
gene-LOC110904303	XP_022005838.1	NC_035446.2	148783863	148786430	+	2568	4	1188	3	1380	460.0	0	0
gene-LOC110904450	XP_022005989.1	NC_035446.2	153688197	153689535	-	1339	3	1135	2	204	102.0	0	0
gene-LOC110904451	XP_022005990.1	NC_035446.2	153762249	153763512	-	1264	3	1060	2	204	102.0	0	0
gene-LOC110904457	XP_022005993.1	NC_035446.2	153674353	153675807	+	1455	3	1236	2	219	109.5	0	0
gene-LOC110904925	XP_022006482.1	NC_035446.2	167862157	167864457	-	2301	3	1228	2	1073	536.5	0	0
gene-LOC110905693	XP_022006941.1	NC_035446.2	106361596	106363630	+	2035	5	967	4	1068	267.0	0	0
gene-LOC110906290	XP_022007155.1	NC_035446.2	169823176	169825171	-	1996	3	1433	2	563	281.5	0	0
gene-LOC110906934	XP_022007682.2	NC_035434.2	153495019	153496193	+	1175	4	918	3	257	85.7	0	0
gene-LOC110908730	XP_022009396.1	NC_035446.2	99839574	99842559	-	2986	3	1008	2	1978	989.0	0	0
gene-LOC110908794	XP_022009469.1	NC_035439.2	129058310	129060704	-	2395	4	1145	3	1250	416.7	0	0
gene-LOC110911072	XP_022011339.1	NC_035447.2	26963553	26965384	+	1832	5	1030	4	802	200.5	0	0
gene-LOC110911125	XP_022011398.1	NC_035447.2	27278908	27281036	+	2129	5	1228	4	901	225.2	0	0
gene-LOC110911759	XP_022012100.1	NC_035447.2	62068821	62071242	-	2422	5	1035	4	1387	346.8	0	0
gene-LOC110911761	XP_022012102.1	NC_035447.2	62119483	62121453	-	1971	5	1029	4	942	235.5	0	0
gene-LOC110912639	XP_022013098.1	NC_035447.2	146264526	146265993	+	1468	3	939	2	529	264.5	0	0
gene-LOC110913792	XP_022014304.1	NC_035447.2	62176462	62179210	-	2749	5	789	4	1960	490.0	0	0
gene-LOC110914202	XP_022014704.1	NC_035447.2	140220777	140223602	+	2826	5	1260	4	1566	391.5	0	0
gene-LOC110916097	XP_022016546.1	NC_035448.2	93174593	93176205	-	1613	3	1258	2	355	177.5	0	0
gene-LOC110916291	XP_022016725.1	NC_035448.2	93139465	93140773	-	1309	3	1019	2	290	145.0	0	0
gene-LOC110921437	XP_022021453.1	NC_035449.2	181068048	181073557	+	5510	4	991	3	4519	1506.3	0	0
gene-LOC110921506	XP_022021536.1	NC_035449.2	1891811	1893822	+	2012	4	1727	3	285	95.0	0	0
gene-LOC110923014	XP_022022901.1	NC_035449.2	990482	992775	+	2294	4	1171	3	1123	374.3	0	0
gene-LOC110923973	XP_022023717.1	NC_035449.2	41335426	41337409	+	1984	5	1215	4	769	192.2	0	0
gene-LOC110925968	XP_022025446.1	NC_035449.2	30003876	30005529	-	1654	4	1216	3	438	146.0	0	0
gene-LOC110926365	XP_022025807.1	NC_035449.2	1877852	1880421	+	2570	4	1721	3	849	283.0	0	0
gene-LOC110927047	XP_022026331.1	NC_035434.2	166250290	166252037	+	1748	2	999	1	749	749.0	0	0
gene-LOC110930503	XP_022029508.1	NC_035435.2	163300314	163302838	-	2525	4	1085	3	1440	480.0	0	0
gene-LOC110930648	XP_022029689.1	NC_035435.2	167829005	167830856	+	1852	3	1045	2	807	403.5	0	0
gene-LOC110933853	XP_022032747.1	NC_035436.2	163382054	163384124	-	2071	5	995	4	1076	269.0	0	0
gene-LOC110937325	XP_022035417.1	NC_035434.2	135407960	135410684	+	2725	4	1316	3	1409	469.7	0	0
gene-LOC110937328	XP_022035419.1	NC_035434.2	135449674	135451033	+	1360	3	1117	2	243	121.5	0	0
gene-LOC110937771	XP_022035921.1	NC_035448.2	104520431	104522993	+	2563	3	1325	2	1238	619.0	0	0
gene-LOC110938010	XP_022036172.1	NC_035436.2	202501181	202504365	+	3185	3	1262	2	1923	961.5	0	0
gene-LOC110939970	XP_022037229.1	NC_035437.2	11889108	11890313	+	1206	3	965	2	241	120.5	0	0
gene-LOC110941540	XP_022038870.1	NC_035437.2	153436199	153439654	-	3456	5	1299	4	2157	539.2	0	0
gene-LOC110908807	XP_035831160.1	NC_035439.2	129103100	129106231	-	3132	4	1200	3	1932	644.0	0	0
gene-LOC118481678	XP_035832764.1	NC_035441.2	100909435	100911255	+	1821	4	1118	3	703	234.3	0	0
gene-LOC110877765	XP_035833123.1	NC_035441.2	58444677	58457317	-	12641	6	3830	5	8734	1746.8	0	0
gene-LOC110877765	XP_035833123.1	NC_035441.2	58444677	58457317	-	12641	6	3645	5	8745	1749.0	0	0
gene-LOC118479416	XP_035833912.1	NC_035441.2	185884581	185885696	+	1116	3	940	2	176	88.0	0	0
gene-LOC110881936	XP_035834143.1	NC_035442.2	100902148	100903625	+	1478	3	1045	2	433	216.5	0	0
gene-LOC110885224	XP_035834144.1	NC_035442.2	101125600	101141735	+	16136	3	994	2	15142	7571.0	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	7	4399	6	1265	210.8	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	9	3425	8	2239	279.9	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	8	3212	7	2452	350.3	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	7	3764	6	1900	316.7	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	9	3420	8	2244	280.5	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	8	4379	7	1285	183.6	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	9	3879	8	1785	223.1	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	8	3666	7	1998	285.4	0	0
gene-LOC110890906	XP_035835925.1	NC_035443.2	165665782	165671445	-	5664	8	4374	7	1290	184.3	0	0
gene-LOC110892775	XP_035837035.1	NC_035444.2	47043367	47139426	+	96060	4	1135	3	94925	31641.7	0	0
