gene_id	protein_id	mrna_id	chromosome	exon_num	exon_start	exon_end	exon_length	strand
gene-LOC110887087	XP_021990674.1	rna-XM_022134982.1	NC_035434.2	2	18875956	18876043	88	+
gene-LOC110889695	XP_021992949.1	rna-XM_022137257.2	NC_035439.2	1	110555409	110555760	352	-
gene-LOC110889695	XP_021992949.1	rna-XM_022137257.2	NC_035439.2	2	110556458	110556598	141	-
gene-LOC110889695	XP_021992949.1	rna-XM_022137257.2	NC_035439.2	3	110556678	110556973	296	-
gene-LOC110889695	XP_021992949.1	rna-XM_022137257.2	NC_035439.2	4	110558120	110558472	353	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	5	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	6	165669747	165670019	273	-
gene-LOC110890906	XP_035835925.1	rna-XM_022138551.2	NC_035443.2	7	165670437	165671445	1009	-
gene-LOC110891299	XP_021994685.2	rna-XM_022138993.2	NC_035443.2	1	179779294	179779871	578	-
gene-LOC110891299	XP_021994685.2	rna-XM_022138993.2	NC_035443.2	2	179781480	179781918	439	-
gene-LOC110894830	XP_021997756.1	rna-XM_022142064.2	NC_035444.2	1	50504395	50504631	237	-
gene-LOC110894830	XP_021997756.1	rna-XM_022142064.2	NC_035444.2	2	50504713	50504853	141	-
gene-LOC110894830	XP_021997756.1	rna-XM_022142064.2	NC_035444.2	3	50505853	50506148	296	-
gene-LOC110894830	XP_021997756.1	rna-XM_022142064.2	NC_035444.2	4	50506718	50507124	407	-
gene-LOC110895309	XP_021998290.1	rna-XM_022142598.2	NC_035444.2	1	77463396	77463737	342	-
gene-LOC110895309	XP_021998290.1	rna-XM_022142598.2	NC_035444.2	2	77464905	77465045	141	-
gene-LOC110895309	XP_021998290.1	rna-XM_022142598.2	NC_035444.2	3	77465121	77465416	296	-
gene-LOC110895309	XP_021998290.1	rna-XM_022142598.2	NC_035444.2	4	77465886	77466254	369	-
gene-LOC110896719	XP_021999580.1	rna-XM_022143888.2	NC_035444.2	1	52868473	52868966	494	-
gene-LOC110896719	XP_021999580.1	rna-XM_022143888.2	NC_035444.2	2	52869081	52869331	251	-
gene-LOC110896719	XP_021999580.1	rna-XM_022143888.2	NC_035444.2	3	52869426	52869622	197	-
gene-LOC110897890	XP_022000317.1	rna-XM_022144625.2	NC_035445.2	1	52701936	52702480	545	+
gene-LOC110897890	XP_022000317.1	rna-XM_022144625.2	NC_035445.2	2	52702776	52703074	299	+
gene-LOC110897890	XP_022000317.1	rna-XM_022144625.2	NC_035445.2	3	52703169	52703309	141	+
gene-LOC110897890	XP_022000317.1	rna-XM_022144625.2	NC_035445.2	4	52703397	52703695	299	+
gene-LOC110898014	XP_022000445.1	rna-XM_022144753.2	NC_035445.2	1	66823905	66824418	514	+
gene-LOC110898014	XP_022000445.1	rna-XM_022144753.2	NC_035445.2	2	66825414	66825925	512	+
gene-LOC110899589	XP_022002167.1	rna-XM_022146475.2	NC_035445.2	1	142927394	142927641	248	-
gene-LOC110899589	XP_022002167.1	rna-XM_022146475.2	NC_035445.2	2	142927775	142927915	141	-
gene-LOC110899589	XP_022002167.1	rna-XM_022146475.2	NC_035445.2	3	142928986	142929284	299	-
gene-LOC110899589	XP_022002167.1	rna-XM_022146475.2	NC_035445.2	4	142930060	142930503	444	-
gene-LOC110899592	XP_022002168.1	rna-XM_022146476.2	NC_035445.2	1	142940337	142940584	248	-
gene-LOC110899592	XP_022002168.1	rna-XM_022146476.2	NC_035445.2	2	142940719	142940859	141	-
gene-LOC110899592	XP_022002168.1	rna-XM_022146476.2	NC_035445.2	3	142941931	142942229	299	-
gene-LOC110899592	XP_022002168.1	rna-XM_022146476.2	NC_035445.2	4	142943007	142943450	444	-
gene-LOC110899653	XP_022002235.1	rna-XM_022146543.2	NC_035445.2	1	147645910	147646078	169	+
gene-LOC110899653	XP_022002235.1	rna-XM_022146543.2	NC_035445.2	2	147646570	147646820	251	+
gene-LOC110899653	XP_022002235.1	rna-XM_022146543.2	NC_035445.2	3	147646978	147647572	595	+
gene-LOC110899654	XP_022002236.1	rna-XM_022146544.2	NC_035445.2	1	147630911	147631072	162	+
gene-LOC110899654	XP_022002236.1	rna-XM_022146544.2	NC_035445.2	2	147631457	147631707	251	+
gene-LOC110899654	XP_022002236.1	rna-XM_022146544.2	NC_035445.2	3	147631814	147632444	631	+
gene-LOC110899655	XP_022002237.1	rna-XM_022146545.2	NC_035445.2	1	147558273	147558448	176	+
gene-LOC110899655	XP_022002237.1	rna-XM_022146545.2	NC_035445.2	2	147558873	147559123	251	+
gene-LOC110899655	XP_022002237.1	rna-XM_022146545.2	NC_035445.2	3	147559198	147559842	645	+
gene-LOC110899667	XP_022002249.1	rna-XM_022146557.2	NC_035445.2	1	147793752	147793913	162	+
gene-LOC110899667	XP_022002249.1	rna-XM_022146557.2	NC_035445.2	2	147794377	147794627	251	+
gene-LOC110899667	XP_022002249.1	rna-XM_022146557.2	NC_035445.2	3	147794798	147795394	597	+
gene-LOC110904303	XP_022005838.1	rna-XM_022150146.2	NC_035446.2	1	148783863	148784247	385	+
gene-LOC110904303	XP_022005838.1	rna-XM_022150146.2	NC_035446.2	2	148785112	148785407	296	+
gene-LOC110904303	XP_022005838.1	rna-XM_022150146.2	NC_035446.2	3	148785834	148785974	141	+
gene-LOC110904303	XP_022005838.1	rna-XM_022150146.2	NC_035446.2	4	148786065	148786430	366	+
gene-LOC110904450	XP_022005989.1	rna-XM_022150297.2	NC_035446.2	1	153688197	153688519	323	-
gene-LOC110904450	XP_022005989.1	rna-XM_022150297.2	NC_035446.2	2	153688620	153688760	141	-
gene-LOC110904450	XP_022005989.1	rna-XM_022150297.2	NC_035446.2	3	153688865	153689535	671	-
gene-LOC110904451	XP_022005990.1	rna-XM_022150298.2	NC_035446.2	1	153762249	153762529	281	-
gene-LOC110904451	XP_022005990.1	rna-XM_022150298.2	NC_035446.2	2	153762640	153762780	141	-
gene-LOC110904451	XP_022005990.1	rna-XM_022150298.2	NC_035446.2	3	153762875	153763512	638	-
gene-LOC110904457	XP_022005993.1	rna-XM_022150301.2	NC_035446.2	1	153674353	153675106	754	+
gene-LOC110904457	XP_022005993.1	rna-XM_022150301.2	NC_035446.2	2	153675212	153675352	141	+
gene-LOC110904457	XP_022005993.1	rna-XM_022150301.2	NC_035446.2	3	153675467	153675807	341	+
gene-LOC110904925	XP_022006482.1	rna-XM_022150790.2	NC_035446.2	1	167862157	167862471	315	-
gene-LOC110904925	XP_022006482.1	rna-XM_022150790.2	NC_035446.2	2	167862580	167863019	440	-
gene-LOC110904925	XP_022006482.1	rna-XM_022150790.2	NC_035446.2	3	167863985	167864457	473	-
gene-LOC110905693	XP_022006941.1	rna-XM_022151249.2	NC_035446.2	1	106361596	106361730	135	+
gene-LOC110905693	XP_022006941.1	rna-XM_022151249.2	NC_035446.2	2	106361855	106362079	225	+
gene-LOC110905693	XP_022006941.1	rna-XM_022151249.2	NC_035446.2	3	106362169	106362366	198	+
gene-LOC110905693	XP_022006941.1	rna-XM_022151249.2	NC_035446.2	4	106362465	106362526	62	+
gene-LOC110905693	XP_022006941.1	rna-XM_022151249.2	NC_035446.2	5	106363284	106363630	347	+
gene-LOC110906290	XP_022007155.1	rna-XM_022151463.2	NC_035446.2	1	169823176	169823635	460	-
gene-LOC110906290	XP_022007155.1	rna-XM_022151463.2	NC_035446.2	2	169824106	169824362	257	-
gene-LOC110906290	XP_022007155.1	rna-XM_022151463.2	NC_035446.2	3	169824456	169825171	716	-
gene-LOC110906934	XP_022007682.2	rna-XM_022151990.2	NC_035434.2	1	153495019	153495241	223	+
gene-LOC110906934	XP_022007682.2	rna-XM_022151990.2	NC_035434.2	2	153495343	153495638	296	+
gene-LOC110906934	XP_022007682.2	rna-XM_022151990.2	NC_035434.2	3	153495711	153495851	141	+
gene-LOC110906934	XP_022007682.2	rna-XM_022151990.2	NC_035434.2	4	153495936	153496193	258	+
gene-LOC110908794	XP_022009469.1	rna-XM_022153777.2	NC_035439.2	1	129058310	129058599	290	-
gene-LOC110908794	XP_022009469.1	rna-XM_022153777.2	NC_035439.2	2	129058704	129058844	141	-
gene-LOC110908794	XP_022009469.1	rna-XM_022153777.2	NC_035439.2	3	129059255	129059550	296	-
gene-LOC110908794	XP_022009469.1	rna-XM_022153777.2	NC_035439.2	4	129060287	129060704	418	-
gene-LOC110911761	XP_022012102.1	rna-XM_022156410.2	NC_035447.2	1	62119483	62119814	332	-
gene-LOC110911761	XP_022012102.1	rna-XM_022156410.2	NC_035447.2	2	62119913	62119974	62	-
gene-LOC110911761	XP_022012102.1	rna-XM_022156410.2	NC_035447.2	3	62120065	62120262	198	-
gene-LOC110911761	XP_022012102.1	rna-XM_022156410.2	NC_035447.2	4	62120768	62120992	225	-
gene-LOC110911761	XP_022012102.1	rna-XM_022156410.2	NC_035447.2	5	62121242	62121453	212	-
gene-LOC110912639	XP_022013098.1	rna-XM_022157406.2	NC_035447.2	1	146264526	146264733	208	+
gene-LOC110912639	XP_022013098.1	rna-XM_022157406.2	NC_035447.2	2	146265193	146265446	254	+
gene-LOC110912639	XP_022013098.1	rna-XM_022157406.2	NC_035447.2	3	146265517	146265993	477	+
gene-LOC110914202	XP_022014704.1	rna-XM_022159012.2	NC_035447.2	1	140220777	140221116	340	+
gene-LOC110914202	XP_022014704.1	rna-XM_022159012.2	NC_035447.2	2	140221563	140221781	219	+
gene-LOC110914202	XP_022014704.1	rna-XM_022159012.2	NC_035447.2	3	140222257	140222463	207	+
gene-LOC110914202	XP_022014704.1	rna-XM_022159012.2	NC_035447.2	4	140222546	140222607	62	+
gene-LOC110914202	XP_022014704.1	rna-XM_022159012.2	NC_035447.2	5	140223171	140223602	432	+
gene-LOC110916097	XP_022016546.1	rna-XM_022160854.2	NC_035448.2	1	93174593	93175306	714	-
gene-LOC110916097	XP_022016546.1	rna-XM_022160854.2	NC_035448.2	2	93175412	93175662	251	-
gene-LOC110916097	XP_022016546.1	rna-XM_022160854.2	NC_035448.2	3	93175913	93176205	293	-
gene-LOC110916291	XP_022016725.1	rna-XM_022161033.2	NC_035448.2	1	93139465	93140068	604	-
gene-LOC110916291	XP_022016725.1	rna-XM_022161033.2	NC_035448.2	2	93140167	93140417	251	-
gene-LOC110916291	XP_022016725.1	rna-XM_022161033.2	NC_035448.2	3	93140610	93140773	164	-
gene-LOC110921506	XP_022021536.1	rna-XM_022165844.2	NC_035449.2	1	1891811	1892694	884	+
gene-LOC110921506	XP_022021536.1	rna-XM_022165844.2	NC_035449.2	2	1892788	1893207	420	+
gene-LOC110921506	XP_022021536.1	rna-XM_022165844.2	NC_035449.2	3	1893311	1893372	62	+
gene-LOC110921506	XP_022021536.1	rna-XM_022165844.2	NC_035449.2	4	1893462	1893822	361	+
gene-LOC110923014	XP_022022901.1	rna-XM_022167209.2	NC_035449.2	1	990482	990903	422	+
gene-LOC110923014	XP_022022901.1	rna-XM_022167209.2	NC_035449.2	2	991333	991631	299	+
gene-LOC110923014	XP_022022901.1	rna-XM_022167209.2	NC_035449.2	3	992198	992338	141	+
gene-LOC110923014	XP_022022901.1	rna-XM_022167209.2	NC_035449.2	4	992467	992775	309	+
gene-LOC110925968	XP_022025446.1	rna-XM_022169754.2	NC_035449.2	1	30003876	30004287	412	-
gene-LOC110925968	XP_022025446.1	rna-XM_022169754.2	NC_035449.2	2	30004534	30004674	141	-
gene-LOC110925968	XP_022025446.1	rna-XM_022169754.2	NC_035449.2	3	30004773	30005068	296	-
gene-LOC110925968	XP_022025446.1	rna-XM_022169754.2	NC_035449.2	4	30005163	30005529	367	-
gene-LOC110926365	XP_022025807.1	rna-XM_022170115.2	NC_035449.2	1	1877852	1878638	787	+
gene-LOC110926365	XP_022025807.1	rna-XM_022170115.2	NC_035449.2	2	1878721	1879140	420	+
gene-LOC110926365	XP_022025807.1	rna-XM_022170115.2	NC_035449.2	3	1879820	1879881	62	+
gene-LOC110926365	XP_022025807.1	rna-XM_022170115.2	NC_035449.2	4	1879970	1880421	452	+
gene-LOC110927047	XP_022026331.1	rna-XM_022170639.2	NC_035434.2	1	166250290	166250762	473	+
gene-LOC110927047	XP_022026331.1	rna-XM_022170639.2	NC_035434.2	2	166251512	166252037	526	+
gene-LOC110930503	XP_022029508.1	rna-XM_022173816.2	NC_035435.2	1	163300314	163300553	240	-
gene-LOC110930503	XP_022029508.1	rna-XM_022173816.2	NC_035435.2	2	163300648	163300788	141	-
gene-LOC110930503	XP_022029508.1	rna-XM_022173816.2	NC_035435.2	3	163301703	163302001	299	-
gene-LOC110930503	XP_022029508.1	rna-XM_022173816.2	NC_035435.2	4	163302434	163302838	405	-
gene-LOC110930648	XP_022029689.1	rna-XM_022173997.2	NC_035435.2	1	167829005	167829167	163	+
gene-LOC110930648	XP_022029689.1	rna-XM_022173997.2	NC_035435.2	2	167829852	167830102	251	+
gene-LOC110930648	XP_022029689.1	rna-XM_022173997.2	NC_035435.2	3	167830226	167830856	631	+
gene-LOC110933853	XP_022032747.1	rna-XM_022177055.2	NC_035436.2	1	163382054	163382401	348	-
gene-LOC110933853	XP_022032747.1	rna-XM_022177055.2	NC_035436.2	2	163382518	163382579	62	-
gene-LOC110933853	XP_022032747.1	rna-XM_022177055.2	NC_035436.2	3	163382670	163382867	198	-
gene-LOC110933853	XP_022032747.1	rna-XM_022177055.2	NC_035436.2	4	163383639	163383860	222	-
gene-LOC110933853	XP_022032747.1	rna-XM_022177055.2	NC_035436.2	5	163383960	163384124	165	-
gene-LOC110937325	XP_022035417.1	rna-XM_022179725.2	NC_035434.2	1	135407960	135408534	575	+
gene-LOC110937325	XP_022035417.1	rna-XM_022179725.2	NC_035434.2	2	135409741	135410039	299	+
gene-LOC110937325	XP_022035417.1	rna-XM_022179725.2	NC_035434.2	3	135410147	135410287	141	+
gene-LOC110937325	XP_022035417.1	rna-XM_022179725.2	NC_035434.2	4	135410384	135410684	301	+
gene-LOC110937771	XP_022035921.1	rna-XM_022180229.2	NC_035448.2	1	104520431	104520911	481	+
gene-LOC110937771	XP_022035921.1	rna-XM_022180229.2	NC_035448.2	2	104521650	104521903	254	+
gene-LOC110937771	XP_022035921.1	rna-XM_022180229.2	NC_035448.2	3	104522404	104522993	590	+
gene-LOC110939970	XP_022037229.1	rna-XM_022181537.2	NC_035437.2	1	11889108	11889316	209	+
gene-LOC110939970	XP_022037229.1	rna-XM_022181537.2	NC_035437.2	2	11889475	11889725	251	+
gene-LOC110939970	XP_022037229.1	rna-XM_022181537.2	NC_035437.2	3	11889809	11890313	505	+
gene-LOC110941540	XP_022038870.1	rna-XM_022183178.2	NC_035437.2	1	153436199	153436666	468	-
gene-LOC110941540	XP_022038870.1	rna-XM_022183178.2	NC_035437.2	2	153437247	153437308	62	-
gene-LOC110941540	XP_022038870.1	rna-XM_022183178.2	NC_035437.2	3	153438645	153438839	195	-
gene-LOC110941540	XP_022038870.1	rna-XM_022183178.2	NC_035437.2	4	153438947	153439171	225	-
gene-LOC110941540	XP_022038870.1	rna-XM_022183178.2	NC_035437.2	5	153439306	153439654	349	-
gene-LOC110908807	XP_035831160.1	rna-XM_035975267.1	NC_035439.2	1	129103100	129103512	413	-
gene-LOC110908807	XP_035831160.1	rna-XM_035975267.1	NC_035439.2	2	129103616	129103756	141	-
gene-LOC110908807	XP_035831160.1	rna-XM_035975267.1	NC_035439.2	3	129104596	129104891	296	-
gene-LOC110908807	XP_035831160.1	rna-XM_035975267.1	NC_035439.2	4	129105882	129106231	350	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	5	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	6	165669747	165670649	903	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980023.1	NC_035443.2	7	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	4	165666994	165668726	1733	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	5	165669284	165669356	73	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	6	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	7	165669747	165670019	273	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	8	165670437	165670649	213	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980024.1	NC_035443.2	9	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	4	165666994	165668726	1733	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	5	165669284	165669356	73	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	6	165669508	165669645	138	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	7	165669747	165670019	273	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980025.1	NC_035443.2	8	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	3	165666584	165666879	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	4	165666994	165669356	2363	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	5	165669508	165669640	133	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	6	165669747	165670019	273	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980027.1	NC_035443.2	7	165671150	165671445	296	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	1	165665782	165666043	262	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	2	165666121	165666261	141	-
gene-LOC110890906	XP_035835925.1	rna-XM_035980028.1	NC_035443.2	3	165666584	165666879	296	-
