chr1	chr2	species1	gene1	prot1	species2	gene2	prot2	partner_in_reference_set
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110906290	XP_022007155.1	Ls	LOC111898025	XP_023749737.1	yes
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110868884	XP_021973843.1	Ls	LOC111906255	XP_023757784.1	yes
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110908730	XP_022009396.1	Ls	LOC111917512	XP_023768962.1	yes
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110904925	XP_022006482.1	Ls	LOC111901323	XP_023752947.1	yes
Ha_NC_035446.2	Ls_NC_056624.2	Ha	LOC110905693	XP_022006941.1	Ls	LOC111900266	XP_023751913.1	yes
Ha_NC_035446.2	Ls_NC_056630.2	Ha	LOC110868884	XP_021973843.1	Ls	LOC111877216	XP_023729504.1	yes
Ha_NC_035446.2	Ls_NC_056631.2	Ha	LOC110904925	XP_022006482.1	Ls	LOC111882021	XP_042754199.1	yes
Ha_NC_035447.2	Ha_NC_035448.2	Ha	LOC110912639	XP_022013098.1	Ha	LOC110937771	XP_022035921.1	no
Ha_NC_035447.2	Ha_NC_035449.2	Ha	LOC110886457	XP_021989956.1	Ha	LOC110884547	XP_021987957.1	no
Ha_NC_035447.2	Ha_NC_035449.2	Ha	LOC110911125	XP_022011398.1	Ha	LOC110884546	XP_021987955.1	no
Ha_NC_035447.2	Ls_NC_056625.2	Ha	LOC110911125	XP_022011398.1	Ls	LOC111917332	XP_023768792.1	yes
Ha_NC_035447.2	Ls_NC_056629.2	Ha	LOC110911761	XP_022012102.1	Ls	LOC111880668	XP_023732851.1	yes
Ha_NC_035447.2	Ls_NC_056631.2	Ha	LOC110914202	XP_022014704.1	Ls	LOC111921316	XP_023772653.1	yes
Ha_NC_035447.2	Ls_NC_056631.2	Ha	LOC110912639	XP_022013098.1	Ls	LOC111903018	XP_023754582.1	yes
Ha_NC_035448.2	Ls_NC_056626.2	Ha	LOC110880175	XP_021984447.2	Ls	LOC111900815	XP_023752472.2	yes
Ha_NC_035448.2	Ls_NC_056631.2	Ha	LOC110937771	XP_022035921.1	Ls	LOC111903018	XP_023754582.1	yes
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110884547	XP_021987957.1	Ls	LOC111916096	XP_023767502.1	yes
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111920843	XP_023772191.1	yes
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110925968	XP_022025446.1	Ls	LOC111884286	XP_023736370.1	yes
Ha_NC_035449.2	Ls_NC_056625.2	Ha	LOC110926365	XP_022025807.1	Ls	LOC111907394	XP_023758937.1	yes
Ha_NC_035449.2	Ls_NC_056628.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111900371	XP_023752024.1	yes
Ha_NC_035449.2	Ls_NC_056628.2	Ha	LOC110923014	XP_022022901.1	Ls	LOC111901129	XP_023752776.1	yes
Ha_NC_035449.2	Ls_NC_056630.2	Ha	LOC110925968	XP_022025446.1	Ls	LOC111919307	XP_023770678.2	yes
