gene1	gene2	protein1	protein2	identity	qcov	chr1	chr2	chr1_name	chr2_name	distance_bp	type	aligned_codons	Ka	Ks	Ka_Ks	selection	note
LOC110868318	LOC110894830	XP_021973145.1	XP_021997756.1	84.043	98.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1122	1.6075	0.0698	purifying	
LOC110868318	LOC110904450	XP_021973145.1	XP_022005989.1	92.199	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0464	0.7622	0.0609	purifying	
LOC110868318	LOC110904451	XP_021973145.1	XP_022005990.1	93.617	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0389	0.7303	0.0533	purifying	
LOC110868318	LOC110904457	XP_021973145.1	XP_022005993.1	92.199	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0447	0.6548	0.0683	purifying	
LOC110868318	LOC110906934	XP_021973145.1	XP_022007682.2	76.033	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	247	0.1742	2.1002	0.0829	purifying	
LOC110868323	LOC110868334	XP_021973148.1	XP_021973154.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	242299	proximal	283	0.0156	0.2709	0.0576	purifying	
LOC110868323	LOC110868335	XP_021973148.1	XP_021973155.1	97.163	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	210396	proximal	283	0.0172	0.3259	0.0528	purifying	
LOC110868323	LOC110868358	XP_021973148.1	XP_021973181.1	97.518	99.0	NC_035439.2	NC_035439.2	Ha7	Ha7	179028	tandem	283	0.0156	0.3045	0.0513	purifying	
LOC110868323	LOC110889695	XP_021973148.1	XP_021992949.1	86.296	95.0	NC_035439.2	NC_035439.2	Ha7	Ha7	9550835	segmental	280	0.1248	2.1170	0.0589	purifying	
LOC110868323	LOC110890906	XP_021973148.1	XP_035835925.1	85.714	99.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	283	0.1141	1.3542	0.0843	purifying	
LOC110868323	LOC110892775	XP_021973148.1	XP_035837035.1	78.136	97.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1491	1.6189	0.0921	purifying	
LOC110868323	LOC110894830	XP_021973148.1	XP_021997756.1	84.043	98.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	280	0.1122	1.6075	0.0698	purifying	
LOC110868323	LOC110904450	XP_021973148.1	XP_022005989.1	92.199	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0464	0.7622	0.0609	purifying	
LOC110868323	LOC110904451	XP_021973148.1	XP_022005990.1	93.617	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0389	0.7303	0.0533	purifying	
LOC110868323	LOC110904457	XP_021973148.1	XP_022005993.1	92.199	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0447	0.6548	0.0683	purifying	
LOC110868323	LOC110906934	XP_021973148.1	XP_022007682.2	76.033	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	247	0.1742	2.1002	0.0829	purifying	
LOC110868334	LOC110868335	XP_021973154.1	XP_021973155.1	98.592	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	31903	tandem	284	0.0063	0.2873	0.0219	purifying	
LOC110868334	LOC110868358	XP_021973154.1	XP_021973181.1	98.239	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	421327	proximal	284	0.0079	0.3445	0.0229	purifying	
LOC110868334	LOC110868884	XP_021973154.1	XP_021973843.1	85.159	99.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.1230	2.1371	0.0576	purifying	
LOC110868334	LOC110889695	XP_021973154.1	XP_021992949.1	85.609	95.0	NC_035439.2	NC_035439.2	Ha7	Ha7	9308536	segmental	281	0.1265	2.3209	0.0545	purifying	
LOC110868334	LOC110890906	XP_021973154.1	XP_035835925.1	84.775	100.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	284	0.1129	1.8014	0.0627	purifying	
LOC110868334	LOC110892775	XP_021973154.1	XP_035837035.1	76.408	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1556	1.6610	0.0937	purifying	
LOC110868334	LOC110894830	XP_021973154.1	XP_021997756.1	82.394	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1194	1.6708	0.0715	purifying	
LOC110868334	LOC110904450	XP_021973154.1	XP_022005989.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0394	0.7444	0.0529	purifying	
LOC110868334	LOC110904451	XP_021973154.1	XP_022005990.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0385	0.7134	0.0540	purifying	
LOC110868334	LOC110904457	XP_021973154.1	XP_022005993.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0377	0.6853	0.0550	purifying	
LOC110868334	LOC110906934	XP_021973154.1	XP_022007682.2	75.207	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	248	0.1794	2.0781	0.0864	purifying	
LOC110868334	LOC110908794	XP_021973154.1	XP_022009469.1	85.211	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	9194365	segmental	283	0.1191	1.9117	0.0623	purifying	
LOC110868334	LOC110908807	XP_021973154.1	XP_035831160.1	82.746	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	9239155	segmental	283	0.1348	1.7026	0.0792	purifying	
LOC110868335	LOC110868358	XP_021973155.1	XP_021973181.1	99.648	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	389424	proximal	284	0.0016	0.0944	0.0166	purifying	
LOC110868335	LOC110868941	XP_021973155.1	XP_021973917.1	70.213	96.0	NC_035439.2	NC_035439.2	Ha7	Ha7	22901413	segmental	271	0.2144	NA	NA	NA	Ks_saturated
LOC110868335	LOC110875557	XP_021973155.1	XP_021979449.1	84.429	100.0	NC_035439.2	NC_035433.2	Ha7	Ha1	NA	segmental	284	0.1068	1.5081	0.0708	purifying	
LOC110868335	LOC110890906	XP_021973155.1	XP_035835925.1	85.121	100.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	284	0.1045	1.2241	0.0854	purifying	
LOC110868335	LOC110892775	XP_021973155.1	XP_035837035.1	76.761	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1500	1.8328	0.0818	purifying	
LOC110868335	LOC110894830	XP_021973155.1	XP_021997756.1	82.746	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1177	1.9501	0.0604	purifying	
LOC110868335	LOC110895309	XP_021973155.1	XP_021998290.1	77.465	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	277	0.1627	1.7844	0.0912	purifying	
LOC110868335	LOC110904303	XP_021973155.1	XP_022005838.1	86.620	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0958	1.6056	0.0597	purifying	
LOC110868335	LOC110904450	XP_021973155.1	XP_022005989.1	92.254	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0386	0.6296	0.0613	purifying	
LOC110868335	LOC110904451	XP_021973155.1	XP_022005990.1	92.254	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0377	0.5926	0.0637	purifying	
LOC110868335	LOC110904457	XP_021973155.1	XP_022005993.1	92.254	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0369	0.5296	0.0697	purifying	
LOC110868335	LOC110906934	XP_021973155.1	XP_022007682.2	75.620	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	248	0.1720	1.7450	0.0986	purifying	
LOC110868335	LOC110908807	XP_021973155.1	XP_035831160.1	82.746	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	9207252	segmental	283	0.1300	1.7125	0.0759	purifying	
LOC110868358	LOC110875557	XP_021973181.1	XP_021979449.1	84.775	100.0	NC_035439.2	NC_035433.2	Ha7	Ha1	NA	segmental	284	0.1044	1.5969	0.0653	purifying	
LOC110868358	LOC110890906	XP_021973181.1	XP_035835925.1	85.467	100.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	284	0.1027	1.3854	0.0742	purifying	
LOC110868358	LOC110892775	XP_021973181.1	XP_035837035.1	76.761	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1480	2.0937	0.0707	purifying	
LOC110868358	LOC110894830	XP_021973181.1	XP_021997756.1	83.099	99.0	NC_035439.2	NC_035444.2	Ha7	Ha12	NA	segmental	281	0.1159	2.3695	0.0489	purifying	
LOC110868358	LOC110904303	XP_021973181.1	XP_022005838.1	86.972	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	283	0.0934	1.6213	0.0576	purifying	
LOC110868358	LOC110904450	XP_021973181.1	XP_022005989.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0369	0.6193	0.0596	purifying	
LOC110868358	LOC110904451	XP_021973181.1	XP_022005990.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0361	0.5626	0.0642	purifying	
LOC110868358	LOC110904457	XP_021973181.1	XP_022005993.1	92.606	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	284	0.0353	0.5299	0.0665	purifying	
LOC110868358	LOC110906934	XP_021973181.1	XP_022007682.2	75.620	94.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	248	0.1697	1.5134	0.1122	purifying	
LOC110868358	LOC110908794	XP_021973181.1	XP_022009469.1	85.211	100.0	NC_035439.2	NC_035439.2	Ha7	Ha7	8773038	segmental	283	0.1155	2.1663	0.0533	purifying	
LOC110868884	LOC110875557	XP_021973843.1	XP_021979449.1	86.111	99.0	NC_035446.2	NC_035433.2	Ha14	Ha1	NA	segmental	283	0.0927	1.0758	0.0862	purifying	
LOC110868884	LOC110889695	XP_021973843.1	XP_021992949.1	91.259	100.0	NC_035446.2	NC_035439.2	Ha14	Ha7	NA	segmental	283	0.0480	0.6117	0.0784	purifying	
LOC110868884	LOC110890906	XP_021973843.1	XP_035835925.1	86.111	99.0	NC_035446.2	NC_035443.2	Ha14	Ha11	NA	segmental	283	0.0975	1.2846	0.0759	purifying	
LOC110868884	LOC110892775	XP_021973843.1	XP_035837035.1	81.818	100.0	NC_035446.2	NC_035444.2	Ha14	Ha12	NA	segmental	283	0.1109	1.3123	0.0845	purifying	
LOC110868884	LOC110894830	XP_021973843.1	XP_021997756.1	87.762	100.0	NC_035446.2	NC_035444.2	Ha14	Ha12	NA	segmental	283	0.0805	1.2913	0.0623	purifying	
LOC110868884	LOC110895309	XP_021973843.1	XP_021998290.1	81.206	99.0	NC_035446.2	NC_035444.2	Ha14	Ha12	NA	segmental	279	0.1409	1.4762	0.0955	purifying	
LOC110868884	LOC110897890	XP_021973843.1	XP_022000317.1	76.448	88.0	NC_035446.2	NC_035445.2	Ha14	Ha13	NA	segmental	270	0.1895	1.3350	0.1419	purifying	
LOC110868884	LOC110899589	XP_021973843.1	XP_022002167.1	76.062	88.0	NC_035446.2	NC_035445.2	Ha14	Ha13	NA	segmental	270	0.1836	1.6806	0.1093	purifying	
LOC110868884	LOC110899592	XP_021973843.1	XP_022002168.1	76.062	88.0	NC_035446.2	NC_035445.2	Ha14	Ha13	NA	segmental	270	0.1836	1.6806	0.1093	purifying	
LOC110868884	LOC110904303	XP_021973843.1	XP_022005838.1	89.362	99.0	NC_035446.2	NC_035446.2	Ha14	Ha14	12074044	segmental	283	0.0929	1.4775	0.0629	purifying	
LOC110868884	LOC110904450	XP_021973843.1	XP_022005989.1	85.512	99.0	NC_035446.2	NC_035446.2	Ha14	Ha14	7169710	segmental	283	0.1220	1.4720	0.0829	purifying	
LOC110868884	LOC110904451	XP_021973843.1	XP_022005990.1	85.866	99.0	NC_035446.2	NC_035446.2	Ha14	Ha14	7095658	segmental	283	0.1214	1.4501	0.0837	purifying	
LOC110868884	LOC110904457	XP_021973843.1	XP_022005993.1	86.219	99.0	NC_035446.2	NC_035446.2	Ha14	Ha14	7183554	segmental	283	0.1173	1.3993	0.0838	purifying	
LOC110868884	LOC110904925	XP_021973843.1	XP_022006482.1	75.290	88.0	NC_035446.2	NC_035446.2	Ha14	Ha14	7004250	segmental	263	0.1916	1.8709	0.1024	purifying	
LOC110868884	LOC110908794	XP_021973843.1	XP_022009469.1	87.234	99.0	NC_035446.2	NC_035439.2	Ha14	Ha7	NA	segmental	283	0.1001	1.4302	0.0700	purifying	
LOC110868884	LOC110908807	XP_021973843.1	XP_035831160.1	83.333	99.0	NC_035446.2	NC_035439.2	Ha14	Ha7	NA	segmental	283	0.1213	1.5305	0.0793	purifying	
LOC110868884	LOC110923014	XP_021973843.1	XP_022022901.1	77.220	88.0	NC_035446.2	NC_035449.2	Ha14	Ha17	NA	segmental	270	0.1843	1.6882	0.1092	purifying	
LOC110868884	LOC110925968	XP_021973843.1	XP_022025446.1	81.560	99.0	NC_035446.2	NC_035449.2	Ha14	Ha17	NA	segmental	279	0.1508	1.9183	0.0786	purifying	
LOC110868884	LOC110930503	XP_021973843.1	XP_022029508.1	76.062	88.0	NC_035446.2	NC_035435.2	Ha14	Ha3	NA	segmental	270	0.1810	1.9803	0.0914	purifying	
LOC110868884	LOC110937325	XP_021973843.1	XP_022035417.1	76.448	88.0	NC_035446.2	NC_035434.2	Ha14	Ha2	NA	segmental	270	0.1808	1.5846	0.1141	purifying	
LOC110868884	LOC110937328	XP_021973843.1	XP_022035419.1	72.624	90.0	NC_035446.2	NC_035434.2	Ha14	Ha2	NA	segmental	271	0.2096	1.7468	0.1200	purifying	
LOC110868941	LOC110875557	XP_021973917.1	XP_021979449.1	73.162	92.0	NC_035439.2	NC_035433.2	Ha7	Ha1	NA	segmental	275	0.2116	2.1004	0.1007	purifying	
LOC110868941	LOC110890906	XP_021973917.1	XP_035835925.1	73.162	92.0	NC_035439.2	NC_035443.2	Ha7	Ha11	NA	segmental	275	0.2154	NA	NA	NA	Ks_saturated
LOC110868941	LOC110897890	XP_021973917.1	XP_022000317.1	88.502	100.0	NC_035439.2	NC_035445.2	Ha7	Ha13	NA	segmental	286	0.0868	2.6543	0.0327	purifying	
LOC110868941	LOC110899589	XP_021973917.1	XP_022002167.1	87.805	100.0	NC_035439.2	NC_035445.2	Ha7	Ha13	NA	segmental	286	0.0878	3.6310	0.0242	purifying	
LOC110868941	LOC110899592	XP_021973917.1	XP_022002168.1	87.805	100.0	NC_035439.2	NC_035445.2	Ha7	Ha13	NA	segmental	286	0.0878	3.6310	0.0242	purifying	
LOC110868941	LOC110904925	XP_021973917.1	XP_022006482.1	93.031	100.0	NC_035439.2	NC_035446.2	Ha7	Ha14	NA	segmental	287	0.0358	0.7553	0.0474	purifying	
LOC110868941	LOC110908794	XP_021973917.1	XP_022009469.1	72.364	93.0	NC_035439.2	NC_035439.2	Ha7	Ha7	13738951	segmental	269	0.1968	1.9941	0.0987	purifying	
LOC110868941	LOC110923014	XP_021973917.1	XP_022022901.1	88.502	100.0	NC_035439.2	NC_035449.2	Ha7	Ha17	NA	segmental	286	0.0819	NA	NA	NA	Ks_saturated
LOC110868941	LOC110930503	XP_021973917.1	XP_022029508.1	87.805	100.0	NC_035439.2	NC_035435.2	Ha7	Ha3	NA	segmental	286	0.0837	NA	NA	NA	Ks_saturated
LOC110868941	LOC110937325	XP_021973917.1	XP_022035417.1	89.199	100.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	286	0.0817	NA	NA	NA	Ks_saturated
LOC110868941	LOC110937328	XP_021973917.1	XP_022035419.1	85.366	100.0	NC_035439.2	NC_035434.2	Ha7	Ha2	NA	segmental	286	0.1019	NA	NA	NA	Ks_saturated
LOC110868941	LOC118481678	XP_021973917.1	XP_035832764.1	74.126	99.0	NC_035439.2	NC_035441.2	Ha7	Ha9	NA	segmental	287	0.1737	1.7398	0.0998	purifying	
LOC110872387	LOC110921506	XP_021976874.1	XP_022021536.1	89.761	99.0	NC_035438.2	NC_035449.2	Ha6	Ha17	NA	segmental	292	0.0638	0.6622	0.0964	purifying	
LOC110872387	LOC110926365	XP_021976874.1	XP_022025807.1	87.755	98.0	NC_035438.2	NC_035449.2	Ha6	Ha17	NA	segmental	289	0.0742	0.7721	0.0962	purifying	
LOC110872387	LOC110941540	XP_021976874.1	XP_022038870.1	72.152	80.0	NC_035438.2	NC_035437.2	Ha6	Ha5	NA	segmental	291	0.3187	3.2397	0.0984	purifying	
LOC110872551	LOC110896719	XP_021977057.1	XP_021999580.1	86.400	100.0	NC_035440.2	NC_035444.2	Ha8	Ha12	NA	segmental	250	0.0747	0.6219	0.1202	purifying	
LOC110872551	LOC110939970	XP_021977057.1	XP_022037229.1	71.032	100.0	NC_035440.2	NC_035437.2	Ha8	Ha5	NA	segmental	250	0.1753	2.5140	0.0697	purifying	
LOC110873151	LOC110880175	XP_021977771.1	XP_021984447.2	79.032	100.0	NC_035440.2	NC_035448.2	Ha8	Ha16	NA	segmental	247	0.1655	1.9037	0.0869	purifying	
LOC110873151	LOC110886572	XP_021977771.1	XP_021990076.1	77.419	100.0	NC_035440.2	NC_035442.2	Ha8	Ha10	NA	segmental	247	0.1751	1.7119	0.1023	purifying	
LOC110873151	LOC110894233	XP_021977771.1	XP_021997121.1	77.459	98.0	NC_035440.2	NC_035444.2	Ha8	Ha12	NA	segmental	247	0.1797	1.7486	0.1027	purifying	
LOC110873151	LOC110899653	XP_021977771.1	XP_022002235.1	85.600	100.0	NC_035440.2	NC_035445.2	Ha8	Ha13	NA	segmental	248	0.0865	0.9490	0.0912	purifying	
